account_code,account_name_th,sub_caption_th,fs_caption_th,bs_class,cf_category,acg_dec25,hmw_dec25,clik_dec25,conso_dec25,acg_mar26,hmw_mar26,clik_mar26,conso_mar26,companies_active
11111010,เงินสดในมือ,เงินสดในมือ,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,48845.93,76159.97,125005.9,0,460.74,718.38,1179.12,"HMW,CLIK"
11111020,เงินสดย่อย,เงินสดในมือ,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,4678.5,78641.97,42281.36,125601.83,44.13,741.7914999999999,398.8196,1184.7411,"ACG,HMW,CLIK"
11111030,เช็คในมือ,เงินสดในมือ,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,0,0,0,0,0,0,0,-
11112010,กสิกรไทย-กระแสรายวัน,เงินฝากกระแสรายวัน,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,791496.25,84813.01,876309.26,0,7465.800000000149,800,8265.800000000148,"HMW,CLIK"
11112011,กสิกรไทย-กระแสรายวัน,เงินฝากกระแสรายวัน,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,29933.69,0,99176.1,129109.79,282.35,0,935.48,1217.83,"ACG,CLIK"
11112021,กรุงไทย-กระแสรายวัน-984-0-73223-4,เงินฝากกระแสรายวัน,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,1060.16,0,1060.16,0,10,0,10,HMW
11112023,กรุงไทย-กระแสรายวัน-382-6-00268-7,เงินฝากกระแสรายวัน,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,1262.87,0,0,1262.87,11.912,0,0,11.912,ACG
11112030,กรุงเทพ-กระแสรายวัน-264-308558-8,เงินฝากกระแสรายวัน,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,0.53,0,0.53,0,0.005,0,0.005,HMW
11112040,กรุงเทพ-กระแสรายวัน-264-308559-6,เงินฝากกระแสรายวัน,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,15372.36,0,15372.36,0,145,0,145,HMW
11112041,BBL สาขาสุรินทร์-กระแสรายวัน 301-3-03690-4,เงินฝากกระแสรายวัน,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,-16548.08,0,-16548.08,0,-156.08999999992548,0,-156.08999999992548,HMW
