account_code,account_name_en,cf_activity,cf_method_direct,cf_method_indirect,sign_convention,note
1111,Petty Cash,CASH,CASH_BALANCE,CASH_BALANCE,DR,Component of cash
1112,Bank - Current,CASH,CASH_BALANCE,CASH_BALANCE,DR,Component of cash
1113,Bank - Savings,CASH,CASH_BALANCE,CASH_BALANCE,DR,Component of cash
1114,Bank - Fixed Deposit,CASH,CASH_BALANCE,CASH_BALANCE,DR,Component of cash
1121,AR - Cash Customer,OPERATING,CASH_FROM_CUSTOMER,WC_AR,DR,
1122,AR - Finance Co,OPERATING,CASH_FROM_CUSTOMER,WC_AR,DR,
1123,AR - Corporate,OPERATING,CASH_FROM_CUSTOMER,WC_AR,DR,
1124,Allowance Doubtful,OPERATING,NONCASH,NONCASH_ADJ,CR,Non-cash
1125,AR - Related Party,OPERATING,CASH_FROM_CUSTOMER,WC_AR,DR,Eliminated in conso
1130,Other Current Recv,OPERATING,N/A,WC_OTHER_RECV,DR,
1141,Inventory - New Vehicles,OPERATING,CASH_TO_SUPPLIER,WC_INVENTORY,DR,
1142,Inventory - Parts,OPERATING,CASH_TO_SUPPLIER,WC_INVENTORY,DR,
1143,Inventory - Used Vehicles,OPERATING,CASH_TO_SUPPLIER,WC_INVENTORY,DR,
1144,Allowance Inventory,OPERATING,NONCASH,NONCASH_ADJ,CR,Non-cash
1150,Other Current Asset,OPERATING,N/A,WC_OTHER_ASSET,DR,
1160,Current Tax Asset,OPERATING,TAX_PAID,WC_OTHER_ASSET,DR,
1210,Investment in Sub,INVESTING,N/A,N/A,DR,Conso elim
1215,LT Loan to Subsidiary,INVESTING,LOAN_GIVEN,N/A,DR,
1220,Other NC Recv,OPERATING,N/A,WC_OTHER_NC_RECV,DR,
1230,Investment Property,INVESTING,CAPEX,NONCASH_ADJ,DR,
1311,Land,INVESTING,CAPEX,NONCASH_ADJ,DR,
1312,Buildings,INVESTING,CAPEX,NONCASH_ADJ,DR,
1313,Vehicles,INVESTING,CAPEX,NONCASH_ADJ,DR,
1314,F&E,INVESTING,CAPEX,NONCASH_ADJ,DR,
1319,Accum Depr,INVESTING,NONCASH,NONCASH_ADJ,CR,Non-cash
1320,ROU Assets,INVESTING,NONCASH,NONCASH_ADJ,DR,TFRS16 non-cash addition
1325,Accum Depr ROU,INVESTING,NONCASH,NONCASH_ADJ,CR,Non-cash
1330,Intangible,INVESTING,CAPEX_INTANGIBLE,NONCASH_ADJ,DR,
1335,Accum Amort,INVESTING,NONCASH,NONCASH_ADJ,CR,Non-cash
1340,Deferred Tax Asset,OPERATING,NONCASH,NONCASH_ADJ,DR,Non-cash
1350,Other NC Asset,OPERATING,N/A,WC_OTHER_NC_ASSET,DR,
2110,ST Loan,FINANCING,LOAN_PROCEEDS_REPAY,N/A,CR,
2121,AP - Honda,OPERATING,CASH_TO_SUPPLIER,WC_AP,CR,
2122,AP - Parts,OPERATING,CASH_TO_SUPPLIER,WC_AP,CR,
2123,AP - Service,OPERATING,CASH_TO_SUPPLIER,WC_AP,CR,
2125,AP - Related,OPERATING,CASH_TO_SUPPLIER,WC_AP,CR,Eliminated in conso
2130,Other Current Payable,OPERATING,N/A,WC_OTHER_PAYABLE,CR,
2140,LT Loan Current,FINANCING,LT_LOAN_REPAY,N/A,CR,
2150,Lease Liability Current,FINANCING,LEASE_PAID,N/A,CR,
2160,Tax Payable,OPERATING,TAX_PAID,WC_TAX_PAYABLE,CR,
2170,Other Current Liab,OPERATING,N/A,WC_OTHER_CURRENT_LIAB,CR,
2210,LT Loan,FINANCING,LT_LOAN_REPAY,N/A,CR,
2215,LT Loan from Related,FINANCING,LOAN_RELATED,N/A,CR,
2220,Lease Liability,FINANCING,LEASE_PAID,N/A,CR,
2230,Employee Benefits,OPERATING,NONCASH,NONCASH_ADJ,CR,
2240,Other NC Liab,OPERATING,N/A,WC_OTHER_NC_LIAB,CR,
3110,Share Capital,FINANCING,EQUITY,N/A,CR,
3120,Share Premium,FINANCING,EQUITY,N/A,CR,
3140,Warrants,FINANCING,EQUITY,N/A,CR,Non-cash share-based payment
3150,Legal Reserve,FINANCING,N/A,N/A,CR,Internal equity transfer
3160,Retained Earnings,FINANCING,DIVIDEND_PAID,N/A,CR,Dividend out
3170,NCI,FINANCING,DIVIDEND_NCI,N/A,CR,Dividend to minority
4110,Revenue - Vehicles,OPERATING,CASH_FROM_CUSTOMER,NET_PROFIT,CR,
4120,Revenue - Service,OPERATING,CASH_FROM_CUSTOMER,NET_PROFIT,CR,
4130,Revenue - Parts,OPERATING,CASH_FROM_CUSTOMER,NET_PROFIT,CR,
4140,Revenue - Body Shop,OPERATING,CASH_FROM_CUSTOMER,NET_PROFIT,CR,
4150,Dividend Income,INVESTING,DIVIDEND_RECEIVED,NET_PROFIT,CR,Conso elim
4160,Commission Income,OPERATING,CASH_FROM_CUSTOMER,NET_PROFIT,CR,
4170,Mgmt Fee Income,OPERATING,CASH_FROM_CUSTOMER,NET_PROFIT,CR,Conso elim
4180,Gain on Disposal,INVESTING,NONCASH,NONCASH_ADJ,CR,Non-cash adj in indirect
4190,Other Income,OPERATING,CASH_FROM_CUSTOMER,NET_PROFIT,CR,
5110,COGS - Vehicles,OPERATING,CASH_TO_SUPPLIER,NET_PROFIT,DR,
5120,COGS - Parts,OPERATING,CASH_TO_SUPPLIER,NET_PROFIT,DR,
5130,Cost of Services,OPERATING,CASH_TO_SUPPLIER,NET_PROFIT,DR,
5135,Cost of Mgmt Service,OPERATING,CASH_TO_SUPPLIER,NET_PROFIT,DR,
5210,Distribution Cost,OPERATING,CASH_TO_SUPPLIER,NET_PROFIT,DR,
5310,Selling Expenses,OPERATING,CASH_TO_SUPPLIER,NET_PROFIT,DR,
5411,Salaries,OPERATING,CASH_TO_EMPLOYEE,NET_PROFIT,DR,
5412,Rent,OPERATING,CASH_TO_SUPPLIER,NET_PROFIT,DR,Note: ROU portion non-cash
5413,Utilities,OPERATING,CASH_TO_SUPPLIER,NET_PROFIT,DR,
5414,Depr PPE,OPERATING,NONCASH,NONCASH_ADJ,DR,Non-cash
5415,Depr ROU,OPERATING,NONCASH,NONCASH_ADJ,DR,Non-cash
5416,Depr Inv Property,OPERATING,NONCASH,NONCASH_ADJ,DR,Non-cash
5417,Amortization,OPERATING,NONCASH,NONCASH_ADJ,DR,Non-cash
5418,Professional Fees,OPERATING,CASH_TO_SUPPLIER,NET_PROFIT,DR,
5419,Other Admin Exp,OPERATING,CASH_TO_SUPPLIER,NET_PROFIT,DR,
5420,Bad Debt,OPERATING,NONCASH,NONCASH_ADJ,DR,Non-cash
5421,Inventory Write-down,OPERATING,NONCASH,NONCASH_ADJ,DR,Non-cash
5510,Finance Cost,FINANCING,INTEREST_PAID,NONCASH_ADJ,DR,Interest paid is financing in TAS 7
5610,Income Tax Expense,OPERATING,TAX_PAID,NONCASH_ADJ,DR,Non-cash for indirect; paid in OCF
