account_code,account_name_en,default_department,allowed_departments,note
4110,Vehicle Sales,SALES,SALES,
4120,Service Revenue,SERVICE,SERVICE;BODY_SHOP,
4130,Parts Revenue,PARTS,PARTS;SERVICE,
4140,Body Shop Revenue,BODY_SHOP,BODY_SHOP;SERVICE,
4150,Dividend Income,FINANCE,FINANCE,Holding co only
4160,Commission Income,SALES,SALES;FINANCE,
4170,Mgmt Fee Income,ADMIN,ADMIN,Holding co
4180,Gain on Disposal,FINANCE,FINANCE,
4190,Other Income,ADMIN,ALL,
5110,COGS Vehicles,SALES,SALES,
5120,COGS Parts,PARTS,PARTS,
5130,Cost of Services,SERVICE,SERVICE;BODY_SHOP,
5135,Cost of Mgmt Service,ADMIN,ADMIN,
5210,Distribution Cost,SALES,SALES,
5310,Selling Expenses,SALES,SALES;SERVICE;PARTS,
5411,Salaries,ADMIN,ALL,Allocated by department
5412,Rent,ADMIN,ALL,
5413,Utilities,ADMIN,ALL,
5414,Depr PPE,ADMIN,ALL,
5415,Depr ROU,ADMIN,ALL,
5416,Depr Inv Property,FINANCE,FINANCE,
5417,Amortization,ADMIN,ALL,
5418,Professional Fees,ADMIN,ADMIN,
5419,Other Admin,ADMIN,ALL,
5420,Bad Debt,SALES,SALES;SERVICE,
5421,Inventory Write-down,PARTS,PARTS;SALES,
5510,Finance Cost,FINANCE,FINANCE,
5610,Income Tax,FINANCE,FINANCE,
