account_code,account_name_th,account_name_en,account_type,statement,normal_balance,parent_code,used_by
1000,สินทรัพย์,Assets,HEADER,BS,DR,,ALL
1100,สินทรัพย์หมุนเวียน,Current Assets,HEADER,BS,DR,1000,ALL
1110,เงินสดและรายการเทียบเท่าเงินสด,Cash and Cash Equivalents,HEADER,BS,DR,1100,ALL
1111,เงินสดย่อย,Petty Cash,ASSET,BS,DR,1110,ALL
1112,เงินฝากธนาคาร - กระแสรายวัน,Bank - Current Account,ASSET,BS,DR,1110,ALL
1113,เงินฝากธนาคาร - ออมทรัพย์,Bank - Savings Account,ASSET,BS,DR,1110,ALL
1114,เงินฝากประจำ,Bank - Fixed Deposit,ASSET,BS,DR,1110,ALL
1120,ลูกหนี้การค้ากิจการอื่น,Trade AR - Third Parties,HEADER,BS,DR,1100,ALL
1121,ลูกหนี้การค้า - ลูกค้าเงินสด,Trade AR - Cash Customer,ASSET,BS,DR,1120,HMW;CLIK
1122,ลูกหนี้การค้า - ไฟแนนซ์,Trade AR - Finance Co,ASSET,BS,DR,1120,HMW
1123,ลูกหนี้การค้า - องค์กร/ฟลีท,Trade AR - Corporate/Fleet,ASSET,BS,DR,1120,HMW;CLIK
1124,ค่าเผื่อหนี้สงสัยจะสูญ,Allowance for Doubtful Accounts,CONTRA_ASSET,BS,CR,1120,HMW;CLIK
1125,ลูกหนี้การค้า - กิจการที่เกี่ยวข้องกัน,Trade AR - Related Parties,ASSET,BS,DR,1120,ACG;HMW;CLIK
1130,ลูกหนี้หมุนเวียนอื่น,Other Current Receivables,ASSET,BS,DR,1100,ALL
1140,สินค้าคงเหลือ,Inventory,HEADER,BS,DR,1100,HMW;CLIK
1141,สินค้าคงเหลือ - รถใหม่,Inventory - New Vehicles,ASSET,BS,DR,1140,HMW
1142,สินค้าคงเหลือ - อะไหล่,Inventory - Spare Parts,ASSET,BS,DR,1140,HMW;CLIK
1143,สินค้าคงเหลือ - รถมือสอง,Inventory - Used Vehicles,ASSET,BS,DR,1140,HMW
1144,ค่าเผื่อการลดมูลค่าสินค้า,Allowance for Inventory Write-down,CONTRA_ASSET,BS,CR,1140,HMW;CLIK
1150,สินทรัพย์หมุนเวียนอื่น,Other Current Assets,ASSET,BS,DR,1100,ALL
1160,สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน,Current Tax Asset,ASSET,BS,DR,1100,ALL
1200,สินทรัพย์ไม่หมุนเวียน,Non-Current Assets,HEADER,BS,DR,1000,ALL
1210,เงินลงทุนในบริษัทย่อย,Investment in Subsidiary,ASSET,BS,DR,1200,ACG
1215,เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,LT Loan to Subsidiary,ASSET,BS,DR,1200,ACG
1220,ลูกหนี้ไม่หมุนเวียนอื่น,Other Non-Current Receivables,ASSET,BS,DR,1200,ALL
1230,อสังหาริมทรัพย์เพื่อการลงทุน,Investment Property,ASSET,BS,DR,1200,HMW
1310,ที่ดิน อาคารและอุปกรณ์,Property Plant and Equipment,HEADER,BS,DR,1200,ALL
1311,ที่ดิน,Land,ASSET,BS,DR,1310,HMW;CLIK
1312,อาคารและสิ่งปลูกสร้าง,Buildings,ASSET,BS,DR,1310,HMW;CLIK
1313,ยานพาหนะ,Vehicles,ASSET,BS,DR,1310,HMW;CLIK
1314,เครื่องตกแต่งและอุปกรณ์สำนักงาน,Furniture and Office Equipment,ASSET,BS,DR,1310,ALL
1319,ค่าเสื่อมราคาสะสม,Accumulated Depreciation,CONTRA_ASSET,BS,CR,1310,ALL
1320,สินทรัพย์สิทธิการใช้,Right-of-Use Assets,ASSET,BS,DR,1200,HMW;CLIK
1325,ค่าเสื่อมราคาสะสม - สิทธิการใช้,Accum Depreciation - ROU,CONTRA_ASSET,BS,CR,1320,HMW;CLIK
1330,สินทรัพย์ไม่มีตัวตน,Intangible Assets,ASSET,BS,DR,1200,ALL
1335,ค่าตัดจำหน่ายสะสม - สินทรัพย์ไม่มีตัวตน,Accum Amortization - Intangibles,CONTRA_ASSET,BS,CR,1330,ALL
1340,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,Deferred Tax Assets,ASSET,BS,DR,1200,ALL
1350,สินทรัพย์ไม่หมุนเวียนอื่น,Other Non-Current Assets,ASSET,BS,DR,1200,ALL
2000,หนี้สิน,Liabilities,HEADER,BS,CR,,ALL
2100,หนี้สินหมุนเวียน,Current Liabilities,HEADER,BS,CR,2000,ALL
2110,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,Short-term Loan from FI,LIABILITY,BS,CR,2100,ACG;HMW;CLIK
2120,เจ้าหนี้การค้า,Trade AP,HEADER,BS,CR,2100,HMW;CLIK
2121,เจ้าหนี้การค้า - ฮอนด้า,AP - Honda,LIABILITY,BS,CR,2120,HMW
2122,เจ้าหนี้การค้า - อะไหล่,AP - Spare Parts Vendors,LIABILITY,BS,CR,2120,HMW;CLIK
2123,เจ้าหนี้การค้า - บริการ,AP - Service Vendors,LIABILITY,BS,CR,2120,HMW;CLIK
2125,เจ้าหนี้การค้า - กิจการที่เกี่ยวข้องกัน,Trade AP - Related Parties,LIABILITY,BS,CR,2120,ACG;HMW;CLIK
2130,เจ้าหนี้หมุนเวียนอื่น,Other Current Payables,LIABILITY,BS,CR,2100,ALL
