asset_code,asset_name,company,asset_class,acquisition_date,acquisition_cost,useful_life_years,accum_dep_opening,accum_dep_closing,nbv_opening,nbv_closing,disposal_date,disposal_proceeds,note
FA-HMW-LAND-001,ที่ดินโชว์รูมขอนแก่น,HMW,LAND,2010-01-01,180000000,0,0,0,180000000,180000000,,,Land not depreciated
FA-HMW-BLDG-001,อาคารโชว์รูมและศูนย์บริการ,HMW,BUILDING,2010-06-01,250000000,30,75000000,83333333,175000000,166666667,,,
FA-HMW-VEH-001,รถทดลองขับ Fleet 2024,HMW,VEHICLE,2024-01-15,12000000,5,2400000,4800000,9600000,7200000,,,
FA-HMW-VEH-002,รถทดลองขับ Fleet 2025,HMW,VEHICLE,2025-03-01,8500000,5,0,1416667,8500000,7083333,,,
FA-HMW-FE-001,อุปกรณ์ซ่อมบำรุง 2023,HMW,EQUIPMENT,2023-01-01,18000000,5,7200000,10800000,10800000,7200000,,,
FA-HMW-FE-002,เครื่องตกแต่งสำนักงาน 2024,HMW,FURNITURE,2024-06-01,4500000,5,525000,1425000,3975000,3075000,,,
FA-HMW-DISP-001,รถทดลองขับเก่า (จำหน่าย),HMW,VEHICLE,2020-01-01,7000000,5,7000000,7000000,0,0,2025-06-15,3272996,Sold at gain
FA-CLIK-LAND-001,ที่ดินศูนย์บริการ,CLIK,LAND,2021-01-01,45000000,0,0,0,45000000,45000000,,,
FA-CLIK-BLDG-001,อาคารศูนย์บริการ,CLIK,BUILDING,2021-06-01,40000000,30,5333333,6666667,34666667,33333333,,,
FA-CLIK-EQ-001,เครื่องมือซ่อมบำรุง,CLIK,EQUIPMENT,2022-01-01,20000000,5,12000000,16000000,8000000,4000000,,,
FA-CLIK-FE-001,อุปกรณ์สำนักงาน,CLIK,FURNITURE,2023-01-01,2500000,5,1000000,1500000,1500000,1000000,,,
FA-ACG-FE-001,อุปกรณ์สำนักงานสำนักงานใหญ่,ACG,FURNITURE,2022-01-01,1500000,5,600000,900000,900000,600000,,,
FA-ACG-IT-001,ระบบ ERP Software,ACG,INTANGIBLE,2023-01-01,7000000,7,1000000,2000000,6000000,5000000,,,Capitalized intangible
