company,statement,line_item,opening_2568,closing_2568,fy_2568,fy_2567,note
# === PROFIT & LOSS ===
ACG,PL,revenue_management_fee,,,65097119,61528515,Management fees from subsidiaries
ACG,PL,revenue_dividend,,,15959273,7979636,Dividend received from HMW/CLIK
ACG,PL,revenue_other,,,275480,254347,
ACG,PL,total_revenue,,,81331872,69762498,
ACG,PL,cost_management_service,,,61935369,58598585,
ACG,PL,admin_expense,,,1405070,3860038,
ACG,PL,total_expense,,,63340439,62458623,
ACG,PL,operating_profit,,,17991433,7303875,
ACG,PL,finance_cost,,,0,0,
ACG,PL,profit_before_tax,,,17991433,7303875,
ACG,PL,income_tax_expense,,,467307,469999,
ACG,PL,net_profit,,,17524126,6833876,
HMW,PL,revenue_main,,,1113776315,1280869320,Vehicle sales + service + parts
HMW,PL,total_revenue,,,1162200111,1336273008,
HMW,PL,cogs,,,906494026,1072653442,
HMW,PL,gross_profit,,,207282289,208215878,Note: GP from total_revenue - COGS more conservative
HMW,PL,sga,,,156952059,156236193,
HMW,PL,total_expense,,,1063446085,1228889635,
HMW,PL,finance_cost,,,10942643,15331202,
HMW,PL,profit_before_tax,,,87811383,92052171,
HMW,PL,income_tax_expense,,,17246908,18227673,
HMW,PL,net_profit,,,70564475,73824498,
CLIK,PL,revenue_main,,,207088622,186372000,Service business
CLIK,PL,total_revenue,,,209917936,189168078,
CLIK,PL,cogs,,,172800928,164594554,
CLIK,PL,sga,,,57531675,59902837,
CLIK,PL,total_expense,,,230332603,224497391,
CLIK,PL,finance_cost,,,15471363,15323102,
CLIK,PL,loss_before_tax,,,-35886030,-50652415,
CLIK,PL,deferred_tax_benefit,,,-1498737,-2061337,Tax benefit (negative tax expense)
CLIK,PL,net_loss,,,-34387293,-48591078,
CONSO,PL,revenue_sales_service,,,1320815808,1467185097,Includes intercompany eliminations
CONSO,PL,revenue_commission,,,24126468,30551316,
CONSO,PL,revenue_other,,,13250158,14502317,
CONSO,PL,total_revenue,,,1358192434,1512238730,
CONSO,PL,cogs,,,1079265810,1237298606,
CONSO,PL,distribution_cost,,,56360501,57154282,
CONSO,PL,admin_expense,,,153605579,157300995,
CONSO,PL,total_expense,,,1289231890,1451753883,
CONSO,PL,operating_profit,,,68960544,60484847,
CONSO,PL,finance_cost,,,14962373,19751369,
CONSO,PL,profit_before_tax,,,53998171,40733478,
CONSO,PL,income_tax_expense,,,16215478,16636335,
CONSO,PL,net_profit,,,37782693,24097143,
CONSO,PL,np_attributable_parent,,,37609952,23918944,
CONSO,PL,np_attributable_nci,,,172741,178199,
# === BALANCE SHEET ===
ACG,BS,cash,15003473,17640169,,,Parent company cash
ACG,BS,other_current_recv,13903525,12925559,,,
ACG,BS,investment_in_sub,598590000,598590000,,,Investment in HMW + CLIK
ACG,BS,intangible,6006637,6076788,,,
ACG,BS,deferred_tax_asset,1247723,1538448,,,
ACG,BS,total_assets,634762609,636791324,,,
ACG,BS,ap_other,2283178,1109447,,,
ACG,BS,employee_benefit,6238616,7692243,,,
ACG,BS,total_liabilities,9052158,9333099,,,
ACG,BS,share_capital,300000000,300000000,,,
ACG,BS,share_premium,137109509,137109509,,,
ACG,BS,warrants,15346013,16113897,,,
ACG,BS,legal_reserve,7498303,8378303,,,
ACG,BS,retained_earnings,165756626,165856516,,,Net profit 17.5M - dividend 15.96M - reserve 0.88M
ACG,BS,total_equity,625710451,627458225,,,
HMW,BS,cash,,,,,Estimated from CONSO less ACG less CLIK
HMW,BS,ar,28400825,33792896,,,
HMW,BS,inventory,108652238,59502885,,,
HMW,BS,ppe_net,597737963,558287983,,,Net of accum depr (CONSO figure used)
HMW,BS,total_assets,1236147605,1185659919,,,
HMW,BS,ap,82704488,87097100,,,Trade AP
HMW,BS,st_loan,220000000,120000000,,,
HMW,BS,lt_loan_current,11150000,0,,,
HMW,BS,total_liabilities,440265043,335380706,,,
HMW,BS,total_equity,795882562,850279213,,,
CLIK,BS,cash,,,,,Subsidiary cash
CLIK,BS,ar,6135438,938218,,,
CLIK,BS,inventory,9380363,14621524,,,
CLIK,BS,ppe_net,97774396,79334982,,,
CLIK,BS,total_assets,231724032,198599696,,,
CLIK,BS,total_liabilities,340108547,341284906,,,
CLIK,BS,total_equity,-108384515,-142685210,,,Negative equity due to accumulated losses
CONSO,BS,cash,165871149,173743169,,,
CONSO,BS,ar_trade,22136556,21606892,,,
CONSO,BS,ar_other_current,10134287,13437598,,,
CONSO,BS,inventory,118032601,74124409,,,
CONSO,BS,other_current_asset,2816124,1496906,,,
CONSO,BS,total_current_assets,318990717,284408974,,,
CONSO,BS,ar_other_nc,4522324,4489980,,,
CONSO,BS,investment_property,145607870,144164368,,,
CONSO,BS,ppe_net,597737963,558287983,,,
CONSO,BS,rou_assets,156856043,141912925,,,
CONSO,BS,intangible_net,6447216,6457013,,,
CONSO,BS,deferred_tax_asset,12138255,14845239,,,
CONSO,BS,other_nc_asset,9772775,9928613,,,
CONSO,BS,total_nc_assets,933082446,880086121,,,
CONSO,BS,total_assets,1252073163,1164495095,,,
CONSO,BS,st_loan,220000000,120000000,,,
CONSO,BS,ap_trade,82704488,87097100,,,
CONSO,BS,ap_other_current,25140029,24138701,,,
CONSO,BS,lt_loan_current,11150000,0,,,
CONSO,BS,lease_current,9002300,10510744,,,
CONSO,BS,tax_payable,4056207,5996908,,,
CONSO,BS,other_current_liab,2561450,5497209,,,
CONSO,BS,total_current_liab,354614474,253240662,,,
CONSO,BS,lt_loan_nc,0,0,,,
CONSO,BS,lease_nc,168083552,157619708,,,
CONSO,BS,employee_benefit,8783778,10858270,,,
CONSO,BS,other_nc_liab,5912371,6213079,,,
CONSO,BS,total_nc_liab,182779701,174691057,,,
CONSO,BS,total_liabilities,537394175,427931719,,,
CONSO,BS,share_capital,300000000,300000000,,,
CONSO,BS,share_premium,137109509,137109509,,,
CONSO,BS,business_restructure_premium,130891299,130891299,,,
CONSO,BS,warrants,15346013,16113897,,,
CONSO,BS,legal_reserve,7498303,8378303,,,
CONSO,BS,retained_earnings,121861588,141966488,,,
CONSO,BS,total_equity_parent,712706712,734459496,,,
CONSO,BS,nci,1972276,2103880,,,
CONSO,BS,total_equity,714678988,736563376,,,
# === CASH FLOW STATEMENT (CONSO) ===
CONSO,CF,opening_cash,165871149,,,,
CONSO,CF,closing_cash,,173743169,,,
CONSO,CF,cf_ocf,,,159138454,159787420,Operating Cash Flow
CONSO,CF,cf_icf,,,-433614,-14548978,Investing Cash Flow
CONSO,CF,cf_fcf,,,-150832820,-152505933,Financing Cash Flow
CONSO,CF,net_change_cash,,,7872020,-7267491,
CONSO,CF,depreciation_ppe,,,40172607,41211000,
CONSO,CF,depreciation_inv_property,,,1443501,1467356,
CONSO,CF,depreciation_rou,,,15011633,14959706,
CONSO,CF,amortization_intangible,,,1124861,1220373,
CONSO,CF,reversal_credit_loss,,,-64000,0,
CONSO,CF,employee_benefit_provision,,,1242664,1079762,
CONSO,CF,reversal_inventory_writedown,,,-916786,-5940759,
CONSO,CF,gain_on_disposal_equipment,,,-1347426,-1544768,
CONSO,CF,share_based_payment,,,767884,3279447,
CONSO,CF,interest_received,,,491541,826945,
CONSO,CF,wc_ar_change,,,593664,25977178,Positive = AR decrease = cash in
CONSO,CF,wc_other_recv_change,,,-3291363,899201,
CONSO,CF,wc_inventory_change,,,44824978,43546862,Inventory decrease = cash in
CONSO,CF,wc_other_current_asset_change,,,1319218,3283893,
CONSO,CF,wc_other_nc_recv_change,,,-59323,-249883,
CONSO,CF,wc_other_nc_asset_change,,,-155838,-116179,
CONSO,CF,wc_ap_change,,,4392612,-6544856,AP increase = cash in
CONSO,CF,wc_other_payable_change,,,-1170818,-3166726,
CONSO,CF,wc_other_current_liab_change,,,2935759,-1156955,
CONSO,CF,income_tax_paid,,,-16154376,-18986735,
CONSO,CF,capex_equipment,,,-3063493,-18203626,
CONSO,CF,proceeds_disposal_equipment,,,3272996,4447972,
CONSO,CF,capex_intangible,,,-1134658,-1620269,
CONSO,CF,st_loan_proceeds,,,920000000,1800000000,
CONSO,CF,st_loan_repaid,,,-1020000000,-1900000000,
CONSO,CF,lt_loan_repaid,,,-11150000,-16200000,
CONSO,CF,lease_paid,,,-16661489,-16874374,
CONSO,CF,dividend_paid_parent,,,-15956511,-8003940,
CONSO,CF,dividend_paid_nci,,,-40727,-20364,
CONSO,CF,interest_paid,,,-7024093,-11407255,
