"diff","company","pct","line","actual","tag","target"
"1347426","HMW","0.11593752119337","Total Revenue","1163547537","CLOSE","1162200111"
"0","HMW","0","COGS","906494026","OK","906494026"
"119214","HMW","0.0759556776505876","SGA (incl 5135,5210,5310)","157071273","CLOSE","156952059"
"0","HMW","0","Finance Cost","10942643","OK","10942643"
"0","HMW","0","Income Tax","17246908","OK","17246908"
"-1928071","HMW","-5.70555124958808","AR (1121-1125)","31864825","OFF","33792896"
"921327","HMW","1.54837366289046","Inventory (1141-1144)","60424212","CLOSE","59502885"
"6602","HMW","0.00758004571908824","AP Trade (2121-2123)","87103702","CLOSE","87097100"
"0","HMW","0","ST Loan (2110)","120000000","OK","120000000"
"0","HMW","0","LT Loan Current (2140)","0","OK","0"
"0","CLIK","0","Total Revenue","209917936","OK","209917936"
"0","CLIK","0","COGS","172800928","OK","172800928"
"142664","CLIK","0.247974702631203","SGA total","57674339","CLOSE","57531675"
"0","CLIK","0","Finance Cost","15471363","OK","15471363"
"1197220","CLIK","127.605737685698","AR (1121-1125)","2135438","OFF","938218"
"-1504","CLIK","-0.0102862054598413","Inventory","14620020","CLOSE","14621524"
"0","CLIK","0","LT Loan (2210)","80000000","OK","80000000"
"0","ACG","0","Total Revenue","81331872","OK","81331872"
"0","ACG","0","Cost of Mgmt Service","61935369","OK","61935369"
"767884","ACG","54.6509426576612","Admin Expense","2172954","OFF","1405070"
"0","ACG","0","Income Tax","467307","OK","467307"
"0","ACG","0","Investment in Sub","598590000","OK","598590000"
"0","ACG","0","Share Capital","300000000","OK","300000000"
"0","ACG","0","Share Premium","137109509","OK","137109509"
