"company","account_code","total_debit","total_credit","balance"
"ACG","2230","0","6238616","-6238616"
"ACG","1130","13903525","0","13903525"
"ACG","3140","0","16113897","-16113897"
"ACG","1210","598590000","0","598590000"
"ACG","1112","95234753","76737640","18497113"
"ACG","1340","1247723","0","1247723"
"ACG","3150","0","8378303","-8378303"
"ACG","2130","58838601","64218547","-5379946"
"ACG","1330","7029616","0","7029616"
"ACG","3120","0","137109509","-137109509"
"ACG","3110","0","300000000","-300000000"
"ACG","1314","1500000","0","1500000"
"ACG","1113","1003473","0","1003473"
"ACG","3160","16836511","185131981","-168295470"
"ACG","1319","600000","0","600000"
"ACG","1125","65097119","65000000","97119"
"ACG","4170","65097119","65097119","0"
"ACG","4150","15959273","15959273","0"
"ACG","4190","275480","275480","0"
"ACG","5135","61935369","61935369","0"
"ACG","5417","952828","952828","0"
"ACG","1335","0","952828","-952828"
"ACG","5419","1020126","1020126","0"
"ACG","5418","200000","200000","0"
"ACG","5610","467307","467307","0"
"ACG","2160","467307","467307","0"
"HMW","1314","15038493","0","15038493"
"HMW","2150","14861489","19460744","-4599255"
"HMW","1112","2202073107","1987924136","214148971"
"HMW","1313","12400000","7000000","5400000"
"HMW","1143","33001452","0","33001452"
"HMW","1319","89130670","38000000","51130670"
"HMW","1230","145607870","1443501","144164369"
"HMW","1122","250000000","237000000","13000000"
"HMW","2110","1020000000","1140000000","-120000000"
"HMW","2122","125000000","142000000","-17000000"
"HMW","2130","16000000","38008558","-22008558"
"HMW","2230","0","4100000","-4100000"
"HMW","2121","720000000","792349214","-72349214"
"HMW","3160","269765431","267675249","2090182"
"HMW","1311","180000000","0","180000000"
"HMW","3110","0","600000000","-600000000"
"HMW","2170","0","2000000","-2000000"
"HMW","1320","156856043","0","156856043"
"HMW","1312","175000000","0","175000000"
"HMW","1220","4522324","0","4522324"
"HMW","2123","7950000","5704488","2245512"
"HMW","1123","122400825","115600000","6800825"
"HMW","2140","11150000","11150000","0"
"HMW","2220","10510744","170500000","-159989256"
"HMW","1340","10590532","0","10590532"
"HMW","1113","10000000","0","10000000"
"HMW","1130","9080797","0","9080797"
"HMW","1142","148000000","186494026","-38494026"
"HMW","1121","12000000","0","12000000"
"HMW","2160","15500000","21303115","-5803115"
"HMW","1350","9772775","0","9772775"
"HMW","1141","785000000","720000000","65000000"
"HMW","2240","0","5912371","-5912371"
"HMW","1150","1812064","0","1812064"
"HMW","4190","22726217","22726217","0"
"HMW","4160","24126468","24126468","0"
"HMW","1125","13200000","13200000","0"
"HMW","4130","110000000","110000000","0"
"HMW","4110","800000000","800000000","0"
"HMW","4180","2694852","2694852","0"
"HMW","4140","24000000","24000000","0"
"HMW","4120","180000000","180000000","0"
"HMW","5110","720000000","720000000","0"
"HMW","5120","95000000","95000000","0"
"HMW","5130","91494026","91494026","0"
"HMW","1144","916786","0","916786"
"HMW","5421","916786","916786","0"
"HMW","1124","64000","0","64000"
"HMW","5420","64000","64000","0"
"HMW","5210","2508558","2508558","0"
"HMW","5415","14500000","14500000","0"
"HMW","1325","0","14500000","-14500000"
"HMW","5419","5500000","5500000","0"
"HMW","5413","6000000","6000000","0"
"HMW","5416","1443501","1443501","0"
"HMW","5411","33100000","33100000","0"
"HMW","5418","2000000","2000000","0"
"HMW","5135","55000000","55000000","0"
"HMW","2125","0","55000000","-55000000"
"HMW","5414","38000000","38000000","0"
"HMW","5510","10942643","10942643","0"
"HMW","5610","17246908","17246908","0"
"HMW","3150","0","880000","-880000"
"CLIK","2220","0","4971363","-4971363"
"CLIK","2170","0","561450","-561450"
"CLIK","1311","45000000","0","45000000"
"CLIK","2230","0","3642664","-3642664"
"CLIK","2130","119000000","139723359","-20723359"
"CLIK","1325","2000000","411633","1588367"
"CLIK","1312","40000000","0","40000000"
"CLIK","1320","6000000","0","6000000"
"CLIK","2122","58000000","63540585","-5540585"
"CLIK","1130","1626237","0","1626237"
"CLIK","1330","440579","0","440579"
"CLIK","2123","9000000","12000000","-3000000"
"CLIK","1314","4500000","0","4500000"
"CLIK","1123","56135438","55200000","935438"
"CLIK","1319","20725604","4174703","16550901"
"CLIK","2215","0","200000000","-200000000"
"CLIK","1150","1004161","0","1004161"
"CLIK","1121","1000000","0","1000000"
"CLIK","2125","16100000","22097119","-5997119"
"CLIK","3110","0","50000000","-50000000"
"CLIK","2150","1800000","700000","1100000"
"CLIK","1112","221917936","236900000","-14982064"
"CLIK","3160","252931302","0","252931302"
"CLIK","1142","67420948","52800928","14620020"
"CLIK","1340","3046460","0","3046460"
"CLIK","2210","0","80000000","-80000000"
"CLIK","4190","4417936","4417936","0"
"CLIK","4130","40000000","40000000","0"
"CLIK","1125","3500000","3300000","200000"
"CLIK","4160","3500000","3500000","0"
"CLIK","4140","12000000","12000000","0"
"CLIK","4120","150000000","150000000","0"
"CLIK","5120","52800928","52800928","0"
"CLIK","5130","120000000","120000000","0"
"CLIK","5210","7000000","7000000","0"
"CLIK","5411","25142664","25142664","0"
"CLIK","5414","4174703","4174703","0"
"CLIK","5135","10097119","10097119","0"
"CLIK","5415","411633","411633","0"
"CLIK","5418","1000000","1000000","0"
"CLIK","5417","1124861","1124861","0"
"CLIK","1335","0","1124861","-1124861"
"CLIK","5419","3000000","3000000","0"
"CLIK","5413","3000000","3000000","0"
"CLIK","5310","2723359","2723359","0"
"CLIK","5510","15471363","15471363","0"
"CLIK","5610","1498737","1498737","0"
