"bill_id","company","bill_date","vendor_code","ap_account","amount_ex_vat","description","reference"
"JE-HMW-00122","HMW","2025-01-25","VEND-HMW-001","2121","52500000","HMW inventory purchase","PUR-HMW-2025-01-1141"
"JE-HMW-00123","HMW","2025-02-25","VEND-HMW-001","2121","49000000","HMW inventory purchase","PUR-HMW-2025-02-1141"
"JE-HMW-00124","HMW","2025-03-25","VEND-HMW-001","2121","59500000","HMW inventory purchase","PUR-HMW-2025-03-1141"
"JE-HMW-00125","HMW","2025-04-25","VEND-HMW-001","2121","52500000","HMW inventory purchase","PUR-HMW-2025-04-1141"
"JE-HMW-00126","HMW","2025-05-25","VEND-HMW-001","2121","56000000","HMW inventory purchase","PUR-HMW-2025-05-1141"
"JE-HMW-00127","HMW","2025-06-25","VEND-HMW-001","2121","59500000","HMW inventory purchase","PUR-HMW-2025-06-1141"
"JE-HMW-00128","HMW","2025-07-25","VEND-HMW-001","2121","59500000","HMW inventory purchase","PUR-HMW-2025-07-1141"
"JE-HMW-00129","HMW","2025-08-25","VEND-HMW-001","2121","59500000","HMW inventory purchase","PUR-HMW-2025-08-1141"
"JE-HMW-00130","HMW","2025-09-25","VEND-HMW-001","2121","63000000","HMW inventory purchase","PUR-HMW-2025-09-1141"
"JE-HMW-00131","HMW","2025-10-25","VEND-HMW-001","2121","63000000","HMW inventory purchase","PUR-HMW-2025-10-1141"
"JE-HMW-00132","HMW","2025-11-25","VEND-HMW-001","2121","63000000","HMW inventory purchase","PUR-HMW-2025-11-1141"
"JE-HMW-00133","HMW","2025-12-25","VEND-HMW-001","2121","63000000","HMW inventory purchase","PUR-HMW-2025-12-1141"
"JE-HMW-00134","HMW","2025-01-25","VEND-HMW-001","2121","2051191","HMW inventory purchase","PUR-HMW-2025-01-1143"
"JE-HMW-00135","HMW","2025-02-25","VEND-HMW-001","2121","1914445","HMW inventory purchase","PUR-HMW-2025-02-1143"
"JE-HMW-00136","HMW","2025-03-25","VEND-HMW-001","2121","2324683","HMW inventory purchase","PUR-HMW-2025-03-1143"
"JE-HMW-00137","HMW","2025-04-25","VEND-HMW-001","2121","2051191","HMW inventory purchase","PUR-HMW-2025-04-1143"
"JE-HMW-00138","HMW","2025-05-25","VEND-HMW-001","2121","2187937","HMW inventory purchase","PUR-HMW-2025-05-1143"
"JE-HMW-00139","HMW","2025-06-25","VEND-HMW-001","2121","2324683","HMW inventory purchase","PUR-HMW-2025-06-1143"
"JE-HMW-00140","HMW","2025-07-25","VEND-HMW-001","2121","2324683","HMW inventory purchase","PUR-HMW-2025-07-1143"
"JE-HMW-00141","HMW","2025-08-25","VEND-HMW-001","2121","2324683","HMW inventory purchase","PUR-HMW-2025-08-1143"
"JE-HMW-00142","HMW","2025-09-25","VEND-HMW-001","2121","2461429","HMW inventory purchase","PUR-HMW-2025-09-1143"
"JE-HMW-00143","HMW","2025-10-25","VEND-HMW-001","2121","2461429","HMW inventory purchase","PUR-HMW-2025-10-1143"
"JE-HMW-00144","HMW","2025-11-25","VEND-HMW-001","2121","2461429","HMW inventory purchase","PUR-HMW-2025-11-1143"
"JE-HMW-00145","HMW","2025-12-25","VEND-HMW-001","2121","2461431","HMW inventory purchase","PUR-HMW-2025-12-1143"
"JE-HMW-00146","HMW","2025-01-25","VEND-HMW-002","2122","9750000","HMW inventory purchase","PUR-HMW-2025-01-1142"
"JE-HMW-00147","HMW","2025-02-25","VEND-HMW-002","2122","9100000","HMW inventory purchase","PUR-HMW-2025-02-1142"
"JE-HMW-00148","HMW","2025-03-25","VEND-HMW-002","2122","11050000","HMW inventory purchase","PUR-HMW-2025-03-1142"
"JE-HMW-00149","HMW","2025-04-25","VEND-HMW-002","2122","9750000","HMW inventory purchase","PUR-HMW-2025-04-1142"
"JE-HMW-00150","HMW","2025-05-25","VEND-HMW-002","2122","10400000","HMW inventory purchase","PUR-HMW-2025-05-1142"
"JE-HMW-00151","HMW","2025-06-25","VEND-HMW-002","2122","11050000","HMW inventory purchase","PUR-HMW-2025-06-1142"
"JE-HMW-00152","HMW","2025-07-25","VEND-HMW-002","2122","11050000","HMW inventory purchase","PUR-HMW-2025-07-1142"
"JE-HMW-00153","HMW","2025-08-25","VEND-HMW-002","2122","11050000","HMW inventory purchase","PUR-HMW-2025-08-1142"
"JE-HMW-00154","HMW","2025-09-25","VEND-HMW-002","2122","11700000","HMW inventory purchase","PUR-HMW-2025-09-1142"
"JE-HMW-00155","HMW","2025-10-25","VEND-HMW-002","2122","11700000","HMW inventory purchase","PUR-HMW-2025-10-1142"
"JE-HMW-00156","HMW","2025-11-25","VEND-HMW-002","2122","11700000","HMW inventory purchase","PUR-HMW-2025-11-1142"
"JE-HMW-00157","HMW","2025-12-25","VEND-HMW-002","2122","11700000","HMW inventory purchase","PUR-HMW-2025-12-1142"
"JE-CLIK-00086","CLIK","2025-01-22","VEND-CLIK-001","2122","4353044","CLIK parts purchase","PUR-CLIK-2025-01"
"JE-CLIK-00087","CLIK","2025-02-22","VEND-CLIK-001","2122","4062841","CLIK parts purchase","PUR-CLIK-2025-02"
"JE-CLIK-00088","CLIK","2025-03-22","VEND-CLIK-001","2122","4933450","CLIK parts purchase","PUR-CLIK-2025-03"
"JE-CLIK-00089","CLIK","2025-04-22","VEND-CLIK-001","2122","4353044","CLIK parts purchase","PUR-CLIK-2025-04"
"JE-CLIK-00090","CLIK","2025-05-22","VEND-CLIK-001","2122","4643247","CLIK parts purchase","PUR-CLIK-2025-05"
"JE-CLIK-00091","CLIK","2025-06-22","VEND-CLIK-001","2122","4933450","CLIK parts purchase","PUR-CLIK-2025-06"
"JE-CLIK-00092","CLIK","2025-07-22","VEND-CLIK-001","2122","4933450","CLIK parts purchase","PUR-CLIK-2025-07"
"JE-CLIK-00093","CLIK","2025-08-22","VEND-CLIK-001","2122","4933450","CLIK parts purchase","PUR-CLIK-2025-08"
"JE-CLIK-00094","CLIK","2025-09-22","VEND-CLIK-001","2122","5223653","CLIK parts purchase","PUR-CLIK-2025-09"
"JE-CLIK-00095","CLIK","2025-10-22","VEND-CLIK-001","2122","5223653","CLIK parts purchase","PUR-CLIK-2025-10"
"JE-CLIK-00096","CLIK","2025-11-22","VEND-CLIK-001","2122","5223653","CLIK parts purchase","PUR-CLIK-2025-11"
"JE-CLIK-00097","CLIK","2025-12-22","VEND-CLIK-001","2122","5223650","CLIK parts purchase","PUR-CLIK-2025-12"
