"payment_id","company","payment_date","vendor_code","ap_account","amount","description","reference"
"JE-HMW-00272","HMW","2025-01-10","VEND-HMW-002","2122","9375000","HMW AP payment","AP-PAY-HMW-2025-01-2122"
"JE-HMW-00273","HMW","2025-02-10","VEND-HMW-002","2122","8750000","HMW AP payment","AP-PAY-HMW-2025-02-2122"
"JE-HMW-00274","HMW","2025-03-10","VEND-HMW-002","2122","10625000","HMW AP payment","AP-PAY-HMW-2025-03-2122"
"JE-HMW-00275","HMW","2025-04-10","VEND-HMW-002","2122","9375000","HMW AP payment","AP-PAY-HMW-2025-04-2122"
"JE-HMW-00276","HMW","2025-05-10","VEND-HMW-002","2122","10000000","HMW AP payment","AP-PAY-HMW-2025-05-2122"
"JE-HMW-00277","HMW","2025-06-10","VEND-HMW-002","2122","10625000","HMW AP payment","AP-PAY-HMW-2025-06-2122"
"JE-HMW-00278","HMW","2025-07-10","VEND-HMW-002","2122","10625000","HMW AP payment","AP-PAY-HMW-2025-07-2122"
"JE-HMW-00279","HMW","2025-08-10","VEND-HMW-002","2122","10625000","HMW AP payment","AP-PAY-HMW-2025-08-2122"
"JE-HMW-00280","HMW","2025-09-10","VEND-HMW-002","2122","11250000","HMW AP payment","AP-PAY-HMW-2025-09-2122"
"JE-HMW-00281","HMW","2025-10-10","VEND-HMW-002","2122","11250000","HMW AP payment","AP-PAY-HMW-2025-10-2122"
"JE-HMW-00282","HMW","2025-11-10","VEND-HMW-002","2122","11250000","HMW AP payment","AP-PAY-HMW-2025-11-2122"
"JE-HMW-00283","HMW","2025-12-10","VEND-HMW-002","2122","11250000","HMW AP payment","AP-PAY-HMW-2025-12-2122"
"JE-HMW-00284","HMW","2025-01-10","VEND-HMW-001","2121","54000000","HMW AP payment","AP-PAY-HMW-2025-01-2121"
"JE-HMW-00285","HMW","2025-02-10","VEND-HMW-001","2121","50400000","HMW AP payment","AP-PAY-HMW-2025-02-2121"
"JE-HMW-00286","HMW","2025-03-10","VEND-HMW-001","2121","61200000","HMW AP payment","AP-PAY-HMW-2025-03-2121"
"JE-HMW-00287","HMW","2025-04-10","VEND-HMW-001","2121","54000000","HMW AP payment","AP-PAY-HMW-2025-04-2121"
"JE-HMW-00288","HMW","2025-05-10","VEND-HMW-001","2121","57600000","HMW AP payment","AP-PAY-HMW-2025-05-2121"
"JE-HMW-00289","HMW","2025-06-10","VEND-HMW-001","2121","61200000","HMW AP payment","AP-PAY-HMW-2025-06-2121"
"JE-HMW-00290","HMW","2025-07-10","VEND-HMW-001","2121","61200000","HMW AP payment","AP-PAY-HMW-2025-07-2121"
"JE-HMW-00291","HMW","2025-08-10","VEND-HMW-001","2121","61200000","HMW AP payment","AP-PAY-HMW-2025-08-2121"
"JE-HMW-00292","HMW","2025-09-10","VEND-HMW-001","2121","64800000","HMW AP payment","AP-PAY-HMW-2025-09-2121"
"JE-HMW-00293","HMW","2025-10-10","VEND-HMW-001","2121","64800000","HMW AP payment","AP-PAY-HMW-2025-10-2121"
"JE-HMW-00294","HMW","2025-11-10","VEND-HMW-001","2121","64800000","HMW AP payment","AP-PAY-HMW-2025-11-2121"
"JE-HMW-00295","HMW","2025-12-10","VEND-HMW-001","2121","64800000","HMW AP payment","AP-PAY-HMW-2025-12-2121"
"JE-HMW-00296","HMW","2025-01-10","VEND-HMW-007","2123","596250","HMW AP payment","AP-PAY-HMW-2025-01-2123"
"JE-HMW-00297","HMW","2025-02-10","VEND-HMW-007","2123","556500","HMW AP payment","AP-PAY-HMW-2025-02-2123"
"JE-HMW-00298","HMW","2025-03-10","VEND-HMW-007","2123","675750","HMW AP payment","AP-PAY-HMW-2025-03-2123"
"JE-HMW-00299","HMW","2025-04-10","VEND-HMW-007","2123","596250","HMW AP payment","AP-PAY-HMW-2025-04-2123"
"JE-HMW-00300","HMW","2025-05-10","VEND-HMW-007","2123","636000","HMW AP payment","AP-PAY-HMW-2025-05-2123"
