"invoice_id","company","invoice_date","customer_code","ar_account","amount_ex_vat","description","reference"
"JE-HMW-00026","HMW","2025-01-28","CUST-HMW-099","1125","990000","HMW 4130 monthly revenue 2025-01","REV-HMW-2025-01-4130"
"JE-HMW-00027","HMW","2025-02-28","CUST-HMW-099","1125","924000","HMW 4130 monthly revenue 2025-02","REV-HMW-2025-02-4130"
"JE-HMW-00028","HMW","2025-03-28","CUST-HMW-099","1125","1122000","HMW 4130 monthly revenue 2025-03","REV-HMW-2025-03-4130"
"JE-HMW-00029","HMW","2025-04-28","CUST-HMW-099","1125","990000","HMW 4130 monthly revenue 2025-04","REV-HMW-2025-04-4130"
"JE-HMW-00030","HMW","2025-05-28","CUST-HMW-099","1125","1056000","HMW 4130 monthly revenue 2025-05","REV-HMW-2025-05-4130"
"JE-HMW-00031","HMW","2025-06-28","CUST-HMW-099","1125","1122000","HMW 4130 monthly revenue 2025-06","REV-HMW-2025-06-4130"
"JE-HMW-00032","HMW","2025-07-28","CUST-HMW-099","1125","1122000","HMW 4130 monthly revenue 2025-07","REV-HMW-2025-07-4130"
"JE-HMW-00033","HMW","2025-08-28","CUST-HMW-099","1125","1122000","HMW 4130 monthly revenue 2025-08","REV-HMW-2025-08-4130"
"JE-HMW-00034","HMW","2025-09-28","CUST-HMW-099","1125","1188000","HMW 4130 monthly revenue 2025-09","REV-HMW-2025-09-4130"
"JE-HMW-00035","HMW","2025-10-28","CUST-HMW-099","1125","1188000","HMW 4130 monthly revenue 2025-10","REV-HMW-2025-10-4130"
"JE-HMW-00036","HMW","2025-11-28","CUST-HMW-099","1125","1188000","HMW 4130 monthly revenue 2025-11","REV-HMW-2025-11-4130"
"JE-HMW-00037","HMW","2025-12-28","CUST-HMW-099","1125","1188000","HMW 4130 monthly revenue 2025-12","REV-HMW-2025-12-4130"
"JE-HMW-00038","HMW","2025-01-28","CUST-HMW-002","1122","18000000","HMW 4110 monthly revenue 2025-01","REV-HMW-2025-01-4110"
"JE-HMW-00038","HMW","2025-01-28","CUST-HMW-006","1123","6000000","HMW 4110 monthly revenue 2025-01","REV-HMW-2025-01-4110"
"JE-HMW-00039","HMW","2025-02-28","CUST-HMW-002","1122","16800000","HMW 4110 monthly revenue 2025-02","REV-HMW-2025-02-4110"
"JE-HMW-00039","HMW","2025-02-28","CUST-HMW-006","1123","5600000","HMW 4110 monthly revenue 2025-02","REV-HMW-2025-02-4110"
"JE-HMW-00040","HMW","2025-03-28","CUST-HMW-002","1122","20400000","HMW 4110 monthly revenue 2025-03","REV-HMW-2025-03-4110"
"JE-HMW-00040","HMW","2025-03-28","CUST-HMW-006","1123","6800000","HMW 4110 monthly revenue 2025-03","REV-HMW-2025-03-4110"
"JE-HMW-00041","HMW","2025-04-28","CUST-HMW-002","1122","18000000","HMW 4110 monthly revenue 2025-04","REV-HMW-2025-04-4110"
"JE-HMW-00041","HMW","2025-04-28","CUST-HMW-006","1123","6000000","HMW 4110 monthly revenue 2025-04","REV-HMW-2025-04-4110"
"JE-HMW-00042","HMW","2025-05-28","CUST-HMW-002","1122","19200000","HMW 4110 monthly revenue 2025-05","REV-HMW-2025-05-4110"
"JE-HMW-00042","HMW","2025-05-28","CUST-HMW-006","1123","6400000","HMW 4110 monthly revenue 2025-05","REV-HMW-2025-05-4110"
"JE-HMW-00043","HMW","2025-06-28","CUST-HMW-002","1122","20400000","HMW 4110 monthly revenue 2025-06","REV-HMW-2025-06-4110"
"JE-HMW-00043","HMW","2025-06-28","CUST-HMW-006","1123","6800000","HMW 4110 monthly revenue 2025-06","REV-HMW-2025-06-4110"
"JE-HMW-00044","HMW","2025-07-28","CUST-HMW-002","1122","20400000","HMW 4110 monthly revenue 2025-07","REV-HMW-2025-07-4110"
"JE-HMW-00044","HMW","2025-07-28","CUST-HMW-006","1123","6800000","HMW 4110 monthly revenue 2025-07","REV-HMW-2025-07-4110"
"JE-HMW-00045","HMW","2025-08-28","CUST-HMW-002","1122","20400000","HMW 4110 monthly revenue 2025-08","REV-HMW-2025-08-4110"
"JE-HMW-00045","HMW","2025-08-28","CUST-HMW-006","1123","6800000","HMW 4110 monthly revenue 2025-08","REV-HMW-2025-08-4110"
"JE-HMW-00046","HMW","2025-09-28","CUST-HMW-002","1122","21600000","HMW 4110 monthly revenue 2025-09","REV-HMW-2025-09-4110"
"JE-HMW-00046","HMW","2025-09-28","CUST-HMW-006","1123","7200000","HMW 4110 monthly revenue 2025-09","REV-HMW-2025-09-4110"
"JE-HMW-00047","HMW","2025-10-28","CUST-HMW-002","1122","21600000","HMW 4110 monthly revenue 2025-10","REV-HMW-2025-10-4110"
"JE-HMW-00047","HMW","2025-10-28","CUST-HMW-006","1123","7200000","HMW 4110 monthly revenue 2025-10","REV-HMW-2025-10-4110"
"JE-HMW-00048","HMW","2025-11-28","CUST-HMW-002","1122","21600000","HMW 4110 monthly revenue 2025-11","REV-HMW-2025-11-4110"
"JE-HMW-00048","HMW","2025-11-28","CUST-HMW-006","1123","7200000","HMW 4110 monthly revenue 2025-11","REV-HMW-2025-11-4110"
"JE-HMW-00049","HMW","2025-12-28","CUST-HMW-002","1122","21600000","HMW 4110 monthly revenue 2025-12","REV-HMW-2025-12-4110"
"JE-HMW-00049","HMW","2025-12-28","CUST-HMW-006","1123","7200000","HMW 4110 monthly revenue 2025-12","REV-HMW-2025-12-4110"
"JE-HMW-00074","HMW","2025-01-28","CUST-HMW-006","1123","2700000","HMW 4120 monthly revenue 2025-01","REV-HMW-2025-01-4120"
"JE-HMW-00075","HMW","2025-02-28","CUST-HMW-006","1123","2520000","HMW 4120 monthly revenue 2025-02","REV-HMW-2025-02-4120"
"JE-HMW-00076","HMW","2025-03-28","CUST-HMW-006","1123","3060000","HMW 4120 monthly revenue 2025-03","REV-HMW-2025-03-4120"
"JE-HMW-00077","HMW","2025-04-28","CUST-HMW-006","1123","2700000","HMW 4120 monthly revenue 2025-04","REV-HMW-2025-04-4120"
"JE-HMW-00078","HMW","2025-05-28","CUST-HMW-006","1123","2880000","HMW 4120 monthly revenue 2025-05","REV-HMW-2025-05-4120"
"JE-HMW-00079","HMW","2025-06-28","CUST-HMW-006","1123","3060000","HMW 4120 monthly revenue 2025-06","REV-HMW-2025-06-4120"
"JE-HMW-00080","HMW","2025-07-28","CUST-HMW-006","1123","3060000","HMW 4120 monthly revenue 2025-07","REV-HMW-2025-07-4120"
"JE-HMW-00081","HMW","2025-08-28","CUST-HMW-006","1123","3060000","HMW 4120 monthly revenue 2025-08","REV-HMW-2025-08-4120"
"JE-HMW-00082","HMW","2025-09-28","CUST-HMW-006","1123","3240000","HMW 4120 monthly revenue 2025-09","REV-HMW-2025-09-4120"
"JE-HMW-00083","HMW","2025-10-28","CUST-HMW-006","1123","3240000","HMW 4120 monthly revenue 2025-10","REV-HMW-2025-10-4120"
"JE-HMW-00084","HMW","2025-11-28","CUST-HMW-006","1123","3240000","HMW 4120 monthly revenue 2025-11","REV-HMW-2025-11-4120"
"JE-HMW-00085","HMW","2025-12-28","CUST-HMW-006","1123","3240000","HMW 4120 monthly revenue 2025-12","REV-HMW-2025-12-4120"
"JE-CLIK-00014","CLIK","2025-01-28","CUST-CLIK-002","1123","450000","CLIK 4130 monthly revenue","REV-CLIK-2025-01-4130"
"JE-CLIK-00015","CLIK","2025-02-28","CUST-CLIK-002","1123","420000","CLIK 4130 monthly revenue","REV-CLIK-2025-02-4130"
"JE-CLIK-00016","CLIK","2025-03-28","CUST-CLIK-002","1123","510000","CLIK 4130 monthly revenue","REV-CLIK-2025-03-4130"
"JE-CLIK-00017","CLIK","2025-04-28","CUST-CLIK-002","1123","450000","CLIK 4130 monthly revenue","REV-CLIK-2025-04-4130"
"JE-CLIK-00018","CLIK","2025-05-28","CUST-CLIK-002","1123","480000","CLIK 4130 monthly revenue","REV-CLIK-2025-05-4130"
"JE-CLIK-00019","CLIK","2025-06-28","CUST-CLIK-002","1123","510000","CLIK 4130 monthly revenue","REV-CLIK-2025-06-4130"
"JE-CLIK-00020","CLIK","2025-07-28","CUST-CLIK-002","1123","510000","CLIK 4130 monthly revenue","REV-CLIK-2025-07-4130"
"JE-CLIK-00021","CLIK","2025-08-28","CUST-CLIK-002","1123","510000","CLIK 4130 monthly revenue","REV-CLIK-2025-08-4130"
"JE-CLIK-00022","CLIK","2025-09-28","CUST-CLIK-002","1123","540000","CLIK 4130 monthly revenue","REV-CLIK-2025-09-4130"
"JE-CLIK-00023","CLIK","2025-10-28","CUST-CLIK-002","1123","540000","CLIK 4130 monthly revenue","REV-CLIK-2025-10-4130"
"JE-CLIK-00024","CLIK","2025-11-28","CUST-CLIK-002","1123","540000","CLIK 4130 monthly revenue","REV-CLIK-2025-11-4130"
"JE-CLIK-00025","CLIK","2025-12-28","CUST-CLIK-002","1123","540000","CLIK 4130 monthly revenue","REV-CLIK-2025-12-4130"
"JE-CLIK-00026","CLIK","2025-01-28","CUST-CLIK-099","1125","262500","CLIK 4160 monthly revenue","REV-CLIK-2025-01-4160"
"JE-CLIK-00027","CLIK","2025-02-28","CUST-CLIK-099","1125","245000","CLIK 4160 monthly revenue","REV-CLIK-2025-02-4160"
"JE-CLIK-00028","CLIK","2025-03-28","CUST-CLIK-099","1125","297500","CLIK 4160 monthly revenue","REV-CLIK-2025-03-4160"
"JE-CLIK-00029","CLIK","2025-04-28","CUST-CLIK-099","1125","262500","CLIK 4160 monthly revenue","REV-CLIK-2025-04-4160"
"JE-CLIK-00030","CLIK","2025-05-28","CUST-CLIK-099","1125","280000","CLIK 4160 monthly revenue","REV-CLIK-2025-05-4160"
"JE-CLIK-00031","CLIK","2025-06-28","CUST-CLIK-099","1125","297500","CLIK 4160 monthly revenue","REV-CLIK-2025-06-4160"
"JE-CLIK-00032","CLIK","2025-07-28","CUST-CLIK-099","1125","297500","CLIK 4160 monthly revenue","REV-CLIK-2025-07-4160"
"JE-CLIK-00033","CLIK","2025-08-28","CUST-CLIK-099","1125","297500","CLIK 4160 monthly revenue","REV-CLIK-2025-08-4160"
"JE-CLIK-00034","CLIK","2025-09-28","CUST-CLIK-099","1125","315000","CLIK 4160 monthly revenue","REV-CLIK-2025-09-4160"
"JE-CLIK-00035","CLIK","2025-10-28","CUST-CLIK-099","1125","315000","CLIK 4160 monthly revenue","REV-CLIK-2025-10-4160"
"JE-CLIK-00036","CLIK","2025-11-28","CUST-CLIK-099","1125","315000","CLIK 4160 monthly revenue","REV-CLIK-2025-11-4160"
"JE-CLIK-00037","CLIK","2025-12-28","CUST-CLIK-099","1125","315000","CLIK 4160 monthly revenue","REV-CLIK-2025-12-4160"
"JE-CLIK-00050","CLIK","2025-01-28","CUST-CLIK-002","1123","3375000","CLIK 4120 monthly revenue","REV-CLIK-2025-01-4120"
"JE-CLIK-00051","CLIK","2025-02-28","CUST-CLIK-002","1123","3150000","CLIK 4120 monthly revenue","REV-CLIK-2025-02-4120"
"JE-CLIK-00052","CLIK","2025-03-28","CUST-CLIK-002","1123","3825000","CLIK 4120 monthly revenue","REV-CLIK-2025-03-4120"
"JE-CLIK-00053","CLIK","2025-04-28","CUST-CLIK-002","1123","3375000","CLIK 4120 monthly revenue","REV-CLIK-2025-04-4120"
"JE-CLIK-00054","CLIK","2025-05-28","CUST-CLIK-002","1123","3600000","CLIK 4120 monthly revenue","REV-CLIK-2025-05-4120"
"JE-CLIK-00055","CLIK","2025-06-28","CUST-CLIK-002","1123","3825000","CLIK 4120 monthly revenue","REV-CLIK-2025-06-4120"
"JE-CLIK-00056","CLIK","2025-07-28","CUST-CLIK-002","1123","3825000","CLIK 4120 monthly revenue","REV-CLIK-2025-07-4120"
"JE-CLIK-00057","CLIK","2025-08-28","CUST-CLIK-002","1123","3825000","CLIK 4120 monthly revenue","REV-CLIK-2025-08-4120"
"JE-CLIK-00058","CLIK","2025-09-28","CUST-CLIK-002","1123","4050000","CLIK 4120 monthly revenue","REV-CLIK-2025-09-4120"
"JE-CLIK-00059","CLIK","2025-10-28","CUST-CLIK-002","1123","4050000","CLIK 4120 monthly revenue","REV-CLIK-2025-10-4120"
