"bank_txn_id","company","txn_date","bank_account","direction","amount","description","reference","source"
"JE-HMW-00001-3","HMW","2025-01-01","1112","IN","120000000","Opening balance 2025 (1-Jan)","OPEN-HMW","GL"
"JE-HMW-00001-26","HMW","2025-01-01","1113","IN","10000000","Opening balance 2025 (1-Jan)","OPEN-HMW","GL"
"JE-HMW-00002-1","HMW","2025-01-28","1112","IN","1704466","HMW 4190 monthly revenue 2025-01","REV-HMW-2025-01-4190","AR"
"JE-HMW-00003-1","HMW","2025-02-28","1112","IN","1590835","HMW 4190 monthly revenue 2025-02","REV-HMW-2025-02-4190","AR"
"JE-HMW-00004-1","HMW","2025-03-28","1112","IN","1931728","HMW 4190 monthly revenue 2025-03","REV-HMW-2025-03-4190","AR"
"JE-HMW-00005-1","HMW","2025-04-28","1112","IN","1704466","HMW 4190 monthly revenue 2025-04","REV-HMW-2025-04-4190","AR"
"JE-HMW-00006-1","HMW","2025-05-28","1112","IN","1818097","HMW 4190 monthly revenue 2025-05","REV-HMW-2025-05-4190","AR"
"JE-HMW-00007-1","HMW","2025-06-28","1112","IN","1931728","HMW 4190 monthly revenue 2025-06","REV-HMW-2025-06-4190","AR"
"JE-HMW-00008-1","HMW","2025-07-28","1112","IN","1931728","HMW 4190 monthly revenue 2025-07","REV-HMW-2025-07-4190","AR"
"JE-HMW-00009-1","HMW","2025-08-28","1112","IN","1931728","HMW 4190 monthly revenue 2025-08","REV-HMW-2025-08-4190","AR"
"JE-HMW-00010-1","HMW","2025-09-28","1112","IN","2045360","HMW 4190 monthly revenue 2025-09","REV-HMW-2025-09-4190","AR"
"JE-HMW-00011-1","HMW","2025-10-28","1112","IN","2045360","HMW 4190 monthly revenue 2025-10","REV-HMW-2025-10-4190","AR"
"JE-HMW-00012-1","HMW","2025-11-28","1112","IN","2045360","HMW 4190 monthly revenue 2025-11","REV-HMW-2025-11-4190","AR"
"JE-HMW-00013-1","HMW","2025-12-28","1112","IN","2045361","HMW 4190 monthly revenue 2025-12","REV-HMW-2025-12-4190","AR"
"JE-HMW-00014-1","HMW","2025-01-28","1112","IN","1809485","HMW 4160 monthly revenue 2025-01","REV-HMW-2025-01-4160","AR"
"JE-HMW-00015-1","HMW","2025-02-28","1112","IN","1688853","HMW 4160 monthly revenue 2025-02","REV-HMW-2025-02-4160","AR"
"JE-HMW-00016-1","HMW","2025-03-28","1112","IN","2050750","HMW 4160 monthly revenue 2025-03","REV-HMW-2025-03-4160","AR"
"JE-HMW-00017-1","HMW","2025-04-28","1112","IN","1809485","HMW 4160 monthly revenue 2025-04","REV-HMW-2025-04-4160","AR"
"JE-HMW-00018-1","HMW","2025-05-28","1112","IN","1930117","HMW 4160 monthly revenue 2025-05","REV-HMW-2025-05-4160","AR"
"JE-HMW-00019-1","HMW","2025-06-28","1112","IN","2050750","HMW 4160 monthly revenue 2025-06","REV-HMW-2025-06-4160","AR"
"JE-HMW-00020-1","HMW","2025-07-28","1112","IN","2050750","HMW 4160 monthly revenue 2025-07","REV-HMW-2025-07-4160","AR"
"JE-HMW-00021-1","HMW","2025-08-28","1112","IN","2050750","HMW 4160 monthly revenue 2025-08","REV-HMW-2025-08-4160","AR"
"JE-HMW-00022-1","HMW","2025-09-28","1112","IN","2171382","HMW 4160 monthly revenue 2025-09","REV-HMW-2025-09-4160","AR"
"JE-HMW-00023-1","HMW","2025-10-28","1112","IN","2171382","HMW 4160 monthly revenue 2025-10","REV-HMW-2025-10-4160","AR"
"JE-HMW-00024-1","HMW","2025-11-28","1112","IN","2171382","HMW 4160 monthly revenue 2025-11","REV-HMW-2025-11-4160","AR"
"JE-HMW-00025-1","HMW","2025-12-28","1112","IN","2171382","HMW 4160 monthly revenue 2025-12","REV-HMW-2025-12-4160","AR"
"JE-HMW-00026-2","HMW","2025-01-28","1112","IN","7260000","HMW 4130 monthly revenue 2025-01","REV-HMW-2025-01-4130","AR"
"JE-HMW-00027-2","HMW","2025-02-28","1112","IN","6776000","HMW 4130 monthly revenue 2025-02","REV-HMW-2025-02-4130","AR"
"JE-HMW-00028-2","HMW","2025-03-28","1112","IN","8228000","HMW 4130 monthly revenue 2025-03","REV-HMW-2025-03-4130","AR"
"JE-HMW-00029-2","HMW","2025-04-28","1112","IN","7260000","HMW 4130 monthly revenue 2025-04","REV-HMW-2025-04-4130","AR"
"JE-HMW-00030-2","HMW","2025-05-28","1112","IN","7744000","HMW 4130 monthly revenue 2025-05","REV-HMW-2025-05-4130","AR"
"JE-HMW-00031-2","HMW","2025-06-28","1112","IN","8228000","HMW 4130 monthly revenue 2025-06","REV-HMW-2025-06-4130","AR"
"JE-HMW-00032-2","HMW","2025-07-28","1112","IN","8228000","HMW 4130 monthly revenue 2025-07","REV-HMW-2025-07-4130","AR"
"JE-HMW-00033-2","HMW","2025-08-28","1112","IN","8228000","HMW 4130 monthly revenue 2025-08","REV-HMW-2025-08-4130","AR"
"JE-HMW-00034-2","HMW","2025-09-28","1112","IN","8712000","HMW 4130 monthly revenue 2025-09","REV-HMW-2025-09-4130","AR"
"JE-HMW-00035-2","HMW","2025-10-28","1112","IN","8712000","HMW 4130 monthly revenue 2025-10","REV-HMW-2025-10-4130","AR"
"JE-HMW-00036-2","HMW","2025-11-28","1112","IN","8712000","HMW 4130 monthly revenue 2025-11","REV-HMW-2025-11-4130","AR"
"JE-HMW-00037-2","HMW","2025-12-28","1112","IN","8712000","HMW 4130 monthly revenue 2025-12","REV-HMW-2025-12-4130","AR"
"JE-HMW-00038-1","HMW","2025-01-28","1112","IN","36000000","HMW 4110 monthly revenue 2025-01","REV-HMW-2025-01-4110","AR"
"JE-HMW-00039-1","HMW","2025-02-28","1112","IN","33600000","HMW 4110 monthly revenue 2025-02","REV-HMW-2025-02-4110","AR"
"JE-HMW-00040-1","HMW","2025-03-28","1112","IN","40800000","HMW 4110 monthly revenue 2025-03","REV-HMW-2025-03-4110","AR"
