"payment_id","company","payment_date","amount","description","reference","source"
"JE-HMW-00220","HMW","2025-01-28","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-01-5411","GL"
"JE-HMW-00221","HMW","2025-02-28","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-02-5411","GL"
"JE-HMW-00222","HMW","2025-03-28","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-03-5411","GL"
"JE-HMW-00223","HMW","2025-04-28","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-04-5411","GL"
"JE-HMW-00224","HMW","2025-05-28","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-05-5411","GL"
"JE-HMW-00225","HMW","2025-06-28","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-06-5411","GL"
"JE-HMW-00226","HMW","2025-07-28","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-07-5411","GL"
"JE-HMW-00227","HMW","2025-08-28","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-08-5411","GL"
"JE-HMW-00228","HMW","2025-09-28","2688000","HMW SGA 5411 monthly","OPEX-HMW-2025-09-5411","GL"
"JE-HMW-00229","HMW","2025-10-28","2688000","HMW SGA 5411 monthly","OPEX-HMW-2025-10-5411","GL"
"JE-HMW-00230","HMW","2025-11-28","2688000","HMW SGA 5411 monthly","OPEX-HMW-2025-11-5411","GL"
"JE-HMW-00231","HMW","2025-12-28","2688000","HMW SGA 5411 monthly","OPEX-HMW-2025-12-5411","GL"
"JE-HMW-00268","HMW","2025-03-25","4000000","Pay accrued other payables Q1","PAY-HMW-Q1-OCP","BANK"
"JE-HMW-00269","HMW","2025-06-25","4000000","Pay accrued other payables Q2","PAY-HMW-Q2-OCP","BANK"
"JE-HMW-00270","HMW","2025-09-25","4000000","Pay accrued other payables Q3","PAY-HMW-Q3-OCP","BANK"
"JE-HMW-00271","HMW","2025-12-25","4000000","Pay accrued other payables Q4","PAY-HMW-Q4-OCP","BANK"
"JE-HMW-00272","HMW","2025-01-10","9375000","HMW AP payment","AP-PAY-HMW-2025-01-2122","BANK"
"JE-HMW-00273","HMW","2025-02-10","8750000","HMW AP payment","AP-PAY-HMW-2025-02-2122","BANK"
"JE-HMW-00274","HMW","2025-03-10","10625000","HMW AP payment","AP-PAY-HMW-2025-03-2122","BANK"
"JE-HMW-00275","HMW","2025-04-10","9375000","HMW AP payment","AP-PAY-HMW-2025-04-2122","BANK"
"JE-HMW-00276","HMW","2025-05-10","10000000","HMW AP payment","AP-PAY-HMW-2025-05-2122","BANK"
"JE-HMW-00277","HMW","2025-06-10","10625000","HMW AP payment","AP-PAY-HMW-2025-06-2122","BANK"
"JE-HMW-00278","HMW","2025-07-10","10625000","HMW AP payment","AP-PAY-HMW-2025-07-2122","BANK"
"JE-HMW-00279","HMW","2025-08-10","10625000","HMW AP payment","AP-PAY-HMW-2025-08-2122","BANK"
"JE-HMW-00280","HMW","2025-09-10","11250000","HMW AP payment","AP-PAY-HMW-2025-09-2122","BANK"
"JE-HMW-00281","HMW","2025-10-10","11250000","HMW AP payment","AP-PAY-HMW-2025-10-2122","BANK"
"JE-HMW-00282","HMW","2025-11-10","11250000","HMW AP payment","AP-PAY-HMW-2025-11-2122","BANK"
"JE-HMW-00283","HMW","2025-12-10","11250000","HMW AP payment","AP-PAY-HMW-2025-12-2122","BANK"
"JE-HMW-00284","HMW","2025-01-10","54000000","HMW AP payment","AP-PAY-HMW-2025-01-2121","BANK"
"JE-HMW-00285","HMW","2025-02-10","50400000","HMW AP payment","AP-PAY-HMW-2025-02-2121","BANK"
"JE-HMW-00286","HMW","2025-03-10","61200000","HMW AP payment","AP-PAY-HMW-2025-03-2121","BANK"
"JE-HMW-00287","HMW","2025-04-10","54000000","HMW AP payment","AP-PAY-HMW-2025-04-2121","BANK"
"JE-HMW-00288","HMW","2025-05-10","57600000","HMW AP payment","AP-PAY-HMW-2025-05-2121","BANK"
"JE-HMW-00289","HMW","2025-06-10","61200000","HMW AP payment","AP-PAY-HMW-2025-06-2121","BANK"
"JE-HMW-00290","HMW","2025-07-10","61200000","HMW AP payment","AP-PAY-HMW-2025-07-2121","BANK"
"JE-HMW-00291","HMW","2025-08-10","61200000","HMW AP payment","AP-PAY-HMW-2025-08-2121","BANK"
"JE-HMW-00292","HMW","2025-09-10","64800000","HMW AP payment","AP-PAY-HMW-2025-09-2121","BANK"
"JE-HMW-00293","HMW","2025-10-10","64800000","HMW AP payment","AP-PAY-HMW-2025-10-2121","BANK"
"JE-HMW-00294","HMW","2025-11-10","64800000","HMW AP payment","AP-PAY-HMW-2025-11-2121","BANK"
"JE-HMW-00295","HMW","2025-12-10","64800000","HMW AP payment","AP-PAY-HMW-2025-12-2121","BANK"
"JE-HMW-00296","HMW","2025-01-10","596250","HMW AP payment","AP-PAY-HMW-2025-01-2123","BANK"
"JE-HMW-00297","HMW","2025-02-10","556500","HMW AP payment","AP-PAY-HMW-2025-02-2123","BANK"
"JE-HMW-00298","HMW","2025-03-10","675750","HMW AP payment","AP-PAY-HMW-2025-03-2123","BANK"
"JE-HMW-00299","HMW","2025-04-10","596250","HMW AP payment","AP-PAY-HMW-2025-04-2123","BANK"
"JE-HMW-00300","HMW","2025-05-10","636000","HMW AP payment","AP-PAY-HMW-2025-05-2123","BANK"
"JE-HMW-00301","HMW","2025-06-10","675750","HMW AP payment","AP-PAY-HMW-2025-06-2123","BANK"
"JE-HMW-00302","HMW","2025-07-10","675750","HMW AP payment","AP-PAY-HMW-2025-07-2123","BANK"
"JE-HMW-00303","HMW","2025-08-10","675750","HMW AP payment","AP-PAY-HMW-2025-08-2123","BANK"
"JE-HMW-00304","HMW","2025-09-10","715500","HMW AP payment","AP-PAY-HMW-2025-09-2123","BANK"
"JE-HMW-00305","HMW","2025-10-10","715500","HMW AP payment","AP-PAY-HMW-2025-10-2123","BANK"
"JE-HMW-00306","HMW","2025-11-10","715500","HMW AP payment","AP-PAY-HMW-2025-11-2123","BANK"
"JE-HMW-00307","HMW","2025-12-10","715500","HMW AP payment","AP-PAY-HMW-2025-12-2123","BANK"
"JE-HMW-00356","HMW","2025-01-25","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-01-5510_STLOAN","GL"
"JE-HMW-00357","HMW","2025-02-25","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-02-5510_STLOAN","GL"
"JE-HMW-00358","HMW","2025-03-25","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-03-5510_STLOAN","GL"
