"receipt_id","company","receipt_date","amount","description","reference"
"JE-HMW-00002","HMW","2025-01-28","1704466","HMW 4190 monthly revenue 2025-01","REV-HMW-2025-01-4190"
"JE-HMW-00003","HMW","2025-02-28","1590835","HMW 4190 monthly revenue 2025-02","REV-HMW-2025-02-4190"
"JE-HMW-00004","HMW","2025-03-28","1931728","HMW 4190 monthly revenue 2025-03","REV-HMW-2025-03-4190"
"JE-HMW-00005","HMW","2025-04-28","1704466","HMW 4190 monthly revenue 2025-04","REV-HMW-2025-04-4190"
"JE-HMW-00006","HMW","2025-05-28","1818097","HMW 4190 monthly revenue 2025-05","REV-HMW-2025-05-4190"
"JE-HMW-00007","HMW","2025-06-28","1931728","HMW 4190 monthly revenue 2025-06","REV-HMW-2025-06-4190"
"JE-HMW-00008","HMW","2025-07-28","1931728","HMW 4190 monthly revenue 2025-07","REV-HMW-2025-07-4190"
"JE-HMW-00009","HMW","2025-08-28","1931728","HMW 4190 monthly revenue 2025-08","REV-HMW-2025-08-4190"
"JE-HMW-00010","HMW","2025-09-28","2045360","HMW 4190 monthly revenue 2025-09","REV-HMW-2025-09-4190"
"JE-HMW-00011","HMW","2025-10-28","2045360","HMW 4190 monthly revenue 2025-10","REV-HMW-2025-10-4190"
"JE-HMW-00012","HMW","2025-11-28","2045360","HMW 4190 monthly revenue 2025-11","REV-HMW-2025-11-4190"
"JE-HMW-00013","HMW","2025-12-28","2045361","HMW 4190 monthly revenue 2025-12","REV-HMW-2025-12-4190"
"JE-HMW-00014","HMW","2025-01-28","1809485","HMW 4160 monthly revenue 2025-01","REV-HMW-2025-01-4160"
"JE-HMW-00015","HMW","2025-02-28","1688853","HMW 4160 monthly revenue 2025-02","REV-HMW-2025-02-4160"
"JE-HMW-00016","HMW","2025-03-28","2050750","HMW 4160 monthly revenue 2025-03","REV-HMW-2025-03-4160"
"JE-HMW-00017","HMW","2025-04-28","1809485","HMW 4160 monthly revenue 2025-04","REV-HMW-2025-04-4160"
"JE-HMW-00018","HMW","2025-05-28","1930117","HMW 4160 monthly revenue 2025-05","REV-HMW-2025-05-4160"
"JE-HMW-00019","HMW","2025-06-28","2050750","HMW 4160 monthly revenue 2025-06","REV-HMW-2025-06-4160"
"JE-HMW-00020","HMW","2025-07-28","2050750","HMW 4160 monthly revenue 2025-07","REV-HMW-2025-07-4160"
"JE-HMW-00021","HMW","2025-08-28","2050750","HMW 4160 monthly revenue 2025-08","REV-HMW-2025-08-4160"
"JE-HMW-00022","HMW","2025-09-28","2171382","HMW 4160 monthly revenue 2025-09","REV-HMW-2025-09-4160"
"JE-HMW-00023","HMW","2025-10-28","2171382","HMW 4160 monthly revenue 2025-10","REV-HMW-2025-10-4160"
"JE-HMW-00024","HMW","2025-11-28","2171382","HMW 4160 monthly revenue 2025-11","REV-HMW-2025-11-4160"
"JE-HMW-00025","HMW","2025-12-28","2171382","HMW 4160 monthly revenue 2025-12","REV-HMW-2025-12-4160"
"JE-HMW-00026","HMW","2025-01-28","7260000","HMW 4130 monthly revenue 2025-01","REV-HMW-2025-01-4130"
"JE-HMW-00027","HMW","2025-02-28","6776000","HMW 4130 monthly revenue 2025-02","REV-HMW-2025-02-4130"
"JE-HMW-00028","HMW","2025-03-28","8228000","HMW 4130 monthly revenue 2025-03","REV-HMW-2025-03-4130"
"JE-HMW-00029","HMW","2025-04-28","7260000","HMW 4130 monthly revenue 2025-04","REV-HMW-2025-04-4130"
"JE-HMW-00030","HMW","2025-05-28","7744000","HMW 4130 monthly revenue 2025-05","REV-HMW-2025-05-4130"
"JE-HMW-00031","HMW","2025-06-28","8228000","HMW 4130 monthly revenue 2025-06","REV-HMW-2025-06-4130"
"JE-HMW-00032","HMW","2025-07-28","8228000","HMW 4130 monthly revenue 2025-07","REV-HMW-2025-07-4130"
"JE-HMW-00033","HMW","2025-08-28","8228000","HMW 4130 monthly revenue 2025-08","REV-HMW-2025-08-4130"
"JE-HMW-00034","HMW","2025-09-28","8712000","HMW 4130 monthly revenue 2025-09","REV-HMW-2025-09-4130"
"JE-HMW-00035","HMW","2025-10-28","8712000","HMW 4130 monthly revenue 2025-10","REV-HMW-2025-10-4130"
"JE-HMW-00036","HMW","2025-11-28","8712000","HMW 4130 monthly revenue 2025-11","REV-HMW-2025-11-4130"
"JE-HMW-00037","HMW","2025-12-28","8712000","HMW 4130 monthly revenue 2025-12","REV-HMW-2025-12-4130"
"JE-HMW-00038","HMW","2025-01-28","36000000","HMW 4110 monthly revenue 2025-01","REV-HMW-2025-01-4110"
"JE-HMW-00039","HMW","2025-02-28","33600000","HMW 4110 monthly revenue 2025-02","REV-HMW-2025-02-4110"
"JE-HMW-00040","HMW","2025-03-28","40800000","HMW 4110 monthly revenue 2025-03","REV-HMW-2025-03-4110"
"JE-HMW-00041","HMW","2025-04-28","36000000","HMW 4110 monthly revenue 2025-04","REV-HMW-2025-04-4110"
"JE-HMW-00042","HMW","2025-05-28","38400000","HMW 4110 monthly revenue 2025-05","REV-HMW-2025-05-4110"
"JE-HMW-00043","HMW","2025-06-28","40800000","HMW 4110 monthly revenue 2025-06","REV-HMW-2025-06-4110"
"JE-HMW-00044","HMW","2025-07-28","40800000","HMW 4110 monthly revenue 2025-07","REV-HMW-2025-07-4110"
"JE-HMW-00045","HMW","2025-08-28","40800000","HMW 4110 monthly revenue 2025-08","REV-HMW-2025-08-4110"
"JE-HMW-00046","HMW","2025-09-28","43200000","HMW 4110 monthly revenue 2025-09","REV-HMW-2025-09-4110"
"JE-HMW-00047","HMW","2025-10-28","43200000","HMW 4110 monthly revenue 2025-10","REV-HMW-2025-10-4110"
"JE-HMW-00048","HMW","2025-11-28","43200000","HMW 4110 monthly revenue 2025-11","REV-HMW-2025-11-4110"
"JE-HMW-00049","HMW","2025-12-28","43200000","HMW 4110 monthly revenue 2025-12","REV-HMW-2025-12-4110"
"JE-HMW-00050","HMW","2025-01-28","101057","HMW 4180 monthly revenue 2025-01","REV-HMW-2025-01-4180"
"JE-HMW-00051","HMW","2025-02-28","94320","HMW 4180 monthly revenue 2025-02","REV-HMW-2025-02-4180"
"JE-HMW-00052","HMW","2025-03-28","114531","HMW 4180 monthly revenue 2025-03","REV-HMW-2025-03-4180"
"JE-HMW-00053","HMW","2025-04-28","101057","HMW 4180 monthly revenue 2025-04","REV-HMW-2025-04-4180"
"JE-HMW-00054","HMW","2025-05-28","107794","HMW 4180 monthly revenue 2025-05","REV-HMW-2025-05-4180"
"JE-HMW-00055","HMW","2025-06-28","114531","HMW 4180 monthly revenue 2025-06","REV-HMW-2025-06-4180"
