"je_id","company","posting_date","account_code","debit","credit","description","reference"
"JE-HMW-00418","HMW","2025-03-01","1313","2800000","0","HMW capex - new test drive fleet","CAPEX-HMW-VEH-002"
"JE-HMW-00418","HMW","2025-03-01","1112","0","2800000","HMW capex - new test drive fleet","CAPEX-HMW-VEH-002"
"JE-HMW-00419","HMW","2025-09-30","1314","263493","0","HMW capex - F&E upgrade","CAPEX-HMW-FE-2025"
"JE-HMW-00419","HMW","2025-09-30","1112","0","263493","HMW capex - F&E upgrade","CAPEX-HMW-FE-2025"
"JE-HMW-00420","HMW","2025-06-15","1112","3272996","0","HMW disposal of test drive vehicles","DISP-HMW-VEH-2020"
"JE-HMW-00420","HMW","2025-06-15","1130","580797","0","HMW disposal of test drive vehicles","DISP-HMW-VEH-2020"
"JE-HMW-00420","HMW","2025-06-15","1319","4493633","0","HMW disposal of test drive vehicles","DISP-HMW-VEH-2020"
"JE-HMW-00420","HMW","2025-06-15","1313","0","7000000","HMW disposal of test drive vehicles","DISP-HMW-VEH-2020"
"JE-HMW-00420","HMW","2025-06-15","4180","0","1347426","HMW disposal of test drive vehicles","DISP-HMW-VEH-2020"
"JE-ACG-00128","ACG","2025-06-15","1330","1022979","0","ACG intangible capex","CAPEX-ACG-IT-2025"
"JE-ACG-00128","ACG","2025-06-15","1112","0","1022979","ACG intangible capex","CAPEX-ACG-IT-2025"
