"je_id","company","posting_date","period","source","line_no","account_code","department","description","reference","debit","credit","counterparty"
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","1","2230","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","0","6238616",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","2","1130","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","13903525","0",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","3","3140","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","0","15346013",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","4","1210","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","598590000","0",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","5","1112","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","14000000","0",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","6","1340","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","1247723","0",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","7","3150","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","0","7498303",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","8","2130","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","0","2283178",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","9","1330","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","6006637","0",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","10","3120","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","0","137109509",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","11","3110","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","0","300000000",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","12","1314","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","1500000","0",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","13","1113","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","1003473","0",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","14","3160","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","0","165756626",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","15","1319","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","600000","0",
"JE-ACG-00001","ACG","2025-01-01","2025-01","GL","16","3160","ADMIN","Opening balance 2025 (1-Jan)","OPEN-ACG","0","2619113",
"JE-ACG-00002","ACG","2025-01-28","2025-01","AR","1","1125","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-01-HMW","4565000","0","CUST-ACG-001"
"JE-ACG-00002","ACG","2025-01-28","2025-01","AR","2","4170","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-01-HMW","0","4565000","CUST-ACG-001"
"JE-ACG-00003","ACG","2025-02-28","2025-02","AR","1","1125","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-02-HMW","4565000","0","CUST-ACG-001"
"JE-ACG-00003","ACG","2025-02-28","2025-02","AR","2","4170","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-02-HMW","0","4565000","CUST-ACG-001"
"JE-ACG-00004","ACG","2025-03-28","2025-03","AR","1","1125","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-03-HMW","4565000","0","CUST-ACG-001"
"JE-ACG-00004","ACG","2025-03-28","2025-03","AR","2","4170","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-03-HMW","0","4565000","CUST-ACG-001"
"JE-ACG-00005","ACG","2025-04-28","2025-04","AR","1","1125","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-04-HMW","4565000","0","CUST-ACG-001"
"JE-ACG-00005","ACG","2025-04-28","2025-04","AR","2","4170","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-04-HMW","0","4565000","CUST-ACG-001"
"JE-ACG-00006","ACG","2025-05-28","2025-05","AR","1","1125","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-05-HMW","4565000","0","CUST-ACG-001"
"JE-ACG-00006","ACG","2025-05-28","2025-05","AR","2","4170","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-05-HMW","0","4565000","CUST-ACG-001"
"JE-ACG-00007","ACG","2025-06-28","2025-06","AR","1","1125","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-06-HMW","4565000","0","CUST-ACG-001"
"JE-ACG-00007","ACG","2025-06-28","2025-06","AR","2","4170","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-06-HMW","0","4565000","CUST-ACG-001"
"JE-ACG-00008","ACG","2025-07-28","2025-07","AR","1","1125","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-07-HMW","4565000","0","CUST-ACG-001"
"JE-ACG-00008","ACG","2025-07-28","2025-07","AR","2","4170","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-07-HMW","0","4565000","CUST-ACG-001"
"JE-ACG-00009","ACG","2025-08-28","2025-08","AR","1","1125","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-08-HMW","4565000","0","CUST-ACG-001"
"JE-ACG-00009","ACG","2025-08-28","2025-08","AR","2","4170","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-08-HMW","0","4565000","CUST-ACG-001"
"JE-ACG-00010","ACG","2025-09-28","2025-09","AR","1","1125","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-09-HMW","4620000","0","CUST-ACG-001"
"JE-ACG-00010","ACG","2025-09-28","2025-09","AR","2","4170","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-09-HMW","0","4620000","CUST-ACG-001"
"JE-ACG-00011","ACG","2025-10-28","2025-10","AR","1","1125","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-10-HMW","4620000","0","CUST-ACG-001"
"JE-ACG-00011","ACG","2025-10-28","2025-10","AR","2","4170","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-10-HMW","0","4620000","CUST-ACG-001"
"JE-ACG-00012","ACG","2025-11-28","2025-11","AR","1","1125","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-11-HMW","4620000","0","CUST-ACG-001"
"JE-ACG-00012","ACG","2025-11-28","2025-11","AR","2","4170","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-11-HMW","0","4620000","CUST-ACG-001"
"JE-ACG-00013","ACG","2025-12-28","2025-12","AR","1","1125","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-12-HMW","4620000","0","CUST-ACG-001"
"JE-ACG-00013","ACG","2025-12-28","2025-12","AR","2","4170","ADMIN","ACG mgmt fee from HMW","REV-ACG-2025-12-HMW","0","4620000","CUST-ACG-001"
"JE-ACG-00014","ACG","2025-01-28","2025-01","AR","1","1125","ADMIN","ACG mgmt fee from CLIK","REV-ACG-2025-01-CLIK","838061","0","CUST-ACG-002"
"JE-ACG-00014","ACG","2025-01-28","2025-01","AR","2","4170","ADMIN","ACG mgmt fee from CLIK","REV-ACG-2025-01-CLIK","0","838061","CUST-ACG-002"
"JE-ACG-00015","ACG","2025-02-28","2025-02","AR","1","1125","ADMIN","ACG mgmt fee from CLIK","REV-ACG-2025-02-CLIK","838061","0","CUST-ACG-002"
"JE-ACG-00015","ACG","2025-02-28","2025-02","AR","2","4170","ADMIN","ACG mgmt fee from CLIK","REV-ACG-2025-02-CLIK","0","838061","CUST-ACG-002"
"JE-ACG-00016","ACG","2025-03-28","2025-03","AR","1","1125","ADMIN","ACG mgmt fee from CLIK","REV-ACG-2025-03-CLIK","838061","0","CUST-ACG-002"
"JE-ACG-00016","ACG","2025-03-28","2025-03","AR","2","4170","ADMIN","ACG mgmt fee from CLIK","REV-ACG-2025-03-CLIK","0","838061","CUST-ACG-002"
"JE-ACG-00017","ACG","2025-04-28","2025-04","AR","1","1125","ADMIN","ACG mgmt fee from CLIK","REV-ACG-2025-04-CLIK","838061","0","CUST-ACG-002"
"JE-ACG-00017","ACG","2025-04-28","2025-04","AR","2","4170","ADMIN","ACG mgmt fee from CLIK","REV-ACG-2025-04-CLIK","0","838061","CUST-ACG-002"
"JE-ACG-00018","ACG","2025-05-28","2025-05","AR","1","1125","ADMIN","ACG mgmt fee from CLIK","REV-ACG-2025-05-CLIK","838061","0","CUST-ACG-002"
"JE-ACG-00018","ACG","2025-05-28","2025-05","AR","2","4170","ADMIN","ACG mgmt fee from CLIK","REV-ACG-2025-05-CLIK","0","838061","CUST-ACG-002"
"JE-ACG-00019","ACG","2025-06-28","2025-06","AR","1","1125","ADMIN","ACG mgmt fee from CLIK","REV-ACG-2025-06-CLIK","838061","0","CUST-ACG-002"
"JE-ACG-00019","ACG","2025-06-28","2025-06","AR","2","4170","ADMIN","ACG mgmt fee from CLIK","REV-ACG-2025-06-CLIK","0","838061","CUST-ACG-002"
"JE-ACG-00020","ACG","2025-07-28","2025-07","AR","1","1125","ADMIN","ACG mgmt fee from CLIK","REV-ACG-2025-07-CLIK","838061","0","CUST-ACG-002"
