"je_id","company","posting_date","period","source","line_no","account_code","department","description","reference","debit","credit","counterparty"
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","1","2220","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","0","4500000",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","2","2170","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","0","561450",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","3","1311","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","45000000","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","4","2230","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","0","3500000",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","5","2130","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","0","3000000",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","6","1325","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","2000000","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","7","1312","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","40000000","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","8","1320","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","6000000","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","9","2122","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","0","5500000",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","10","1130","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","1626237","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","11","1330","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","440579","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","12","2123","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","0","12000000",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","13","1314","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","4500000","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","14","1123","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","5135438","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","15","1319","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","20725604","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","16","2215","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","0","200000000",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","17","1150","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","1004161","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","18","1121","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","1000000","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","19","2125","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","0","5000000",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","20","3110","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","0","50000000",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","21","2150","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","0","700000",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","22","1112","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","8000000","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","23","3160","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","158384515","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","24","1142","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","9380363","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","25","1340","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","1547723","0",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","26","2210","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","0","80000000",
"JE-CLIK-00001","CLIK","2025-01-01","2025-01","GL","27","3160","ADMIN","Opening balance 2025 (1-Jan)","OPEN-CLIK","60016830","0",
"JE-CLIK-00002","CLIK","2025-01-28","2025-01","AR","1","1112","SERVICE","CLIK 4190 monthly revenue","REV-CLIK-2025-01-4190","331345","0","CUST-CLIK-001"
"JE-CLIK-00002","CLIK","2025-01-28","2025-01","AR","2","4190","ADMIN","CLIK 4190 monthly revenue","REV-CLIK-2025-01-4190","0","331345",""
"JE-CLIK-00003","CLIK","2025-02-28","2025-02","AR","1","1112","SERVICE","CLIK 4190 monthly revenue","REV-CLIK-2025-02-4190","309256","0","CUST-CLIK-001"
"JE-CLIK-00003","CLIK","2025-02-28","2025-02","AR","2","4190","ADMIN","CLIK 4190 monthly revenue","REV-CLIK-2025-02-4190","0","309256",""
"JE-CLIK-00004","CLIK","2025-03-28","2025-03","AR","1","1112","SERVICE","CLIK 4190 monthly revenue","REV-CLIK-2025-03-4190","375525","0","CUST-CLIK-001"
"JE-CLIK-00004","CLIK","2025-03-28","2025-03","AR","2","4190","ADMIN","CLIK 4190 monthly revenue","REV-CLIK-2025-03-4190","0","375525",""
"JE-CLIK-00005","CLIK","2025-04-28","2025-04","AR","1","1112","SERVICE","CLIK 4190 monthly revenue","REV-CLIK-2025-04-4190","331345","0","CUST-CLIK-001"
"JE-CLIK-00005","CLIK","2025-04-28","2025-04","AR","2","4190","ADMIN","CLIK 4190 monthly revenue","REV-CLIK-2025-04-4190","0","331345",""
"JE-CLIK-00006","CLIK","2025-05-28","2025-05","AR","1","1112","SERVICE","CLIK 4190 monthly revenue","REV-CLIK-2025-05-4190","353435","0","CUST-CLIK-001"
"JE-CLIK-00006","CLIK","2025-05-28","2025-05","AR","2","4190","ADMIN","CLIK 4190 monthly revenue","REV-CLIK-2025-05-4190","0","353435",""
"JE-CLIK-00007","CLIK","2025-06-28","2025-06","AR","1","1112","SERVICE","CLIK 4190 monthly revenue","REV-CLIK-2025-06-4190","375525","0","CUST-CLIK-001"
"JE-CLIK-00007","CLIK","2025-06-28","2025-06","AR","2","4190","ADMIN","CLIK 4190 monthly revenue","REV-CLIK-2025-06-4190","0","375525",""
