"je_id","company","posting_date","period","source","line_no","account_code","department","description","reference","debit","credit","counterparty"
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","1","1314","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","14775000","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","2","2150","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","0","8950000",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","3","1112","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","120000000","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","4","1313","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","9600000","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","5","1143","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","5652238","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","6","1319","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","84637037","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","7","1230","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","145607870","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","8","1122","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","10000000","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","9","2110","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","0","220000000",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","10","2122","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","0","12000000",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","11","2130","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","0","22000000",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","12","2230","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","0","3000000",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","13","2121","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","0","65000000",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","14","3160","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","0","195882562",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","15","1311","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","180000000","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","16","3110","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","0","600000000",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","17","2170","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","0","2000000",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","18","1320","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","156856043","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","19","1312","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","175000000","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","20","1220","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","4522324","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","21","2123","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","0","5704488",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","22","1123","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","6400825","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","23","2140","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","0","11150000",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","24","2220","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","0","166000000",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","25","1340","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","10590532","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","26","1113","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","10000000","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","27","1130","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","8500000","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","28","1142","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","18000000","0",
"JE-HMW-00001","HMW","2025-01-01","2025-01","GL","29","1121","ADMIN","Opening balance 2025 (1-Jan)","OPEN-HMW","12000000","0",
