"je_id","company","posting_date","account_code","debit","credit","description","reference"
"JE-HMW-00001","HMW","2025-01-01","2110","0","220000000","Opening balance 2025 (1-Jan)","OPEN-HMW"
"JE-HMW-00001","HMW","2025-01-01","2140","0","11150000","Opening balance 2025 (1-Jan)","OPEN-HMW"
"JE-HMW-00380","HMW","2025-01-05","1112","76666666","0","HMW ST loan proceeds","STL-PROC-HMW-2025-01"
"JE-HMW-00380","HMW","2025-01-05","2110","0","76666666","HMW ST loan proceeds","STL-PROC-HMW-2025-01"
"JE-HMW-00381","HMW","2025-01-28","2110","85000000","0","HMW ST loan repayment","STL-REPAY-HMW-2025-01"
"JE-HMW-00381","HMW","2025-01-28","1112","0","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-01"
"JE-HMW-00382","HMW","2025-02-05","1112","76666666","0","HMW ST loan proceeds","STL-PROC-HMW-2025-02"
"JE-HMW-00382","HMW","2025-02-05","2110","0","76666666","HMW ST loan proceeds","STL-PROC-HMW-2025-02"
"JE-HMW-00383","HMW","2025-02-28","2110","85000000","0","HMW ST loan repayment","STL-REPAY-HMW-2025-02"
"JE-HMW-00383","HMW","2025-02-28","1112","0","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-02"
"JE-HMW-00384","HMW","2025-03-05","1112","76666666","0","HMW ST loan proceeds","STL-PROC-HMW-2025-03"
"JE-HMW-00384","HMW","2025-03-05","2110","0","76666666","HMW ST loan proceeds","STL-PROC-HMW-2025-03"
"JE-HMW-00385","HMW","2025-03-28","2110","85000000","0","HMW ST loan repayment","STL-REPAY-HMW-2025-03"
"JE-HMW-00385","HMW","2025-03-28","1112","0","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-03"
"JE-HMW-00386","HMW","2025-04-05","1112","76666666","0","HMW ST loan proceeds","STL-PROC-HMW-2025-04"
"JE-HMW-00386","HMW","2025-04-05","2110","0","76666666","HMW ST loan proceeds","STL-PROC-HMW-2025-04"
"JE-HMW-00387","HMW","2025-04-28","2110","85000000","0","HMW ST loan repayment","STL-REPAY-HMW-2025-04"
"JE-HMW-00387","HMW","2025-04-28","1112","0","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-04"
"JE-HMW-00388","HMW","2025-05-05","1112","76666666","0","HMW ST loan proceeds","STL-PROC-HMW-2025-05"
"JE-HMW-00388","HMW","2025-05-05","2110","0","76666666","HMW ST loan proceeds","STL-PROC-HMW-2025-05"
"JE-HMW-00389","HMW","2025-05-28","2110","85000000","0","HMW ST loan repayment","STL-REPAY-HMW-2025-05"
"JE-HMW-00389","HMW","2025-05-28","1112","0","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-05"
"JE-HMW-00390","HMW","2025-06-05","1112","76666666","0","HMW ST loan proceeds","STL-PROC-HMW-2025-06"
"JE-HMW-00390","HMW","2025-06-05","2110","0","76666666","HMW ST loan proceeds","STL-PROC-HMW-2025-06"
"JE-HMW-00391","HMW","2025-06-28","2110","85000000","0","HMW ST loan repayment","STL-REPAY-HMW-2025-06"
"JE-HMW-00391","HMW","2025-06-28","1112","0","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-06"
"JE-HMW-00392","HMW","2025-07-05","1112","76666666","0","HMW ST loan proceeds","STL-PROC-HMW-2025-07"
"JE-HMW-00392","HMW","2025-07-05","2110","0","76666666","HMW ST loan proceeds","STL-PROC-HMW-2025-07"
"JE-HMW-00393","HMW","2025-07-28","2110","85000000","0","HMW ST loan repayment","STL-REPAY-HMW-2025-07"
"JE-HMW-00393","HMW","2025-07-28","1112","0","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-07"
"JE-HMW-00394","HMW","2025-08-05","1112","76666666","0","HMW ST loan proceeds","STL-PROC-HMW-2025-08"
"JE-HMW-00394","HMW","2025-08-05","2110","0","76666666","HMW ST loan proceeds","STL-PROC-HMW-2025-08"
"JE-HMW-00395","HMW","2025-08-28","2110","85000000","0","HMW ST loan repayment","STL-REPAY-HMW-2025-08"
"JE-HMW-00395","HMW","2025-08-28","1112","0","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-08"
"JE-HMW-00396","HMW","2025-09-05","1112","76666666","0","HMW ST loan proceeds","STL-PROC-HMW-2025-09"
"JE-HMW-00396","HMW","2025-09-05","2110","0","76666666","HMW ST loan proceeds","STL-PROC-HMW-2025-09"
"JE-HMW-00397","HMW","2025-09-28","2110","85000000","0","HMW ST loan repayment","STL-REPAY-HMW-2025-09"
"JE-HMW-00397","HMW","2025-09-28","1112","0","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-09"
"JE-HMW-00398","HMW","2025-10-05","1112","76666666","0","HMW ST loan proceeds","STL-PROC-HMW-2025-10"
"JE-HMW-00398","HMW","2025-10-05","2110","0","76666666","HMW ST loan proceeds","STL-PROC-HMW-2025-10"
"JE-HMW-00399","HMW","2025-10-28","2110","85000000","0","HMW ST loan repayment","STL-REPAY-HMW-2025-10"
"JE-HMW-00399","HMW","2025-10-28","1112","0","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-10"
"JE-HMW-00400","HMW","2025-11-05","1112","76666666","0","HMW ST loan proceeds","STL-PROC-HMW-2025-11"
"JE-HMW-00400","HMW","2025-11-05","2110","0","76666666","HMW ST loan proceeds","STL-PROC-HMW-2025-11"
"JE-HMW-00401","HMW","2025-11-28","2110","85000000","0","HMW ST loan repayment","STL-REPAY-HMW-2025-11"
"JE-HMW-00401","HMW","2025-11-28","1112","0","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-11"
"JE-HMW-00402","HMW","2025-12-05","1112","76666674","0","HMW ST loan proceeds","STL-PROC-HMW-2025-12"
"JE-HMW-00402","HMW","2025-12-05","2110","0","76666674","HMW ST loan proceeds","STL-PROC-HMW-2025-12"
"JE-HMW-00403","HMW","2025-12-28","2110","85000000","0","HMW ST loan repayment","STL-REPAY-HMW-2025-12"
"JE-HMW-00403","HMW","2025-12-28","1112","0","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-12"
"JE-HMW-00404","HMW","2025-06-30","2140","11150000","0","HMW LT loan final repayment","LTL-REPAY-HMW-FINAL"
"JE-HMW-00404","HMW","2025-06-30","1112","0","11150000","HMW LT loan final repayment","LTL-REPAY-HMW-FINAL"
"JE-CLIK-00001","CLIK","2025-01-01","2215","0","200000000","Opening balance 2025 (1-Jan)","OPEN-CLIK"
"JE-CLIK-00001","CLIK","2025-01-01","2210","0","80000000","Opening balance 2025 (1-Jan)","OPEN-CLIK"
