"je_id","company","posting_date","account_code","debit","credit","description","reference"
"JE-HMW-00001","HMW","2025-01-01","1340","10590532","0","Opening balance 2025 (1-Jan)","OPEN-HMW"
"JE-HMW-00001","HMW","2025-01-01","2160","0","4056207","Opening balance 2025 (1-Jan)","OPEN-HMW"
"JE-HMW-00421","HMW","2025-03-30","5610","4311727","0","HMW tax expense Q1","TAX-EXP-HMW-Q1"
"JE-HMW-00421","HMW","2025-03-30","2160","0","4311727","HMW tax expense Q1","TAX-EXP-HMW-Q1"
"JE-HMW-00422","HMW","2025-06-30","5610","4311727","0","HMW tax expense Q2","TAX-EXP-HMW-Q2"
"JE-HMW-00422","HMW","2025-06-30","2160","0","4311727","HMW tax expense Q2","TAX-EXP-HMW-Q2"
"JE-HMW-00423","HMW","2025-09-30","5610","4311727","0","HMW tax expense Q3","TAX-EXP-HMW-Q3"
"JE-HMW-00423","HMW","2025-09-30","2160","0","4311727","HMW tax expense Q3","TAX-EXP-HMW-Q3"
"JE-HMW-00424","HMW","2025-12-30","5610","4311727","0","HMW tax expense Q4","TAX-EXP-HMW-Q4"
"JE-HMW-00424","HMW","2025-12-30","2160","0","4311727","HMW tax expense Q4","TAX-EXP-HMW-Q4"
"JE-HMW-00425","HMW","2025-04-30","2160","3875000","0","HMW tax payment PND.51 Q1","TAX-PAY-HMW-Q1"
"JE-HMW-00425","HMW","2025-04-30","1112","0","3875000","HMW tax payment PND.51 Q1","TAX-PAY-HMW-Q1"
"JE-HMW-00426","HMW","2025-07-30","2160","3875000","0","HMW tax payment PND.51 Q2","TAX-PAY-HMW-Q2"
"JE-HMW-00426","HMW","2025-07-30","1112","0","3875000","HMW tax payment PND.51 Q2","TAX-PAY-HMW-Q2"
"JE-HMW-00427","HMW","2025-10-30","2160","3875000","0","HMW tax payment PND.51 Q3","TAX-PAY-HMW-Q3"
"JE-HMW-00427","HMW","2025-10-30","1112","0","3875000","HMW tax payment PND.51 Q3","TAX-PAY-HMW-Q3"
"JE-HMW-00428","HMW","2025-12-30","2160","3875000","0","HMW tax payment PND.51 Q4","TAX-PAY-HMW-Q4"
"JE-HMW-00428","HMW","2025-12-30","1112","0","3875000","HMW tax payment PND.51 Q4","TAX-PAY-HMW-Q4"
"JE-CLIK-00001","CLIK","2025-01-01","1340","1547723","0","Opening balance 2025 (1-Jan)","OPEN-CLIK"
"JE-CLIK-00278","CLIK","2025-12-31","1340","1498737","0","CLIK deferred tax benefit","TAX-CLIK-DEF"
"JE-CLIK-00278","CLIK","2025-12-31","5610","0","1498737","CLIK deferred tax benefit","TAX-CLIK-DEF"
"JE-ACG-00001","ACG","2025-01-01","1340","1247723","0","Opening balance 2025 (1-Jan)","OPEN-ACG"
"JE-ACG-00125","ACG","2025-08-31","5610","467307","0","ACG tax expense","TAX-EXP-ACG"
"JE-ACG-00125","ACG","2025-08-31","2160","0","467307","ACG tax expense","TAX-EXP-ACG"
"JE-ACG-00126","ACG","2025-09-30","2160","467307","0","ACG tax payment","TAX-PAY-ACG"
"JE-ACG-00126","ACG","2025-09-30","1112","0","467307","ACG tax payment","TAX-PAY-ACG"
"JE-HMW-00432","HMW","2025-12-31","5610","0","17246908","Year-end closing - transfer P&L to retained earnings","CLOSE-HMW-2025"
"JE-CLIK-00352","CLIK","2025-12-31","5610","1498737","0","Year-end closing - transfer P&L to retained earnings","CLOSE-CLIK-2025"
"JE-ACG-00130","ACG","2025-12-31","5610","0","467307","Year-end closing - transfer P&L to retained earnings","CLOSE-ACG-2025"
