customer_id,customer_name,customer_type,segment,credit_term_days,credit_limit,tax_id,province,sales_rep,active,opening_ar_balance,notes
CUST-0001,ลูกค้าเงินสด (Walk-in Cash),CASH,Retail,0,0,,,Showroom,Y,0,รวมรายการขายสดที่โชว์รูม
CUST-0002,บริษัท ไทยพาณิชย์ลีสซิ่ง จำกัด,CREDIT,Finance,7,80000000,0105540045230,กรุงเทพ,Finance Team,Y,2850000,SCB Auto
CUST-0003,บริษัท กรุงศรี ออโต้ จำกัด,CREDIT,Finance,7,80000000,0105545089123,กรุงเทพ,Finance Team,Y,3120000,Krungsri Auto
CUST-0004,บริษัท ทิสโก้ลีสซิ่ง จำกัด,CREDIT,Finance,7,60000000,0105537023345,กรุงเทพ,Finance Team,Y,2640000,TISCO
CUST-0005,บริษัท ธนชาตประกันภัย ออโต้ จำกัด,CREDIT,Finance,15,50000000,0105528012398,กรุงเทพ,Finance Team,Y,1980000,Thanachart
CUST-0006,บริษัท เกียรตินาคินภัทร ออโต้ จำกัด,CREDIT,Finance,15,40000000,0105536078912,กรุงเทพ,Finance Team,Y,1560000,KKP Auto
CUST-0007,บริษัท ทีทีบี ลีสซิ่ง จำกัด,CREDIT,Finance,7,45000000,0105535123456,กรุงเทพ,Finance Team,Y,1320000,TTB
CUST-0008,บริษัท โตโยต้า ลีสซิ่ง (ประเทศไทย) จำกัด,CREDIT,Finance,15,35000000,0105538234567,กรุงเทพ,Finance Team,Y,980000,Toyota Leasing
CUST-0009,บริษัท ฮอนด้า ลีสซิ่ง (ประเทศไทย) จำกัด,CREDIT,Finance,7,55000000,0105539345678,กรุงเทพ,Finance Team,Y,1450000,Honda Leasing
CUST-0010,บริษัท ซีไอเอ็มบี ไทย ออโต้ จำกัด,CREDIT,Finance,15,30000000,0105540456789,กรุงเทพ,Finance Team,Y,540000,CIMB Auto
CUST-0011,บริษัท ปตท. จำกัด (มหาชน),CREDIT,Corporate,30,15000000,0107544000175,กรุงเทพ,Fleet Team,Y,580000,PTT Fleet
CUST-0012,บริษัท ปูนซิเมนต์ไทย จำกัด (มหาชน),CREDIT,Corporate,45,12000000,0107537000223,กรุงเทพ,Fleet Team,Y,420000,SCG Fleet
CUST-0013,บริษัท เครือเจริญโภคภัณฑ์ จำกัด,CREDIT,Corporate,30,18000000,0105533123421,กรุงเทพ,Fleet Team,Y,650000,CP Group
CUST-0014,บริษัท การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,CREDIT,Government,60,8000000,0994000158441,นนทบุรี,Fleet Team,Y,280000,EGAT
CUST-0015,บริษัท การไฟฟ้านครหลวง,CREDIT,Government,60,6000000,0994000158333,กรุงเทพ,Fleet Team,Y,210000,MEA
