category,metric,target_amount,description
PL,revenue_sales_service,1320815808,รายได้จากการขายและการให้บริการ
PL,revenue_construction,24126468,รายได้ค่าก่อสร้าง
PL,other_income,13250158,รายได้อื่น
PL,total_revenue,1358192434,รวมรายได้
PL,cogs_and_service,1079265810,ต้นทุนขายและต้นทุนการให้บริการ
PL,cost_distribution,56360501,ต้นทุนในการจัดจำหน่าย
PL,admin_expense,153605579,ค่าใช้จ่ายในการบริหาร
PL,total_expense,1289231890,รวมค่าใช้จ่าย
PL,operating_profit,68960544,กำไรจากกิจกรรมดำเนินงาน
PL,finance_cost,14962373,ต้นทุนทางการเงิน
PL,profit_before_tax,53998171,กำไรก่อนภาษีเงินได้
PL,income_tax_expense,16215478,ค่าใช้จ่ายภาษีเงินได้
PL,net_profit,37782693,กำไรสุทธิ
BS,ar_opening,22136556,ลูกหนี้การค้าต้นปี
BS,ar_closing,21606892,ลูกหนี้การค้าปลายปี
BS,ap_opening,82704488,เจ้าหนี้การค้าต้นปี
BS,ap_closing,87097100,เจ้าหนี้การค้าปลายปี
BS,inventory_opening,118032601,สินค้าคงเหลือต้นปี
BS,inventory_closing,74124409,สินค้าคงเหลือปลายปี
BS,cash_opening,165871149,เงินสดต้นปี
BS,cash_closing,173743169,เงินสดปลายปี
CF,operating_cf,159138454,กระแสเงินสดจากการดำเนินงาน
CF,investing_cf,-433614,กระแสเงินสดจากการลงทุน
CF,financing_cf,-150832820,กระแสเงินสดจากกิจกรรมจัดหาเงิน
CF,net_change_cash,7872020,เงินสดสุทธิเพิ่มขึ้น
CF,depreciation_ppe,40172607,ค่าเสื่อมที่ดิน อาคารและอุปกรณ์
CF,depreciation_inv_property,1443501,ค่าเสื่อมอสังหาริมทรัพย์เพื่อการลงทุน
CF,depreciation_rou,15011633,ค่าเสื่อมสิทธิการใช้สินทรัพย์
CF,amortization,1124861,ค่าตัดจำหน่ายสินทรัพย์ไม่มีตัวตน
CF,interest_paid,7024093,ดอกเบี้ยจ่าย
CF,tax_paid_net,16154376,ภาษีเงินได้จ่ายสุทธิ
CF,dividend_paid_parent,15956511,เงินปันผลจ่ายผู้ถือหุ้นใหญ่
CF,st_loan_net,-100000000,เงินกู้ระยะสั้นสุทธิ
CF,lt_loan_repaid,11150000,เงินกู้ระยะยาวจ่ายชำระ
CF,lease_paid,16661489,เงินจ่ายชำระหนี้สินตามสัญญาเช่า
