invoice_id,invoice_date,due_date,customer_id,revenue_account,revenue_type,segment,amount,vat_amount,total_amount,credit_term_days,reference,status
INV-2025-00001,2025-01-15,2025-01-15,CUST-0001,4110,Vehicle,Cash,34800000,2436000,37236000,0,BATCH-VEH-CASH-1,OPEN
INV-2025-00002,2025-01-15,2025-01-22,CUST-0002,4110,Vehicle,Finance,16443000,1151010,17594010,7,FIN-VEH-1-1,OPEN
INV-2025-00003,2025-01-18,2025-01-25,CUST-0003,4110,Vehicle,Finance,12919500,904365,13823865,7,FIN-VEH-1-2,OPEN
INV-2025-00004,2025-01-21,2025-01-28,CUST-0004,4110,Vehicle,Finance,9787500,685125,10472625,7,FIN-VEH-1-3,OPEN
INV-2025-00005,2025-01-25,2025-02-24,CUST-0011,4110,Vehicle,Corporate,8700000,609000,9309000,30,FLT-VEH-1,OPEN
INV-2025-00006,2025-01-22,2025-03-08,CUST-0021,4110,Vehicle,Dealer,4350000,304500,4654500,45,DLR-VEH-1,OPEN
INV-2025-00007,2025-01-15,2025-01-15,CUST-0035,4120,Service,Cash,4500000,315000,4815000,0,BATCH-SVC-CASH-1,OPEN
INV-2025-00008,2025-01-27,2025-03-13,CUST-0016,4120,Service,Corporate,1500000,105000,1605000,45,FLT-SVC-1,OPEN
INV-2025-00009,2025-01-15,2025-01-15,CUST-0001,4130,Parts,Cash,1515296,106070.72,1621366.72,0,BATCH-PRT-CASH-1,OPEN
INV-2025-00010,2025-01-20,2025-02-19,CUST-0033,4130,Parts,Dealer,4545890,318212.3,4864102.3,30,DLR-PRT-1,OPEN
INV-2025-00011,2025-01-23,2025-02-22,CUST-0036,4140,BodyShop,Insurance,1809485,126663.95,1936148.95,30,INS-BODY-1,OPEN
INV-2025-00012,2025-02-15,2025-02-15,CUST-0001,4110,Vehicle,Cash,32480000,2273600,34753600,0,BATCH-VEH-CASH-2,OPEN
INV-2025-00013,2025-02-15,2025-03-02,CUST-0005,4110,Vehicle,Finance,15346800,1074276,16421076,15,FIN-VEH-2-1,OPEN
INV-2025-00014,2025-02-18,2025-03-05,CUST-0006,4110,Vehicle,Finance,12058200,844074,12902274,15,FIN-VEH-2-2,OPEN
INV-2025-00015,2025-02-21,2025-02-28,CUST-0007,4110,Vehicle,Finance,9135000,639450,9774450,7,FIN-VEH-2-3,OPEN
INV-2025-00016,2025-02-25,2025-04-11,CUST-0012,4110,Vehicle,Corporate,8120000,568400,8688400,45,FLT-VEH-2,OPEN
INV-2025-00017,2025-02-22,2025-04-08,CUST-0022,4110,Vehicle,Dealer,4060000,284200,4344200,45,DLR-VEH-2,OPEN
INV-2025-00018,2025-02-15,2025-02-15,CUST-0035,4120,Service,Cash,4200000,294000,4494000,0,BATCH-SVC-CASH-2,OPEN
INV-2025-00019,2025-02-27,2025-04-13,CUST-0017,4120,Service,Corporate,1400000,98000,1498000,45,FLT-SVC-2,OPEN
INV-2025-00020,2025-02-15,2025-02-15,CUST-0001,4130,Parts,Cash,1414277,98999.39,1513276.39,0,BATCH-PRT-CASH-2,OPEN
INV-2025-00021,2025-02-20,2025-03-22,CUST-0034,4130,Parts,Dealer,4242830,296998.1,4539828.1,30,DLR-PRT-2,OPEN
INV-2025-00022,2025-02-23,2025-03-25,CUST-0037,4140,BodyShop,Insurance,1688853,118219.71,1807072.71,30,INS-BODY-2,OPEN
INV-2025-00023,2025-03-15,2025-03-15,CUST-0001,4110,Vehicle,Cash,39440000,2760800,42200800,0,BATCH-VEH-CASH-3,OPEN
INV-2025-00024,2025-03-15,2025-03-30,CUST-0008,4110,Vehicle,Finance,18635400,1304478,19939878,15,FIN-VEH-3-1,OPEN
INV-2025-00025,2025-03-18,2025-03-25,CUST-0009,4110,Vehicle,Finance,14642100,1024947,15667047,7,FIN-VEH-3-2,OPEN
INV-2025-00026,2025-03-21,2025-04-05,CUST-0010,4110,Vehicle,Finance,11092500,776475,11868975,15,FIN-VEH-3-3,OPEN
INV-2025-00027,2025-03-25,2025-04-24,CUST-0013,4110,Vehicle,Corporate,9860000,690200,10550200,30,FLT-VEH-3,OPEN
INV-2025-00028,2025-03-22,2025-05-06,CUST-0023,4110,Vehicle,Dealer,4930000,345100,5275100,45,DLR-VEH-3,OPEN
INV-2025-00029,2025-03-15,2025-03-15,CUST-0035,4120,Service,Cash,5100000,357000,5457000,0,BATCH-SVC-CASH-3,OPEN
INV-2025-00030,2025-03-27,2025-04-26,CUST-0018,4120,Service,Corporate,1700000,119000,1819000,30,FLT-SVC-3,OPEN
INV-2025-00031,2025-03-15,2025-03-15,CUST-0001,4130,Parts,Cash,1717336,120213.52,1837549.52,0,BATCH-PRT-CASH-3,OPEN
INV-2025-00032,2025-03-20,2025-05-04,CUST-0021,4130,Parts,Dealer,5152008,360640.56,5512648.56,45,DLR-PRT-3,OPEN
INV-2025-00033,2025-03-23,2025-04-22,CUST-0038,4140,BodyShop,Insurance,2050750,143552.5,2194302.5,30,INS-BODY-3,OPEN
INV-2025-00034,2025-04-15,2025-04-15,CUST-0001,4110,Vehicle,Cash,34800000,2436000,37236000,0,BATCH-VEH-CASH-4,OPEN
INV-2025-00035,2025-04-15,2025-04-22,CUST-0002,4110,Vehicle,Finance,16443000,1151010,17594010,7,FIN-VEH-4-1,OPEN
INV-2025-00036,2025-04-18,2025-04-25,CUST-0003,4110,Vehicle,Finance,12919500,904365,13823865,7,FIN-VEH-4-2,OPEN
INV-2025-00037,2025-04-21,2025-04-28,CUST-0004,4110,Vehicle,Finance,9787500,685125,10472625,7,FIN-VEH-4-3,OPEN
INV-2025-00038,2025-04-25,2025-06-24,CUST-0014,4110,Vehicle,Corporate,8700000,609000,9309000,60,FLT-VEH-4,OPEN
INV-2025-00039,2025-04-22,2025-05-22,CUST-0024,4110,Vehicle,Dealer,4350000,304500,4654500,30,DLR-VEH-4,OPEN
INV-2025-00040,2025-04-15,2025-04-15,CUST-0035,4120,Service,Cash,4500000,315000,4815000,0,BATCH-SVC-CASH-4,OPEN
INV-2025-00041,2025-04-27,2025-05-27,CUST-0019,4120,Service,Corporate,1500000,105000,1605000,30,FLT-SVC-4,OPEN
INV-2025-00042,2025-04-15,2025-04-15,CUST-0001,4130,Parts,Cash,1515296,106070.72,1621366.72,0,BATCH-PRT-CASH-4,OPEN
INV-2025-00043,2025-04-20,2025-06-04,CUST-0022,4130,Parts,Dealer,4545890,318212.3,4864102.3,45,DLR-PRT-4,OPEN
INV-2025-00044,2025-04-23,2025-06-07,CUST-0039,4140,BodyShop,Insurance,1809485,126663.95,1936148.95,45,INS-BODY-4,OPEN
