receipt_id,receipt_date,customer_id,invoice_id,amount,payment_method,bank_account,reference
RCPT-2025-00001,2025-01-15,CUST-0007,OPEN-AR,1320000,BANK_TRANSFER,SCB-CURR,Opening AR settlement
RCPT-2025-00002,2025-01-15,CUST-0004,OPEN-AR,2640000,BANK_TRANSFER,SCB-CURR,Opening AR settlement
RCPT-2025-00003,2025-01-15,CUST-0006,OPEN-AR,1560000,BANK_TRANSFER,SCB-CURR,Opening AR settlement
RCPT-2025-00004,2025-01-15,CUST-0003,OPEN-AR,3120000,BANK_TRANSFER,SCB-CURR,Opening AR settlement
RCPT-2025-00005,2025-01-15,CUST-0009,OPEN-AR,1450000,BANK_TRANSFER,SCB-CURR,Opening AR settlement
RCPT-2025-00006,2025-01-15,CUST-0002,OPEN-AR,2850000,BANK_TRANSFER,SCB-CURR,Opening AR settlement
RCPT-2025-00007,2025-01-15,CUST-0010,OPEN-AR,540000,BANK_TRANSFER,SCB-CURR,Opening AR settlement
RCPT-2025-00008,2025-01-15,CUST-0005,OPEN-AR,1980000,BANK_TRANSFER,SCB-CURR,Opening AR settlement
RCPT-2025-00009,2025-01-15,CUST-0008,OPEN-AR,980000,BANK_TRANSFER,SCB-CURR,Opening AR settlement
RCPT-2025-00010,2025-02-10,CUST-0011,OPEN-AR,5696556,BANK_TRANSFER,SCB-CURR,Opening AR settlement (others)
RCPT-2025-00011,2025-01-15,CUST-0001,INV-2025-00001,34800000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00012,2025-01-15,CUST-0035,INV-2025-00007,4500000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00013,2025-01-15,CUST-0001,INV-2025-00009,1515296,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00014,2025-02-15,CUST-0001,INV-2025-00012,32480000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00015,2025-02-15,CUST-0035,INV-2025-00018,4200000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00016,2025-02-15,CUST-0001,INV-2025-00020,1414277,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00017,2025-03-15,CUST-0001,INV-2025-00023,39440000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00018,2025-03-15,CUST-0035,INV-2025-00029,5100000,CASH,Cash on Hand,Cash sale settlement
