bill_id,bill_date,due_date,supplier_id,expense_account,expense_type,segment,amount,vat_amount,total_amount,credit_term_days,reference,status
BILL-2025-00001,2025-01-10,2025-02-09,SUP-0001,1141,Inventory-Vehicle,Inventory,71250000,4987500,76237500,30,HONDA-INV-1,OPEN
BILL-2025-00002,2025-01-12,2025-02-11,SUP-0002,1141,Inventory-Accessories,Inventory,2651821,185627.47,2837448.47,30,HONDA-ACC-1,OPEN
BILL-2025-00003,2025-01-15,2025-03-01,SUP-0003,1142,Inventory-Parts,Inventory,2625000,183750,2808750,45,HONDA-PRT-1,OPEN
BILL-2025-00004,2025-01-17,2025-03-03,SUP-0004,1142,Inventory-Parts,Inventory,562500,39375,601875,45,DENSO-PRT-1,OPEN
BILL-2025-00005,2025-01-19,2025-03-05,SUP-0005,1142,Inventory-Parts,Inventory,562500,39375,601875,45,BOSCH-PRT-1,OPEN
BILL-2025-00006,2025-01-11,2025-02-10,SUP-0016,5412,Rent,Admin,756000,52920,808920,30,RENT-SHOWROOM-1,OPEN
BILL-2025-00007,2025-01-11,2025-02-10,SUP-0017,5412,Rent,Admin,294000,20580,314580,30,RENT-SVC-1,OPEN
BILL-2025-00008,2025-01-13,2025-02-12,SUP-0012,5413,Utilities-Electric,Admin,168000,11760,179760,30,ELEC-1,OPEN
BILL-2025-00009,2025-01-13,2025-02-12,SUP-0013,5413,Utilities-Water,Admin,42000,2940,44940,30,WATER-1,OPEN
BILL-2025-00010,2025-01-13,2025-02-12,SUP-0014,5413,Telecom,Admin,63000,4410,67410,30,TELECOM-1,OPEN
BILL-2025-00011,2025-01-15,2025-02-14,SUP-0023,5310,Marketing,Selling,504000,35280,539280,30,MKTG-1,OPEN
BILL-2025-00012,2025-01-15,2025-02-14,SUP-0024,5210,Logistics,Distribution,1050000,73500,1123500,30,LOGISTICS-1,OPEN
BILL-2025-00013,2025-01-17,2025-02-16,SUP-0007,5210,Fuel,Distribution,336000,23520,359520,30,FUEL-1,OPEN
BILL-2025-00014,2025-01-18,2025-03-04,SUP-0009,5130,Paint-Body,Service,210000,14700,224700,45,PAINT-1,OPEN
BILL-2025-00015,2025-01-18,2025-03-04,SUP-0011,5130,Tires,Service,126000,8820,134820,45,TIRES-1,OPEN
BILL-2025-00016,2025-01-19,2025-02-18,SUP-0021,5417,Security,Admin,63000,4410,67410,30,SEC-1,OPEN
BILL-2025-00017,2025-01-19,2025-02-18,SUP-0022,5417,Cleaning,Admin,42000,2940,44940,30,CLEAN-1,OPEN
BILL-2025-00018,2025-01-21,2025-02-20,SUP-0020,5417,IT,Admin,84000,5880,89880,30,IT-1,OPEN
BILL-2025-00019,2025-01-25,2025-02-24,SUP-0025,5416,Professional,Admin,462000,32340,494340,30,PROF-1,OPEN
BILL-2025-00020,2025-02-10,2025-03-12,SUP-0001,1141,Inventory-Vehicle,Inventory,66500000,4655000,71155000,30,HONDA-INV-2,OPEN
BILL-2025-00021,2025-02-12,2025-03-14,SUP-0002,1141,Inventory-Accessories,Inventory,2475033,173252.31,2648285.31,30,HONDA-ACC-2,OPEN
BILL-2025-00022,2025-02-15,2025-04-01,SUP-0003,1142,Inventory-Parts,Inventory,2450000,171500,2621500,45,HONDA-PRT-2,OPEN
BILL-2025-00023,2025-02-17,2025-04-03,SUP-0004,1142,Inventory-Parts,Inventory,525000,36750,561750,45,DENSO-PRT-2,OPEN
BILL-2025-00024,2025-02-19,2025-04-05,SUP-0005,1142,Inventory-Parts,Inventory,525000,36750,561750,45,BOSCH-PRT-2,OPEN
BILL-2025-00025,2025-02-11,2025-03-13,SUP-0016,5412,Rent,Admin,705600,49392,754992,30,RENT-SHOWROOM-2,OPEN
BILL-2025-00026,2025-02-11,2025-03-13,SUP-0017,5412,Rent,Admin,274400,19208,293608,30,RENT-SVC-2,OPEN
BILL-2025-00027,2025-02-13,2025-03-15,SUP-0012,5413,Utilities-Electric,Admin,156800,10976,167776,30,ELEC-2,OPEN
BILL-2025-00028,2025-02-13,2025-03-15,SUP-0013,5413,Utilities-Water,Admin,39200,2744,41944,30,WATER-2,OPEN
BILL-2025-00029,2025-02-13,2025-03-15,SUP-0014,5413,Telecom,Admin,58800,4116,62916,30,TELECOM-2,OPEN
BILL-2025-00030,2025-02-15,2025-03-17,SUP-0023,5310,Marketing,Selling,470400,32928,503328,30,MKTG-2,OPEN
BILL-2025-00031,2025-02-15,2025-03-17,SUP-0024,5210,Logistics,Distribution,980000,68600,1048600,30,LOGISTICS-2,OPEN
BILL-2025-00032,2025-02-17,2025-03-19,SUP-0007,5210,Fuel,Distribution,313600,21952,335552,30,FUEL-2,OPEN
BILL-2025-00033,2025-02-18,2025-04-04,SUP-0009,5130,Paint-Body,Service,196000,13720,209720,45,PAINT-2,OPEN
BILL-2025-00034,2025-02-18,2025-04-04,SUP-0011,5130,Tires,Service,117600,8232,125832,45,TIRES-2,OPEN
BILL-2025-00035,2025-02-19,2025-03-21,SUP-0021,5417,Security,Admin,58800,4116,62916,30,SEC-2,OPEN
BILL-2025-00036,2025-02-19,2025-03-21,SUP-0022,5417,Cleaning,Admin,39200,2744,41944,30,CLEAN-2,OPEN
BILL-2025-00037,2025-02-21,2025-03-23,SUP-0020,5417,IT,Admin,78400,5488,83888,30,IT-2,OPEN
BILL-2025-00038,2025-02-25,2025-03-27,SUP-0025,5416,Professional,Admin,431200,30184,461384,30,PROF-2,OPEN
BILL-2025-00039,2025-03-10,2025-04-09,SUP-0001,1141,Inventory-Vehicle,Inventory,80750000,5652500,86402500,30,HONDA-INV-3,OPEN
BILL-2025-00040,2025-03-12,2025-04-11,SUP-0002,1141,Inventory-Accessories,Inventory,3005398,210377.86,3215775.86,30,HONDA-ACC-3,OPEN
BILL-2025-00041,2025-03-15,2025-04-29,SUP-0003,1142,Inventory-Parts,Inventory,2975000,208250,3183250,45,HONDA-PRT-3,OPEN
BILL-2025-00042,2025-03-17,2025-05-01,SUP-0004,1142,Inventory-Parts,Inventory,637500,44625,682125,45,DENSO-PRT-3,OPEN
BILL-2025-00043,2025-03-19,2025-05-03,SUP-0005,1142,Inventory-Parts,Inventory,637500,44625,682125,45,BOSCH-PRT-3,OPEN
BILL-2025-00044,2025-03-11,2025-04-10,SUP-0016,5412,Rent,Admin,856800,59976,916776,30,RENT-SHOWROOM-3,OPEN
BILL-2025-00045,2025-03-11,2025-04-10,SUP-0017,5412,Rent,Admin,333200,23324,356524,30,RENT-SVC-3,OPEN
BILL-2025-00046,2025-03-13,2025-04-12,SUP-0012,5413,Utilities-Electric,Admin,190400,13328,203728,30,ELEC-3,OPEN
BILL-2025-00047,2025-03-13,2025-04-12,SUP-0013,5413,Utilities-Water,Admin,47600,3332,50932,30,WATER-3,OPEN
BILL-2025-00048,2025-03-13,2025-04-12,SUP-0014,5413,Telecom,Admin,71400,4998,76398,30,TELECOM-3,OPEN
BILL-2025-00049,2025-03-15,2025-04-14,SUP-0023,5310,Marketing,Selling,571200,39984,611184,30,MKTG-3,OPEN
BILL-2025-00050,2025-03-15,2025-04-14,SUP-0024,5210,Logistics,Distribution,1190000,83300,1273300,30,LOGISTICS-3,OPEN
BILL-2025-00051,2025-03-17,2025-04-16,SUP-0007,5210,Fuel,Distribution,380800,26656,407456,30,FUEL-3,OPEN
BILL-2025-00052,2025-03-18,2025-05-02,SUP-0009,5130,Paint-Body,Service,238000,16660,254660,45,PAINT-3,OPEN
BILL-2025-00053,2025-03-18,2025-05-02,SUP-0011,5130,Tires,Service,142800,9996,152796,45,TIRES-3,OPEN
BILL-2025-00054,2025-03-19,2025-04-18,SUP-0021,5417,Security,Admin,71400,4998,76398,30,SEC-3,OPEN
BILL-2025-00055,2025-03-19,2025-04-18,SUP-0022,5417,Cleaning,Admin,47600,3332,50932,30,CLEAN-3,OPEN
BILL-2025-00056,2025-03-21,2025-04-20,SUP-0020,5417,IT,Admin,95200,6664,101864,30,IT-3,OPEN
BILL-2025-00057,2025-03-25,2025-04-24,SUP-0025,5416,Professional,Admin,523600,36652,560252,30,PROF-3,OPEN
BILL-2025-00058,2025-04-10,2025-05-10,SUP-0001,1141,Inventory-Vehicle,Inventory,71250000,4987500,76237500,30,HONDA-INV-4,OPEN
BILL-2025-00059,2025-04-12,2025-05-12,SUP-0002,1141,Inventory-Accessories,Inventory,2651821,185627.47,2837448.47,30,HONDA-ACC-4,OPEN
BILL-2025-00060,2025-04-15,2025-05-30,SUP-0003,1142,Inventory-Parts,Inventory,2625000,183750,2808750,45,HONDA-PRT-4,OPEN
BILL-2025-00061,2025-04-17,2025-06-01,SUP-0004,1142,Inventory-Parts,Inventory,562500,39375,601875,45,DENSO-PRT-4,OPEN
BILL-2025-00062,2025-04-19,2025-06-03,SUP-0005,1142,Inventory-Parts,Inventory,562500,39375,601875,45,BOSCH-PRT-4,OPEN
BILL-2025-00063,2025-04-11,2025-05-11,SUP-0016,5412,Rent,Admin,756000,52920,808920,30,RENT-SHOWROOM-4,OPEN
BILL-2025-00064,2025-04-11,2025-05-11,SUP-0017,5412,Rent,Admin,294000,20580,314580,30,RENT-SVC-4,OPEN
BILL-2025-00065,2025-04-13,2025-05-13,SUP-0012,5413,Utilities-Electric,Admin,168000,11760,179760,30,ELEC-4,OPEN
BILL-2025-00066,2025-04-13,2025-05-13,SUP-0013,5413,Utilities-Water,Admin,42000,2940,44940,30,WATER-4,OPEN
BILL-2025-00067,2025-04-13,2025-05-13,SUP-0014,5413,Telecom,Admin,63000,4410,67410,30,TELECOM-4,OPEN
BILL-2025-00068,2025-04-15,2025-05-15,SUP-0023,5310,Marketing,Selling,504000,35280,539280,30,MKTG-4,OPEN
BILL-2025-00069,2025-04-15,2025-05-15,SUP-0024,5210,Logistics,Distribution,1050000,73500,1123500,30,LOGISTICS-4,OPEN
BILL-2025-00070,2025-04-17,2025-05-17,SUP-0007,5210,Fuel,Distribution,336000,23520,359520,30,FUEL-4,OPEN
BILL-2025-00071,2025-04-18,2025-06-02,SUP-0009,5130,Paint-Body,Service,210000,14700,224700,45,PAINT-4,OPEN
BILL-2025-00072,2025-04-18,2025-06-02,SUP-0011,5130,Tires,Service,126000,8820,134820,45,TIRES-4,OPEN
BILL-2025-00073,2025-04-19,2025-05-19,SUP-0021,5417,Security,Admin,63000,4410,67410,30,SEC-4,OPEN
BILL-2025-00074,2025-04-19,2025-05-19,SUP-0022,5417,Cleaning,Admin,42000,2940,44940,30,CLEAN-4,OPEN
BILL-2025-00075,2025-04-21,2025-05-21,SUP-0020,5417,IT,Admin,84000,5880,89880,30,IT-4,OPEN
BILL-2025-00076,2025-04-25,2025-05-25,SUP-0025,5416,Professional,Admin,462000,32340,494340,30,PROF-4,OPEN
BILL-2025-00077,2025-05-10,2025-06-09,SUP-0001,1141,Inventory-Vehicle,Inventory,76000000,5320000,81320000,30,HONDA-INV-5,OPEN
BILL-2025-00078,2025-05-12,2025-06-11,SUP-0002,1141,Inventory-Accessories,Inventory,2828609,198002.63,3026611.63,30,HONDA-ACC-5,OPEN
BILL-2025-00079,2025-05-15,2025-06-29,SUP-0003,1142,Inventory-Parts,Inventory,2800000,196000,2996000,45,HONDA-PRT-5,OPEN
BILL-2025-00080,2025-05-17,2025-07-01,SUP-0004,1142,Inventory-Parts,Inventory,600000,42000,642000,45,DENSO-PRT-5,OPEN
BILL-2025-00081,2025-05-19,2025-07-03,SUP-0005,1142,Inventory-Parts,Inventory,600000,42000,642000,45,BOSCH-PRT-5,OPEN
BILL-2025-00082,2025-05-11,2025-06-10,SUP-0016,5412,Rent,Admin,806400,56448,862848,30,RENT-SHOWROOM-5,OPEN
BILL-2025-00083,2025-05-11,2025-06-10,SUP-0017,5412,Rent,Admin,313600,21952,335552,30,RENT-SVC-5,OPEN
BILL-2025-00084,2025-05-13,2025-06-12,SUP-0012,5413,Utilities-Electric,Admin,179200,12544,191744,30,ELEC-5,OPEN
BILL-2025-00085,2025-05-13,2025-06-12,SUP-0013,5413,Utilities-Water,Admin,44800,3136,47936,30,WATER-5,OPEN
BILL-2025-00086,2025-05-13,2025-06-12,SUP-0014,5413,Telecom,Admin,67200,4704,71904,30,TELECOM-5,OPEN
