payment_id,payment_date,supplier_id,bill_id,amount,payment_method,bank_account,reference
PAY-2025-00001,2025-01-25,SUP-0016,OPEN-AP,720000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00002,2025-01-25,SUP-0015,OPEN-AP,6500,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00003,2025-01-25,SUP-0023,OPEN-AP,180000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00004,2025-01-25,SUP-0002,OPEN-AP,3200000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00005,2025-01-25,SUP-0021,OPEN-AP,52000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00006,2025-01-25,SUP-0026,OPEN-AP,3850000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00007,2025-01-25,SUP-0007,OPEN-AP,180000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00008,2025-01-25,SUP-0025,OPEN-AP,65000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00009,2025-01-25,SUP-0013,OPEN-AP,8500,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00010,2025-01-25,SUP-0019,OPEN-AP,68000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00011,2025-01-25,SUP-0001,OPEN-AP,67767488,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00012,2025-01-25,SUP-0014,OPEN-AP,12000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00013,2025-01-25,SUP-0005,OPEN-AP,380000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00014,2025-01-25,SUP-0027,OPEN-AP,420000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00015,2025-01-25,SUP-0008,OPEN-AP,65000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00016,2025-01-25,SUP-0011,OPEN-AP,128000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00017,2025-01-25,SUP-0006,OPEN-AP,210000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00018,2025-01-25,SUP-0010,OPEN-AP,52000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00019,2025-01-25,SUP-0022,OPEN-AP,28000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00020,2025-01-25,SUP-0012,OPEN-AP,42000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00021,2025-01-25,SUP-0018,OPEN-AP,18000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00022,2025-01-25,SUP-0003,OPEN-AP,4250000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00023,2025-01-25,SUP-0017,OPEN-AP,295000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00024,2025-01-25,SUP-0004,OPEN-AP,420000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00025,2025-01-25,SUP-0024,OPEN-AP,165000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00026,2025-01-25,SUP-0009,OPEN-AP,98000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00027,2025-01-25,SUP-0020,OPEN-AP,24000,BANK_TRANSFER,SCB-CURR,Opening AP settlement
PAY-2025-00028,2025-02-09,SUP-0001,BILL-2025-00001,71250000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00029,2025-02-10,SUP-0017,BILL-2025-00007,294000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00030,2025-02-10,SUP-0016,BILL-2025-00006,756000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00031,2025-02-11,SUP-0002,BILL-2025-00002,2651821,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00032,2025-02-12,SUP-0013,BILL-2025-00009,42000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00033,2025-02-12,SUP-0012,BILL-2025-00008,168000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00034,2025-02-12,SUP-0014,BILL-2025-00010,63000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00035,2025-02-14,SUP-0024,BILL-2025-00012,1050000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00036,2025-02-14,SUP-0023,BILL-2025-00011,504000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00037,2025-02-16,SUP-0007,BILL-2025-00013,336000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00038,2025-02-18,SUP-0021,BILL-2025-00016,63000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00039,2025-02-18,SUP-0022,BILL-2025-00017,42000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00040,2025-02-20,SUP-0020,BILL-2025-00018,84000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00041,2025-02-24,SUP-0025,BILL-2025-00019,462000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00042,2025-03-01,SUP-0003,BILL-2025-00003,2625000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00043,2025-03-03,SUP-0004,BILL-2025-00004,562500,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00044,2025-03-04,SUP-0009,BILL-2025-00014,210000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00045,2025-03-04,SUP-0011,BILL-2025-00015,126000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00046,2025-03-05,SUP-0005,BILL-2025-00005,562500,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00047,2025-03-12,SUP-0001,BILL-2025-00020,66500000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00048,2025-03-13,SUP-0016,BILL-2025-00025,705600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00049,2025-03-13,SUP-0017,BILL-2025-00026,274400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00050,2025-03-14,SUP-0002,BILL-2025-00021,2475033,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00051,2025-03-15,SUP-0012,BILL-2025-00027,156800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00052,2025-03-15,SUP-0013,BILL-2025-00028,39200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00053,2025-03-15,SUP-0014,BILL-2025-00029,58800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00054,2025-03-17,SUP-0024,BILL-2025-00031,980000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00055,2025-03-17,SUP-0023,BILL-2025-00030,470400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00056,2025-03-19,SUP-0007,BILL-2025-00032,313600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00057,2025-03-21,SUP-0021,BILL-2025-00035,58800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00058,2025-03-21,SUP-0022,BILL-2025-00036,39200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00059,2025-03-23,SUP-0020,BILL-2025-00037,78400,BANK_TRANSFER,SCB-CURR,Paid per credit term
