txn_id,txn_date,account,direction,counterparty,category,amount,balance,reference,description
BANK-2025-00001,2025-01-01,SCB-CURR,OUT,SUP-0016,LEASE_PAYMENT,1249612,164621537,LEASE-1,Right-of-use lease payment
BANK-2025-00002,2025-01-05,SCB-CURR,OUT,SUP-0028,INTEREST,526807,164094730,INT-1,Bank loan interest
BANK-2025-00003,2025-01-15,SCB-CURR,IN,CUST-0008,AR_COLLECTION,980000,165074730,OPEN-AR,Opening AR settlement
BANK-2025-00004,2025-01-15,SCB-CURR,IN,CUST-0005,AR_COLLECTION,1980000,167054730,OPEN-AR,Opening AR settlement
BANK-2025-00005,2025-01-15,SCB-CURR,IN,CUST-0001,AR_COLLECTION,34800000,201854730,INV-2025-00001,Cash sale settlement
BANK-2025-00006,2025-01-15,SCB-CURR,IN,CUST-0001,AR_COLLECTION,1515296,203370026,INV-2025-00009,Cash sale settlement
BANK-2025-00007,2025-01-15,SCB-CURR,IN,CUST-0035,AR_COLLECTION,4500000,207870026,INV-2025-00007,Cash sale settlement
BANK-2025-00008,2025-01-15,SCB-CURR,IN,CUST-0006,AR_COLLECTION,1560000,209430026,OPEN-AR,Opening AR settlement
BANK-2025-00009,2025-01-15,SCB-CURR,IN,CUST-0003,AR_COLLECTION,3120000,212550026,OPEN-AR,Opening AR settlement
BANK-2025-00010,2025-01-15,SCB-CURR,IN,CUST-0007,AR_COLLECTION,1320000,213870026,OPEN-AR,Opening AR settlement
BANK-2025-00011,2025-01-15,SCB-CURR,IN,CUST-0004,AR_COLLECTION,2640000,216510026,OPEN-AR,Opening AR settlement
BANK-2025-00012,2025-01-15,SCB-CURR,IN,CUST-0002,AR_COLLECTION,2850000,219360026,OPEN-AR,Opening AR settlement
BANK-2025-00013,2025-01-15,SCB-CURR,IN,CUST-0010,AR_COLLECTION,540000,219900026,OPEN-AR,Opening AR settlement
BANK-2025-00014,2025-01-15,SCB-CURR,IN,CUST-0009,AR_COLLECTION,1450000,221350026,OPEN-AR,Opening AR settlement
BANK-2025-00015,2025-01-20,SCB-CURR,IN,Various,OTHER_INCOME,956896,222306922,OI-1,Insurance commission, scrap, misc
BANK-2025-00016,2025-01-22,SCB-CURR,IN,CUST-0002,AR_COLLECTION,16443000,238749922,INV-2025-00002,Settled per credit term
BANK-2025-00017,2025-01-25,SCB-CURR,OUT,SUP-0003,AP_PAYMENT,4250000,234499922,OPEN-AP,Opening AP settlement
BANK-2025-00018,2025-01-25,SCB-CURR,OUT,SUP-0017,AP_PAYMENT,295000,234204922,OPEN-AP,Opening AP settlement
BANK-2025-00019,2025-01-25,SCB-CURR,OUT,SUP-0004,AP_PAYMENT,420000,233784922,OPEN-AP,Opening AP settlement
BANK-2025-00020,2025-01-25,SCB-CURR,OUT,SUP-0018,AP_PAYMENT,18000,233766922,OPEN-AP,Opening AP settlement
BANK-2025-00021,2025-01-25,SCB-CURR,OUT,SUP-0022,AP_PAYMENT,28000,233738922,OPEN-AP,Opening AP settlement
BANK-2025-00022,2025-01-25,SCB-CURR,OUT,SUP-0012,AP_PAYMENT,42000,233696922,OPEN-AP,Opening AP settlement
BANK-2025-00023,2025-01-25,SCB-CURR,OUT,SUP-0007,AP_PAYMENT,180000,233516922,OPEN-AP,Opening AP settlement
BANK-2025-00024,2025-01-25,SCB-CURR,OUT,SUP-0013,AP_PAYMENT,8500,233508422,OPEN-AP,Opening AP settlement
BANK-2025-00025,2025-01-25,SCB-CURR,IN,CUST-0003,AR_COLLECTION,12919500,246427922,INV-2025-00003,Settled per credit term
BANK-2025-00026,2025-01-25,SCB-CURR,OUT,SUP-0001,AP_PAYMENT,67767488,178660434,OPEN-AP,Opening AP settlement
BANK-2025-00027,2025-01-25,SCB-CURR,OUT,SUP-0025,AP_PAYMENT,65000,178595434,OPEN-AP,Opening AP settlement
BANK-2025-00028,2025-01-25,SCB-CURR,OUT,SUP-0024,AP_PAYMENT,165000,178430434,OPEN-AP,Opening AP settlement
BANK-2025-00029,2025-01-25,SCB-CURR,OUT,SUP-0009,AP_PAYMENT,98000,178332434,OPEN-AP,Opening AP settlement
BANK-2025-00030,2025-01-25,SCB-CURR,OUT,SUP-0020,AP_PAYMENT,24000,178308434,OPEN-AP,Opening AP settlement
BANK-2025-00031,2025-01-25,SCB-CURR,OUT,SUP-0019,AP_PAYMENT,68000,178240434,OPEN-AP,Opening AP settlement
BANK-2025-00032,2025-01-25,SCB-CURR,OUT,SUP-0021,AP_PAYMENT,52000,178188434,OPEN-AP,Opening AP settlement
BANK-2025-00033,2025-01-25,SCB-CURR,OUT,SUP-0014,AP_PAYMENT,12000,178176434,OPEN-AP,Opening AP settlement
BANK-2025-00034,2025-01-25,SCB-CURR,OUT,SUP-0016,AP_PAYMENT,720000,177456434,OPEN-AP,Opening AP settlement
BANK-2025-00035,2025-01-25,SCB-CURR,OUT,SUP-0002,AP_PAYMENT,3200000,174256434,OPEN-AP,Opening AP settlement
BANK-2025-00036,2025-01-25,SCB-CURR,OUT,SUP-0023,AP_PAYMENT,180000,174076434,OPEN-AP,Opening AP settlement
BANK-2025-00037,2025-01-25,SCB-CURR,OUT,SUP-0015,AP_PAYMENT,6500,174069934,OPEN-AP,Opening AP settlement
BANK-2025-00038,2025-01-25,SCB-CURR,OUT,SUP-0026,AP_PAYMENT,3850000,170219934,OPEN-AP,Opening AP settlement
BANK-2025-00039,2025-01-25,SCB-CURR,OUT,SUP-0006,AP_PAYMENT,210000,170009934,OPEN-AP,Opening AP settlement
BANK-2025-00040,2025-01-25,SCB-CURR,OUT,SUP-0010,AP_PAYMENT,52000,169957934,OPEN-AP,Opening AP settlement
BANK-2025-00041,2025-01-25,SCB-CURR,OUT,SUP-0011,AP_PAYMENT,128000,169829934,OPEN-AP,Opening AP settlement
BANK-2025-00042,2025-01-25,SCB-CURR,OUT,SUP-0005,AP_PAYMENT,380000,169449934,OPEN-AP,Opening AP settlement
BANK-2025-00043,2025-01-25,SCB-CURR,OUT,SUP-0027,AP_PAYMENT,420000,169029934,OPEN-AP,Opening AP settlement
BANK-2025-00044,2025-01-25,SCB-CURR,OUT,SUP-0008,AP_PAYMENT,65000,168964934,OPEN-AP,Opening AP settlement
BANK-2025-00045,2025-01-28,SCB-CURR,IN,CUST-0004,AR_COLLECTION,9787500,178752434,INV-2025-00004,Settled per credit term
BANK-2025-00046,2025-01-28,SCB-CURR,OUT,SUP-0030,PAYROLL,7197954,171554480,PAYROLL-1,Monthly payroll
BANK-2025-00047,2025-02-01,SCB-CURR,OUT,SUP-0016,LEASE_PAYMENT,1166304,170388176,LEASE-2,Right-of-use lease payment
BANK-2025-00048,2025-02-05,SCB-CURR,OUT,SUP-0028,INTEREST,491687,169896489,INT-2,Bank loan interest
BANK-2025-00049,2025-02-09,SCB-CURR,OUT,SUP-0001,AP_PAYMENT,71250000,98646489,BILL-2025-00001,Paid per credit term
BANK-2025-00050,2025-02-10,SCB-CURR,OUT,SUP-0017,AP_PAYMENT,294000,98352489,BILL-2025-00007,Paid per credit term
BANK-2025-00051,2025-02-10,SCB-CURR,OUT,SUP-0016,AP_PAYMENT,756000,97596489,BILL-2025-00006,Paid per credit term
BANK-2025-00052,2025-02-10,SCB-CURR,IN,CUST-0011,AR_COLLECTION,5696556,103293045,OPEN-AR,Opening AR settlement (others)
BANK-2025-00053,2025-02-11,SCB-CURR,OUT,SUP-0002,AP_PAYMENT,2651821,100641224,BILL-2025-00002,Paid per credit term
BANK-2025-00054,2025-02-12,SCB-CURR,OUT,SUP-0012,AP_PAYMENT,168000,100473224,BILL-2025-00008,Paid per credit term
