jv_id,jv_date,account,debit,credit,description,reference
JV-2025-00001,2025-01-28,5414,0,0,Monthly depreciation - PPE,DEP-PPE-1
JV-2025-00001,2025-01-28,1319,0,0,Monthly depreciation - PPE,DEP-PPE-1
JV-2025-00002,2025-02-28,5414,0,0,Monthly depreciation - PPE,DEP-PPE-2
JV-2025-00002,2025-02-28,1319,0,0,Monthly depreciation - PPE,DEP-PPE-2
JV-2025-00003,2025-03-28,5414,0,0,Monthly depreciation - PPE,DEP-PPE-3
JV-2025-00003,2025-03-28,1319,0,0,Monthly depreciation - PPE,DEP-PPE-3
JV-2025-00004,2025-04-28,5414,0,0,Monthly depreciation - PPE,DEP-PPE-4
JV-2025-00004,2025-04-28,1319,0,0,Monthly depreciation - PPE,DEP-PPE-4
JV-2025-00005,2025-05-28,5414,0,0,Monthly depreciation - PPE,DEP-PPE-5
JV-2025-00005,2025-05-28,1319,0,0,Monthly depreciation - PPE,DEP-PPE-5
JV-2025-00006,2025-06-28,5414,0,0,Monthly depreciation - PPE,DEP-PPE-6
JV-2025-00006,2025-06-28,1319,0,0,Monthly depreciation - PPE,DEP-PPE-6
JV-2025-00007,2025-07-28,5414,0,0,Monthly depreciation - PPE,DEP-PPE-7
JV-2025-00007,2025-07-28,1319,0,0,Monthly depreciation - PPE,DEP-PPE-7
JV-2025-00008,2025-08-28,5414,0,0,Monthly depreciation - PPE,DEP-PPE-8
JV-2025-00008,2025-08-28,1319,0,0,Monthly depreciation - PPE,DEP-PPE-8
JV-2025-00009,2025-09-28,5414,0,0,Monthly depreciation - PPE,DEP-PPE-9
JV-2025-00009,2025-09-28,1319,0,0,Monthly depreciation - PPE,DEP-PPE-9
JV-2025-00010,2025-10-28,5414,0,0,Monthly depreciation - PPE,DEP-PPE-10
JV-2025-00010,2025-10-28,1319,0,0,Monthly depreciation - PPE,DEP-PPE-10
JV-2025-00011,2025-11-28,5414,0,0,Monthly depreciation - PPE,DEP-PPE-11
JV-2025-00011,2025-11-28,1319,0,0,Monthly depreciation - PPE,DEP-PPE-11
JV-2025-00012,2025-12-28,5414,0,0,Monthly depreciation - PPE,DEP-PPE-12
JV-2025-00012,2025-12-28,1319,0,0,Monthly depreciation - PPE,DEP-PPE-12
JV-2025-00013,2025-01-28,5414,0,0,Monthly depreciation - Inv Property,DEP-IP-1
JV-2025-00013,2025-01-28,1230,0,0,Monthly depreciation - Inv Property,DEP-IP-1
JV-2025-00014,2025-02-28,5414,0,0,Monthly depreciation - Inv Property,DEP-IP-2
JV-2025-00014,2025-02-28,1230,0,0,Monthly depreciation - Inv Property,DEP-IP-2
JV-2025-00015,2025-03-28,5414,0,0,Monthly depreciation - Inv Property,DEP-IP-3
JV-2025-00015,2025-03-28,1230,0,0,Monthly depreciation - Inv Property,DEP-IP-3
JV-2025-00016,2025-04-28,5414,0,0,Monthly depreciation - Inv Property,DEP-IP-4
JV-2025-00016,2025-04-28,1230,0,0,Monthly depreciation - Inv Property,DEP-IP-4
JV-2025-00017,2025-05-28,5414,0,0,Monthly depreciation - Inv Property,DEP-IP-5
JV-2025-00017,2025-05-28,1230,0,0,Monthly depreciation - Inv Property,DEP-IP-5
JV-2025-00018,2025-06-28,5414,0,0,Monthly depreciation - Inv Property,DEP-IP-6
JV-2025-00018,2025-06-28,1230,0,0,Monthly depreciation - Inv Property,DEP-IP-6
JV-2025-00019,2025-07-28,5414,0,0,Monthly depreciation - Inv Property,DEP-IP-7
JV-2025-00019,2025-07-28,1230,0,0,Monthly depreciation - Inv Property,DEP-IP-7
JV-2025-00020,2025-08-28,5414,0,0,Monthly depreciation - Inv Property,DEP-IP-8
JV-2025-00020,2025-08-28,1230,0,0,Monthly depreciation - Inv Property,DEP-IP-8
JV-2025-00021,2025-09-28,5414,0,0,Monthly depreciation - Inv Property,DEP-IP-9
JV-2025-00021,2025-09-28,1230,0,0,Monthly depreciation - Inv Property,DEP-IP-9
JV-2025-00022,2025-10-28,5414,0,0,Monthly depreciation - Inv Property,DEP-IP-10
JV-2025-00022,2025-10-28,1230,0,0,Monthly depreciation - Inv Property,DEP-IP-10
JV-2025-00023,2025-11-28,5414,0,0,Monthly depreciation - Inv Property,DEP-IP-11
JV-2025-00023,2025-11-28,1230,0,0,Monthly depreciation - Inv Property,DEP-IP-11
JV-2025-00024,2025-12-28,5414,0,0,Monthly depreciation - Inv Property,DEP-IP-12
JV-2025-00024,2025-12-28,1230,0,0,Monthly depreciation - Inv Property,DEP-IP-12
JV-2025-00025,2025-01-28,5414,0,0,Monthly depreciation - ROU,DEP-ROU-1
JV-2025-00025,2025-01-28,1320,0,0,Monthly depreciation - ROU,DEP-ROU-1
JV-2025-00026,2025-02-28,5414,0,0,Monthly depreciation - ROU,DEP-ROU-2
JV-2025-00026,2025-02-28,1320,0,0,Monthly depreciation - ROU,DEP-ROU-2
JV-2025-00027,2025-03-28,5414,0,0,Monthly depreciation - ROU,DEP-ROU-3
JV-2025-00027,2025-03-28,1320,0,0,Monthly depreciation - ROU,DEP-ROU-3
JV-2025-00028,2025-04-28,5414,0,0,Monthly depreciation - ROU,DEP-ROU-4
JV-2025-00028,2025-04-28,1320,0,0,Monthly depreciation - ROU,DEP-ROU-4
JV-2025-00029,2025-05-28,5414,0,0,Monthly depreciation - ROU,DEP-ROU-5
JV-2025-00029,2025-05-28,1320,0,0,Monthly depreciation - ROU,DEP-ROU-5
JV-2025-00030,2025-06-28,5414,0,0,Monthly depreciation - ROU,DEP-ROU-6
JV-2025-00030,2025-06-28,1320,0,0,Monthly depreciation - ROU,DEP-ROU-6
JV-2025-00031,2025-07-28,5414,0,0,Monthly depreciation - ROU,DEP-ROU-7
JV-2025-00031,2025-07-28,1320,0,0,Monthly depreciation - ROU,DEP-ROU-7
JV-2025-00032,2025-08-28,5414,0,0,Monthly depreciation - ROU,DEP-ROU-8
JV-2025-00032,2025-08-28,1320,0,0,Monthly depreciation - ROU,DEP-ROU-8
JV-2025-00033,2025-09-28,5414,0,0,Monthly depreciation - ROU,DEP-ROU-9
JV-2025-00033,2025-09-28,1320,0,0,Monthly depreciation - ROU,DEP-ROU-9
JV-2025-00034,2025-10-28,5414,0,0,Monthly depreciation - ROU,DEP-ROU-10
JV-2025-00034,2025-10-28,1320,0,0,Monthly depreciation - ROU,DEP-ROU-10
JV-2025-00035,2025-11-28,5414,0,0,Monthly depreciation - ROU,DEP-ROU-11
JV-2025-00035,2025-11-28,1320,0,0,Monthly depreciation - ROU,DEP-ROU-11
JV-2025-00036,2025-12-28,5414,0,0,Monthly depreciation - ROU,DEP-ROU-12
JV-2025-00036,2025-12-28,1320,0,0,Monthly depreciation - ROU,DEP-ROU-12
JV-2025-00037,2025-01-28,5415,0,0,Monthly amortization - intangible,AMORT-1
JV-2025-00037,2025-01-28,1330,0,0,Monthly amortization - intangible,AMORT-1
JV-2025-00038,2025-02-28,5415,0,0,Monthly amortization - intangible,AMORT-2
JV-2025-00038,2025-02-28,1330,0,0,Monthly amortization - intangible,AMORT-2
JV-2025-00039,2025-03-28,5415,0,0,Monthly amortization - intangible,AMORT-3
JV-2025-00039,2025-03-28,1330,0,0,Monthly amortization - intangible,AMORT-3
JV-2025-00040,2025-04-28,5415,0,0,Monthly amortization - intangible,AMORT-4
JV-2025-00040,2025-04-28,1330,0,0,Monthly amortization - intangible,AMORT-4
JV-2025-00041,2025-05-28,5415,0,0,Monthly amortization - intangible,AMORT-5
JV-2025-00041,2025-05-28,1330,0,0,Monthly amortization - intangible,AMORT-5
JV-2025-00042,2025-06-28,5415,0,0,Monthly amortization - intangible,AMORT-6
JV-2025-00042,2025-06-28,1330,0,0,Monthly amortization - intangible,AMORT-6
JV-2025-00043,2025-07-28,5415,0,0,Monthly amortization - intangible,AMORT-7
JV-2025-00043,2025-07-28,1330,0,0,Monthly amortization - intangible,AMORT-7
JV-2025-00044,2025-08-28,5415,0,0,Monthly amortization - intangible,AMORT-8
JV-2025-00044,2025-08-28,1330,0,0,Monthly amortization - intangible,AMORT-8
JV-2025-00045,2025-09-28,5415,0,0,Monthly amortization - intangible,AMORT-9
JV-2025-00045,2025-09-28,1330,0,0,Monthly amortization - intangible,AMORT-9
JV-2025-00046,2025-10-28,5415,0,0,Monthly amortization - intangible,AMORT-10
JV-2025-00046,2025-10-28,1330,0,0,Monthly amortization - intangible,AMORT-10
JV-2025-00047,2025-11-28,5415,0,0,Monthly amortization - intangible,AMORT-11
JV-2025-00047,2025-11-28,1330,0,0,Monthly amortization - intangible,AMORT-11
JV-2025-00048,2025-12-28,5415,0,0,Monthly amortization - intangible,AMORT-12
JV-2025-00048,2025-12-28,1330,0,0,Monthly amortization - intangible,AMORT-12
JV-2025-00049,2025-12-31,5411,,0,Provision for employee benefits,EMP-BENEFIT
JV-2025-00049,2025-12-31,2230,0,,Provision for employee benefits,EMP-BENEFIT
JV-2025-00050,2025-12-31,1124,64000,0,Write-back of allowance for doubtful accounts,ALLOW-AR
JV-2025-00050,2025-12-31,4190,0,64000,Write-back of allowance for doubtful accounts,ALLOW-AR
JV-2025-00051,2025-12-31,1142,916786,0,Inventory revaluation gain,INV-REVAL
JV-2025-00051,2025-12-31,4170,0,916786,Inventory revaluation gain,INV-REVAL
JV-2025-00052,2025-12-31,5610,16215478,0,Annual income tax expense,TAX-EXP
JV-2025-00052,2025-12-31,2160,0,61102,Income tax payable accrual,TAX-EXP
JV-2025-00052,2025-12-31,1112,0,16154376,Income tax paid via bank,TAX-EXP
JV-2025-00053,2025-12-31,5510,-7024093,0,Finance cost - lease interest,FIN-COST
JV-2025-00053,2025-12-31,2220,0,-7024093,Lease liability interest,FIN-COST
