งบแสดงฐานะการเงินบริษัท ออโตคลิกบายเอซีจี จำกัด,,,,,,,,,,
ข้อมูลปีงบการเงิน 2564 - 2568,,,,,,,,,,
หน่วย : บาท,2564,,2565,,2566,,2567,,2568,
,จำนวนเงิน,%เปลี่ยนแปลง,จำนวนเงิน,%เปลี่ยนแปลง,จำนวนเงิน,%เปลี่ยนแปลง,จำนวนเงิน,%เปลี่ยนแปลง,จำนวนเงิน,%เปลี่ยนแปลง
ลูกหนี้การค้าสุทธิ,469672.0,646.88,1100217.0,134.25,5587104.0,407.81,6135438.0,9.81,938218.0,-84.7
สินค้าคงเหลือ,7451648.0,0.0,1.9271918E7,158.62,1.8393385E7,-4.55,9380363.0,-49.0,1.4621524E7,55.87
สินทรัพย์หมุนเวียน,3.1150518E7,319.03,4.5284334E7,45.37,6.3424328E7,40.05,4.4377075E7,-30.03,3.5137656E7,-20.82
ที่ดิน อาคารและอุปกรณ์,5.8522715E7,1265.05,1.00644039E8,71.97,1.16202736E8,15.45,9.7774396E7,-15.85,7.9334982E7,-18.85
สินทรัพย์ไม่หมุนเวียน,9.5040847E7,1064.31,1.86184318E8,95.89,2.16590768E8,16.33,1.87346957E8,-13.5,1.6346204E8,-12.74
สินทรัพย์รวม,1.26191365E8,709.08,2.31468652E8,83.42,2.80015096E8,20.97,2.31724032E8,-17.24,1.98599696E8,-14.29
หนี้สินหมุนเวียน,1.9794957E7,1054.17,2.092334369E7,5.7,2.3104352E7,10.42,2.2504484E7,-2.59,2.8469212E7,26.5
หนี้สินไม่หมุนเวียน,1.21550426E8,795.41,2.6702671531E8,119.68,3.16704181E8,18.6,3.17604063E8,0.28,3.12815694E8,-1.5
หนี้สินรวม,1.41345383E8,824.44,2.87950059E8,103.72,3.39808533E8,18.0,3.40108547E8,0.08,3.41284906E8,0.34
ส่วนของผู้ถือหุ้น,-1.5154018E7,-5037.12,-5.6481407E7,-272.71,-5.9793437E7,-5.86,-1.08384515E8,-81.26,-1.4268521E8,-31.64
หนี้สินรวมและส่วนของผู้ถือหุ้น,1.26191365E8,709.08,2.31468652E8,83.42,2.80015096E8,20.97,2.31724032E8,-17.24,1.98599696E8,-14.29
