บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,
งบฐานะการเงิน,,,,,,,,,
,,,,,,,,,
,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,
,,,31 มีนาคม ,,31 ธันวาคม,,31 มีนาคม ,,31 ธันวาคม
สินทรัพย์,หมายเหตุ,,2569,,2568,,2569,,2568
,,,(ไม่ได้ตรวจสอบ),,,,(ไม่ได้ตรวจสอบ),,
,,,(บาท),,,,,,
สินทรัพย์หมุนเวียน,,,,,,,,,
เงินสดและรายการเทียบเท่าเงินสด,,,163883501,,173743169,,19264222,,17640169
ลูกหนี้การค้ากิจการอื่น,,,21451435,,21606892,,0,,0
ลูกหนี้หมุนเวียนอื่น,2,,15414709,,13437598,,12354524,,12925559
สินค้าคงเหลือ,3,,76180642,,74124409,,0,,0
สินทรัพย์หมุนเวียนอื่น,,,1382652,,1496906,,54666,,20360
รวมสินทรัพย์หมุนเวียน,,,278312939,,284408974,,31673412,,30586088
,,,,,,,,,
สินทรัพย์ไม่หมุนเวียน,,,,,,,,,
เงินลงทุนในบริษัทย่อย,,,0,,0,,598590000,,598590000
ลูกหนี้ไม่หมุนเวียนอื่น,,,4489980,,4489980,,0,,0
อสังหาริมทรัพย์เพื่อการลงทุน,,,143810612,,144164368,,0,,0
ที่ดิน อาคารและอุปกรณ์ ,4,,550234809,,558287983,,0,,0
สินทรัพย์สิทธิการใช้,,,138166738,,141912925,,0,,0
สินทรัพย์ไม่มีตัวตน,,,6239281,,6457013,,5897776,,6076788
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,,,15552275,,14845239,,1580206,,1538448
สินทรัพย์ไม่หมุนเวียนอื่น,,,9958613,,9928613,,0,,0
รวมสินทรัพย์ไม่หมุนเวียน,,,868452308,,880086121,,606067982,,606205236
,,,,,,,,,
รวมสินทรัพย์,,,1146765247,,1164495095,,637741394,,636791324
,,,,,,,,,
บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,
งบฐานะการเงิน,,,,,,,,,
,,,,,,,,,
,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,
,,,31 มีนาคม ,,31 ธันวาคม,,31 มีนาคม ,,31 ธันวาคม
หนี้สินและส่วนของผู้ถือหุ้น,หมายเหตุ,,2569,,2568,,2569,,2568
,,,(ไม่ได้ตรวจสอบ),,,,(ไม่ได้ตรวจสอบ),,
,,,(บาท),,,,,,
หนี้สินหมุนเวียน,,,,,,,,,
เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,,,90000000,,120000000,,0,,0
เจ้าหนี้การค้า ,,,89045325,,87097100,,0,,0
เจ้าหนี้หมุนเวียนอื่น,2,,24989091,,24138701,,1351852,,1109447
ส่วนของหนี้สินตามสัญญาเช่า,,,,,,,,,
   ที่ถึงกำหนดชำระภายในหนึ่งปี,,,10811320,,10510744,,0,,0
ภาษีเงินได้นิติบุคคลค้างจ่าย,,,9174611,,5996908,,0,,0
หนี้สินหมุนเวียนอื่น,,,3278804,,5497209,,549041,,531409
รวมหนี้สินหมุนเวียน,,,227299151,,253240662,,1900893,,1640856
,,,,,,,,,
หนี้สินไม่หมุนเวียน,,,,,,,,,
เงินกู้ยืมระยะยาวจากสถาบันการเงิน,,,0,,0,,0,,0
หนี้สินตามสัญญาเช่า,,,155289269,,157619708,,0,,0
ประมาณการหนี้สินไม่หมุนเวียนสำหรับ,,,,,,,,,
   ผลประโยชน์พนักงาน,,,11207365,,10858270,,7901031,,7692243
ประมาณการหนี้สินไม่หมุนเวียนอื่น,,,6290625,,6213079,,0,,0
รวมหนี้สินไม่หมุนเวียน,,,172787259,,174691057,,7901031,,7692243
รวมหนี้สิน,,,400086410,,427931719,,9801924,,9333099
,,,,,,,,,
บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,
งบฐานะการเงิน,,,,,,,,,
,,,,,,,,,
,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,
,,,31 มีนาคม ,,31 ธันวาคม,,31 มีนาคม ,,31 ธันวาคม
หนี้สินและส่วนของผู้ถือหุ้น (ต่อ),,,2569,,2568,,2569,,2568
,,,(ไม่ได้ตรวจสอบ),,,,(ไม่ได้ตรวจสอบ),,
,,,(บาท),,,,,,
ส่วนของผู้ถือหุ้น,,,,,,,,,
ทุนเรือนหุ้น,,,,,,,,,
   ทุนจดทะเบียน,,,,,,,,,
"   (หุ้นสามัญจำนวน 624,000,000 หุ้น มูลค่า 0.5 บาทต่อหุ้น)",,,312000000,,312000000,,312000000,,312000000
   ทุนที่ออกและชำระแล้ว,,,,,,,,,
"   (หุ้นสามัญจำนวน 600,000,000 หุ้น มูลค่า 0.5 บาทต่อหุ้น)",,,300000000,,300000000,,300000000,,300000000
ส่วนเกินมูลค่าหุ้นสามัญ,,,137109509,,137109509,,137109509,,137109509
ส่วนเกินทุนจากการจัดโครงสร้างธุรกิจ,,,,,,,,,
   ภายใต้การควบคุมเดียวกัน,,,130891299,,130891299,,0,,0
ใบสำคัญแสดงสิทธิที่จะซื้อหุ้น,,,16148417,,16113897,,16148417,,16113897
กำไรสะสม,,,,,,,,,
   จัดสรรแล้ว,,,,,,,,,
      ทุนสำรองตามกฎหมาย,,,8378303,,8378303,,8378303,,8378303
   ยังไม่ได้จัดสรร ,,,152003489,,141966488,,166303241,,165856516
รวมส่วนของบริษัทใหญ่,,,744531017,,734459496,,627939470,,627458225
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,,,2147820,,2103880,,0,,0
รวมส่วนของผู้ถือหุ้น,,,746678837,,736563376,,627939470,,627458225
,,,,,,,,,
รวมหนี้สินและส่วนของผู้ถือหุ้น,,,1146765247,,1164495095,,637741394,,636791324
,,,,,,,,,
,,,,,,,,,
,,,0,,0,,0,,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
