บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,
งบฐานะการเงิน,,,,,,,,,
,,,,,,,,,
,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,
,,,31 ธันวาคม,,,,31 ธันวาคม,,
สินทรัพย์,หมายเหตุ,,2568,,2567,,2568,,2567
,,,(บาท),,,,,,
สินทรัพย์หมุนเวียน,,,,,,,,,
เงินสดและรายการเทียบเท่าเงินสด,5,,173743169,,165871149,,17640169,,15003473
ลูกหนี้การค้ากิจการอื่น,6,,21606892,,22136556,,0,,0
ลูกหนี้หมุนเวียนอื่น,4,,13437598,,10134287,,12925559,,13903525
สินค้าคงเหลือ,7,,74124409,,118032601,,0,,0
สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน,,,,,,,,,
สินทรัพย์หมุนเวียนอื่น,,,1496906,,2816124,,20360,,11251
รวมสินทรัพย์หมุนเวียน,,,284408974,,318990717,,30586088,,28918249
,,,,,,,,,
สินทรัพย์ไม่หมุนเวียน,,,,,,,,,
เงินลงทุนในบริษัทย่อย,8,,0,,0,,598590000,,598590000
เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,4,,,,0,,,,0
ลูกหนี้ไม่หมุนเวียนอื่น,,,4489980,,4522324,,0,,0
อสังหาริมทรัพย์เพื่อการลงทุน,9,,144164368,,145607870,,0,,0
ที่ดิน อาคารและอุปกรณ์ ,10,,558287983,,597737963,,0,,0
สินทรัพย์สิทธิการใช้,11,,141912925,,156856043,,0,,0
สินทรัพย์ไม่มีตัวตน,,,6457013,,6447216,,6076788,,6006637
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,18,,14845239,,12138255,,1538448,,1247723
สินทรัพย์ไม่หมุนเวียนอื่น,,,9928613,,9772775,,0,,0
รวมสินทรัพย์ไม่หมุนเวียน,,,880086121,,933082446,,606205236,,605844360
,,,,,,,,,
รวมสินทรัพย์,,,1164495095,,1252073163,,636791324,,634762609
บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,
งบฐานะการเงิน,,,,,,,,,
,,,,,,,,,
,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,
,,,31 ธันวาคม,,,,31 ธันวาคม,,
หนี้สินและส่วนของผู้ถือหุ้น,หมายเหตุ,,2568,,2567,,2568,,2567
,,,(บาท),,,,,,
หนี้สินหมุนเวียน,,,,,,,,,
เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,"12, 21",,120000000,,220000000,,0,,0
เจ้าหนี้การค้า ,21,,87097100,,82704488,,0,,0
เจ้าหนี้หมุนเวียนอื่น,"4, 21",,24138701,,25140029,,1109447,,2283178
ส่วนของเงินกู้ยืมระยะยาวจากสถาบันการเงิน,,,,,,,,,
     ที่ถึงกำหนดชำระภายในหนึ่งปี,"12, 21",,0,,11150000,,0,,0
ส่วนของหนี้สินตามสัญญาเช่า,,,,,,,,,
     ที่ถึงกำหนดชำระภายในหนึ่งปี,"12, 21",,10510744,,9002300,,0,,0
ภาษีเงินได้นิติบุคคลค้างจ่าย,,,5996908,,4056207,,0,,0
หนี้สินหมุนเวียนอื่น,,,5497209,,2561450,,531409,,530364
รวมหนี้สินหมุนเวียน,,,253240662,,354614474,,1640856,,2813542
,,,,,,,,,
หนี้สินไม่หมุนเวียน,,,,,,,,,
เงินกู้ยืมระยะยาวจากสถาบันการเงิน,"12, 20",,0,,0,,0,,0
หนี้สินตามสัญญาเช่า,"12, 21",,157619708,,168083552,,0,,0
ประมาณการหนี้สินไม่หมุนเวียนสำหรับ,,,,,,,,,
     ผลประโยชน์พนักงาน,13,,10858270,,8783778,,7692243,,6238616
ประมาณการหนี้สินไม่หมุนเวียนอื่น,,,6213079,,5912371,,0,,0
รวมหนี้สินไม่หมุนเวียน,,,174691057,,182779701,,7692243,,6238616
รวมหนี้สิน,,,427931719,,537394175,,9333099,,9052158
,,,,,,,,,
บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,
งบฐานะการเงิน,,,,,,,,,
,,,,,,,,,
,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,
,,,31 ธันวาคม,,,,31 ธันวาคม,,
หนี้สินและส่วนของผู้ถือหุ้น (ต่อ),หมายเหตุ,,2568,,2567,,2568,,2567
,,,(บาท),,,,,,
ส่วนของผู้ถือหุ้น,,,,,,,,,
ทุนเรือนหุ้น,,,,,,,,,
     ทุนจดทะเบียน,,,,,,,,,
"     (หุ้นสามัญจำนวน 624,000,000 หุ้น มูลค่า 0.5 บาทต่อหุ้น)",,,312000000,,312000000,,312000000,,312000000
     ทุนที่ออกและชำระแล้ว,,,,,,,,,
"     (หุ้นสามัญจำนวน 600,000,000 หุ้น มูลค่า 0.5 บาทต่อหุ้น)",,,300000000,,300000000,,300000000,,300000000
ส่วนเกินมูลค่าหุ้นสามัญ,15,,137109509,,137109509,,137109509,,137109509
ส่วนเกินทุนจากการจัดโครงสร้างธุรกิจ,,,,,,,,,
     ภายใต้การควบคุมเดียวกัน,15,,130891299,,130891299,,0,,0
ใบสำคัญแสดงสิทธิที่จะซื้อหุ้น,14,,16113897,,15346013,,16113897,,15346013
กำไรสะสม,,,,,,,,,
     จัดสรรแล้ว,,,,,,,,,
         ทุนสำรองตามกฎหมาย,15,,8378303,,7498303,,8378303,,7498303
     ยังไม่ได้จัดสรร ,,,141966488,,121861588,,165856516,,165756626
กำไรสะสมก่อนการจัดโครงสร้างธุรกิจ,,,,,,,,,
     ยังไม่ได้จัดสรร,,,,,,,,,
รวมส่วนของบริษัทใหญ่,,,734459496,,712706712,,627458225,,625710451
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,,,2103880,,1972276,,0,,0
รวมส่วนของผู้ถือหุ้น,,,736563376,,714678988,,627458225,,625710451
,,,,,,,,,
รวมหนี้สินและส่วนของผู้ถือหุ้น,,,1164495095,,1252073163,,636791324,,634762609
,,,,,,,,,
