บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,
งบกระแสเงินสด (ไม่ได้ตรวจสอบ),,,,,,,,
,,,,,,,,
,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,
,,สำหรับงวดสามเดือนสิ้นสุดวันที่,,,,สำหรับงวดสามเดือนสิ้นสุดวันที่,,
,,31 มีนาคม,,,,31 มีนาคม,,
,หมายเหตุ,2569,,2568,,2569,,2568
,,(บาท) ,,,,,,
กระแสเงินสดจากกิจกรรมดำเนินงาน,,,,,,,,
กำไรสำหรับงวด,,10080941,,10710289,,446725,,257444
ปรับรายการที่กระทบกำไรเป็นเงินสดรับ,,,,,,,,
ค่าใช้จ่ายภาษีเงินได้,,4185248,,4461578,,122069,,129070
ต้นทุนทางการเงิน,,2830519,,4230235,,0,,0
ค่าเสื่อมราคาอสังหาริมทรัพย์เพื่อการลงทุน,,353757,,355932,,0,,0
ค่าเสื่อมราคาที่ดิน อาคารและอุปกรณ์,,9113763,,10042013,,0,,0
ค่าเสื่อมราคาสินทรัพย์สิทธิการใช้,,3746188,,3765821,,0,,0
ค่าตัดจำหน่ายสินทรัพย์ไม่มีตัวตน,,295386,,267529,,256665,,226322
กลับรายการผลขาดทุนจากการด้อยค่าด้านเครดิต,,,,,,,,
   ที่คาดว่าจะเกิดขึ้น,,-24000,,0,,0,,0
ประมาณการหนี้สินไม่หมุนเวียนสำหรับ,,,,,,,,
   ผลประโยชน์พนักงาน,,349095,,286840,,208788,,157007
ผลขาดทุนจากการปรับลดมูลค่าสินค้าคงเหลือ,3,216359,,525511,,0,,0
ขาดทุนจากการจำหน่ายอุปกรณ์,,146753,,43084,,0,,0
เงินปันผลรับ,,,,,,,,
การจ่ายโดยใช้หุ้นเป็นเกณฑ์,5,34520,,304436,,34520,,304436
ดอกเบี้ยรับ,,-3891,,0,,-521,,0
,,31324638,,34993268,,1068246,,1074279
การเปลี่ยนแปลงในสินทรัพย์และหนี้สินดำเนินงาน,,,,,,,,
ลูกหนี้การค้ากิจการอื่น,,179457,,-3996130,,0,,0
ลูกหนี้หมุนเวียนอื่น,,-1310183,,-2340655,,950240,,-446691
สินค้าคงเหลือ,,-2272592,,-15898995,,0,,0
สินทรัพย์หมุนเวียนอื่น,,114254,,172147,,-34306,,-45880
สินทรัพย์ไม่หมุนเวียนอื่น,,-30000,,-124763,,0,,0
เจ้าหนี้การค้า,,1948225,,40440308,,0,,0
เจ้าหนี้หมุนเวียนอื่น,,831142,,-124075,,242405,,-307877
