บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด และบริษัทย่อย,,,,,,,,,,,,,,,
งบกระแสเงินสด,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,
,,,,,,,,,,,,,,,สำหรับรอบระยะเวลา
,,,,,,,,,,,,,,,บัญชีตั้งแต่วันที่
,,,,,,,,,,,,,สำหรับปีสิ้นสุด,,12 มีนาคม 2558
,,,,,,,,,สำหรับปีสิ้นสุดวันที่ 31 ธันวาคม ,,,,วันที่ 31 ธันวาคม ,,ถึงวันที่ 31 ธันวาคม
,,,,,,,,,2559,,2558,,2559,,2558
,,,,,,,,,,,(ดูหมายเหตุ 1),,,,
,,,,,,,,,,,(ปรับปรุงใหม่),,,,
,,,,,,,,,(บาท) ,,,,,,
กระแสเงินสดจากกิจกรรมดำเนินงาน,,,,,,,,,,,,,,,
กำไร (ขาดทุน) สำหรับปี/งวด,,,,,,,,,37782693,,24097143,,17524126,,6833876
รายการปรับปรุง,,,,,,,,,,,,,,,
ค่าเสื่อมราคาและค่าตัดจำหน่าย,,,,,,,,,28538043,,20422967,,0,,0
กลับรายการค่าเผื่อมูลค่าสินค้าลดลง,,,,,,,,,-744774,,-308169,,0,,0
กำไรจากการจำหน่ายอุปกรณ์,,,,,,,,,-1220889,,-2821592,,0,,0
เงินปันผลรับ,,,,,,,,,0,,0,,-9900000,,-117103932
ดอกเบี้ยรับ,,,,,,,,,-337526,,-712986,,-4098,,-4424
ต้นทุนทางการเงิน,,,,,,,,,31981685,,33486417,,757,,1089559
สำรองผลประโยชน์พนักงาน,,,,,,,,,119014,,90776,,0,,0
ค่าใช้จ่ายภาษีเงินได้,,,,,,,,,5215438,,6014750,,0,,0
,,,,,,,,,101333684,,80269306,,7620785,,-109184921
การเปลี่ยนแปลงในหนี้สินดำเนินงาน,,,,,,,,,,,,,,,
ลูกหนี้การค้า,,,,,,,,,37660080,,-41878243,,0,,0
ลูกหนี้อื่น,,,,,,,,,-1127397,,-3109018,,-300,,0
สินค้าคงเหลือ,,,,,,,,,-82608405,,137312641,,0,,0
สินทรัพย์หมุนเวียนอื่น,,,,,,,,,250372,,10177160,,0,,0
สินทรัพย์ไม่หมุนเวียนอื่น,,,,,,,,,-11350,,481000,,0,,0
เจ้าหนี้การค้า,,,,,,,,,26538251,,31212774,,0,,0
เจ้าหนี้อื่น,,,,,,,,,-9564741,,14026776,,1298378,,298739
