บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,,,,,,,,,,
งบกระแสเงินสด,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,,,,,,,,
,,,,,,,,สำหรับปีสิ้นสุดวันที่ 31 ธันวาคม ,,,,สำหรับปีสิ้นสุดวันที่ 31 ธันวาคม ,,,,,,,,,
,,,,,,,หมายเหตุ,2568,,2567,,2568,,2567,,,,,,,
,,,,,,,,(บาท) ,,,,,,,,,,,,,
กระแสเงินสดจากกิจกรรมดำเนินงาน,,,,,,,,,,,,,,,,,,,,,
กำไรสำหรับปี,,,,,,,,37782693,,24097143,,17524126,,6833876,,,,,,,
ปรับรายการที่กระทบกำไรเป็นเงินสดรับ,,,,,,,,,,,,,,,,,,,,,
ค่าใช้จ่ายภาษีเงินได้,,,,,,,18,16215478,,16636335,,467307,,469999,,,,,,,
ต้นทุนทางการเงิน,,,,,,,,14962373,,19751369,,0,,0,,,,,,,
ค่าเสื่อมราคาอสังหาริมทรัพย์เพื่อการลงทุน,,,,,,,9,1443501,,1467356,,0,,0,,,,,0,,
ค่าเสื่อมราคาที่ดิน อาคารและอุปกรณ์,,,,,,,10,40172607,,41211000,,0,,0,,,,,0,,
ค่าเสื่อมราคาสินทรัพย์สิทธิการใช้,,,,,,,11,15011633,,14959706,,0,,0,,,,,0,,
ค่าตัดจำหน่ายสินทรัพย์ไม่มีตัวตน,,,,,,,,1124861,,1220373,,952828,,877437,,,,,0,,
กลับรายการผลขาดทุนจากการด้อยค่าด้านเครดิต,,,,,,,,,,,,,,,,,,,,,
   ที่คาดว่าจะเกิดขึ้น,,,,,,,6,-64000,,0,,0,,0,,,,,,,
ประมาณการหนี้สินไม่หมุนเวียนสำหรับ,,,,,,,,,,,,,,,,,,,,,
   ผลประโยชน์พนักงาน,,,,,,,13,1242664,,1079762,,723331,,590524,,,,,,,
ผลขาดทุนจากการด้อยค่าที่รับรู้ในกำไรหรือขาดทุน,,,,,,,,,,,,,,0,,,,,,,
