บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,
งบกำไรขาดทุน (ไม่ได้ตรวจสอบ),,,,,,,,,,,,
,,,,,,,,,,,,
,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,,,,
,,,สำหรับงวดสามเดือนสิ้นสุดวันที่,,,,สำหรับงวดสามเดือนสิ้นสุดวันที่,,,,,
,,,30 มิถุนายน,,,,30 มิถุนายน,,,,,
,หมายเหตุ,,2568,,2567,,2568,,2567,,,
,,,(บาท),,,,,,,,,
รายได้ ,,,,,,,,,,,,
รายได้จากการขายและการให้บริการ,"2, 6",,,,360725076,,,,,,,
รายได้ค่านายหน้า,,,,,7454204,,,,,,,
รายได้เงินปันผล,,,,,0,,,,,,,
รายได้อื่น,,,,,5444387,,,,,,,
รวมรายได้,,,0,,373623667,,0,,0,,,
,,,,,,,,,,,,
ค่าใช้จ่าย ,,,,,,,,,,,,
ต้นทุนขายและต้นทุนการให้บริการ,"2, 3",,,,304834233,,,,,,,
ต้นทุนในการจัดจำหน่าย,,,,,14576800,,,,,,,
ค่าใช้จ่ายในการบริหาร,,,,,39543810,,,,,,,
รวมค่าใช้จ่าย,,,0,,358954843,,0,,0,,,
,,,,,,,,,,,,
กำไร (ขาดทุน) จากกิจกรรมดำเนินงาน,,,0,,14668824,,0,,0,,,
ต้นทุนทางการเงิน,,,,,4933152,,,,,,,
กำไร (ขาดทุน) ก่อนค่าใช้จ่ายภาษีเงินได้,,,0,,9735672,,0,,0,,,
ค่าใช้จ่ายภาษีเงินได้,,,,,4532845,,,,,,,
กำไร (ขาดทุน) สำหรับงวด,,,0,,5202827,,0,,0,,,
,,,,,,,,,,,,
การแบ่งปันกำไร (ขาดทุน),,,,,,,,,,,,
    ส่วนที่เป็นของบริษัทใหญ่,,,,,5155598,,,,,,,
    ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,,,,,47229,,,,,,,
กำไร (ขาดทุน) สำหรับงวด,,,0,,5202827,,0,,0,,,
,,,,,,,,,,,,
กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน,,,0,,8.6713783333333336E-3,,0,,0,,,
บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,
งบกำไรขาดทุนเบ็ดเสร็จ (ไม่ได้ตรวจสอบ),,,,,,,,,,,,
,,,,,,,,,,,,
,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,,,,
,,,สำหรับงวดสามเดือนสิ้นสุดวันที่,,,,สำหรับงวดสามเดือนสิ้นสุดวันที่,,,,,
,,,30 มิถุนายน,,,,30 มิถุนายน,,,,,
,,,2568,,2567,,2568,,2567,,,
,,,(บาท),,,,,,,,,
กำไร (ขาดทุน) สำหรับงวด,,,0,,5202827,,0,,0,,,
กำไรขาดทุนเบ็ดเสร็จอื่นสำหรับงวด - สุทธิจากภาษีเงินได้,,,0,,0,,0,,0,,,
กำไร (ขาดทุน) เบ็ดเสร็จรวมสำหรับงวด,,,0,,5202827,,0,,0,,,
,,,,,,,,,,,,
การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม,,,,,,,,,,,,
    ส่วนที่เป็นของบริษัทใหญ่,,,0,,5155598,,0,,-660150,,,
    ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,,,0,,47229,,0,,0,,,
กำไร (ขาดทุน) เบ็ดเสร็จรวมสำหรับงวด,,,0,,5202827,,0,,-660150,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
