บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,
งบกำไรขาดทุน (ไม่ได้ตรวจสอบ),,,,,,,,
,,,,,,,,
,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,
,,สำหรับงวดสามเดือนสิ้นสุดวันที่,,,,สำหรับงวดสามเดือนสิ้นสุดวันที่,,
,,31 มีนาคม,,,,31 มีนาคม,,
,หมายเหตุ,2569,,2568,,2569,,2568
,,(บาท),,,,,,
รายได้ ,,,,,,,,
รายได้จากการขายและการให้บริการ,"2, 6",311344470,,376536692,,17150151,,15724366
รายได้ค่านายหน้า,,5473320,,8280310,,0,,0
รายได้เงินปันผล,,,,0,,,,0
รายได้อื่น,,2635363,,2680272,,14398,,69704
รวมรายได้,,319453153,,387497274,,17164549,,15794070
,,,,,,,,
ค่าใช้จ่าย ,,,,,,,,
ต้นทุนขายและต้นทุนการให้บริการ,"2, 3",248799008,,315386663,,16256341,,14975587
ต้นทุนในการจัดจำหน่าย,,14110149,,14735035,,0,,0
ค่าใช้จ่ายในการบริหาร,,39447288,,37973474,,339414,,431969
รวมค่าใช้จ่าย,,302356445,,368095172,,16595755,,15407556
,,,,,,,,
กำไรจากกิจกรรมดำเนินงาน,,17096708,,19402102,,568794,,386514
ต้นทุนทางการเงิน,,2830519,,4230235,,0,,0
กำไรก่อนค่าใช้จ่ายภาษีเงินได้,,14266189,,15171867,,568794,,386514
ค่าใช้จ่ายภาษีเงินได้,,4185248,,4461578,,122069,,129070
กำไรสำหรับงวด,,10080941,,10710289,,446725,,257444
,,,,,,,,
การแบ่งปันกำไร,,,,,,,,
   ส่วนที่เป็นของบริษัทใหญ่,,10037001,,10662875,,446725,,257444
   ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,,43940,,47414,,0,,0
กำไรสำหรับงวด,,10080941,,10710289,,446725,,257444
,,,,,,,,
กำไรต่อหุ้นขั้นพื้นฐาน,,1.6728335E-2,,1.7771458333333334E-2,,7.4454166666666668E-4,,4.2907333333333335E-4
บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,
งบกำไรขาดทุนเบ็ดเสร็จ (ไม่ได้ตรวจสอบ),,,,,,,,
,,,,,,,,
,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,
,,สำหรับงวดสามเดือนสิ้นสุดวันที่,,,,สำหรับงวดสามเดือนสิ้นสุดวันที่,,
,,31 มีนาคม,,,,31 มีนาคม,,
,,2569,,2568,,2569,,2568
,,(บาท),,,,,,
กำไรสำหรับงวด,,10080941,,10710289,,446725,,257444
กำไรขาดทุนเบ็ดเสร็จอื่นสำหรับงวด - สุทธิจากภาษีเงินได้,,0,,0,,0,,0
กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,,10080941,,10710289,,446725,,257444
,,,,,,,,
การแบ่งปันกำไรขาดทุนเบ็ดเสร็จรวม,,,,,,,,
   ส่วนที่เป็นของบริษัทใหญ่,,10037001,,10662875,,446725,,257444
   ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,,43940,,47414,,0,,0
กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,,10080941,,10710289,,446725,,257444
,,,,,,,,
