บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,
งบกำไรขาดทุน (ไม่ได้ตรวจสอบ),,,,,,,,,,,,
,,,,,,,,,,,,
,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,,,,
,,,สำหรับงวดหกเดือน,,,,สำหรับงวดหกเดือน,,,,,
,,,สิ้นสุดวันที่ 30 มิถุนายน,,,,สิ้นสุดวันที่ 30 มิถุนายน,,,,,
,หมายเหตุ,,2561,,2560,,2561,,2560,,,
,,,,,(ปรับปรุงใหม่),,,,,,,
,,,(บาท),,,,,,,,,
รายได้ ,,,,,,,,,,,,
รายได้จากการขายและการให้บริการ,3,,1010385034,,938668160,,17871333,,0,,,
รายได้ค่านายหน้า,,,23679680,,21390099,,0,,0,,,
รายได้อื่น,3,,8936470,,7051407,,605279,,8405748,,,
รวมรายได้,,,1043001184,,967109666,,18476612,,8405748,,,
,,,,,,,,,,,,
ค่าใช้จ่าย ,,,,,,,,,,,,
ต้นทุนขายและต้นทุนการให้บริการ,,,930866390,,862318143,,0,,0,,,
ค่าใช้จ่ายในการขายและจัดจำหน่าย,,,41818580,,37094705,,0,,0,,,
ค่าใช้จ่ายในการบริหาร,3,,47097546,,31259738,,18112269,,8555230,,,
ต้นทุนทางการเงิน,3,,14302361,,16881732,,0,,0,,,
รวมค่าใช้จ่าย,,,1034084877,,947554318,,18112269,,8555230,,,
,,,,,,,,,,,,
กำไร (ขาดทุน) ก่อนภาษีเงินได้,,,8916307,,19555348,,364343,,-149482,,,
ค่าใช้จ่าย (รายได้) ภาษีเงินได้,,,2357526,,3989043.9700000007,,76916,,-4701,,,
กำไร (ขาดทุน) สำหรับงวด,,,6558781,,15566304.029999999,,287427,,-144781,,,
,,,,,,,,,,,,
การแบ่งปันกำไร (ขาดทุน),,,,,,,,,,,,
    ส่วนที่เป็นของบริษัทใหญ่,,,6479653,,15409193.029999999,,287427,,-144781,,,
    ส่วนที่เป็นของส่วนได้เสียที่,,,,,,,,,,,,
         ไม่มีอำนาจควบคุม,,,79128,,157111,,0,,-,62713.54,,
กำไร (ขาดทุน) สำหรับงวด,,,6558781,,15566304.029999999,,287427,,-144781,,,
,,,,,,,,,,,,
กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน,11,,0.48,,6.1636772119999996,,0.02,,-5.7912400000000003E-2,,,
บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,
งบกำไรขาดทุนเบ็ดเสร็จ (ไม่ได้ตรวจสอบ),,,,,,,,,,,,
,,,,,,,,,,,,
,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,,,,
,,,สำหรับงวดหกเดือน,,,,สำหรับงวดหกเดือน,,,,,
,,,สิ้นสุดวันที่ 30 มิถุนายน,,,,สิ้นสุดวันที่ 30 มิถุนายน,,,,,
,,,2561,,2560,,2561,,2560,,,
,,,,,(ปรับปรุงใหม่),,,,,,,
,,,(บาท),,,,,,,,,
กำไร (ขาดทุน) สำหรับงวด,,,6558781,,15566304.029999999,,287427,,-144781,,,
กำไรขาดทุนเบ็ดเสร็จอื่น,,,0,,0,,0,,0,,,
กำไร (ขาดทุน) เบ็ดเสร็จรวมสำหรับงวด,,,6558781,,15566304.029999999,,287427,,-144781,,,
,,,,,,,,,,,,
การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม,,,,,,,,,,,,
    ส่วนที่เป็นของบริษัทใหญ่,,,6479653,,15409193.029999999,,287427,,-144781,,,
    ส่วนที่เป็นของส่วนได้เสียที่,,,,,,,,,,,,
        ไม่มีอำนาจควบคุม,,,79128,,157111,,-,,-,,,
กำไร (ขาดทุน) เบ็ดเสร็จรวมสำหรับงวด,,,6558781,,15566304.029999999,,287427,,-144781,,,
,,,,,,,,,,,,
