บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,
งบกำไรขาดทุน,,,,,,,,,,,,
,,,,,,,,,,,,
,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,,,,
,,,สำหรับปีสิ้นสุดวันที่ 31 ธันวาคม,,,,สำหรับปีสิ้นสุดวันที่ 31 ธันวาคม,,,,,
,หมายเหตุ,,2568,,2567,,2568,,2567,,,
,,,(บาท),,,,,,,,,
รายได้ ,,,,,,,,,,,,
รายได้จากการขายและการให้บริการ,"4, 16",,1320815808,,1467185097,,65097119,,61528515,,,
รายได้ค่านายหน้า,,,24126468,,30551316,,0,,0,,,
เงินปันผลรับ,"4, 8",,0,,0,,15959273,,7979636,,,
รายได้อื่น,,,13250158,,14502317,,275480,,254347,,,
รวมรายได้,,,1358192434,,1512238730,,81331872,,69762498,,,
,,,,,,,,,,,,
ค่าใช้จ่าย ,,,,,,,,,,,,
ต้นทุนขายและต้นทุนการให้บริการ,"4, 7",,1079265810,,1237298606,,61935369,,58598585,,,
ต้นทุนในการจัดจำหน่าย,,,56360501,,57154282,,0,,0,,,
ค่าใช้จ่ายในการบริหาร,,,153605579,,157300995,,1405070,,3860038,,,
รวมค่าใช้จ่าย,17,,1289231890,,1451753883,,63340439,,62458623,,,
,,,,,,,,,,,,
กำไรจากกิจกรรมดำเนินงาน,,,68960544,,60484847,,17991433,,7303875,,,
ต้นทุนทางการเงิน,,,14962373,,19751369,,0,,0,,,
กำไรก่อนค่าใช้จ่ายภาษีเงินได้,,,53998171,,40733478,,17991433,,7303875,,,
ค่าใช้จ่ายภาษีเงินได้,18,,16215478,,16636335,,467307,,469999,,,
กำไรสำหรับปี,,,37782693,,24097143,,17524126,,6833876,,,
,,,,,,,,,,,,
การแบ่งปันกำไร,,,,,,,,,,,,
    ส่วนที่เป็นของบริษัทใหญ่,,,37609952,,23918944,,17524126,,6833876,,,
    ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,,,172741,,178199,,0,,0,,,
กำไรสำหรับปี,,,37782693,,24097143,,17524126,,6833876,,,
,,,,,,,,,,,,
กำไรต่อหุ้นขั้นพื้นฐาน,19,,6.2683253333333327E-2,,3.9864906666666665E-2,,2.9206876666666666E-2,,1.1389793333333334E-2,,,
บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,
งบกำไรขาดทุนเบ็ดเสร็จ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,,,,
,,,สำหรับปีสิ้นสุดวันที่ 31 ธันวาคม,,,,สำหรับปีสิ้นสุดวันที่ 31 ธันวาคม,,,,,
,หมายเหตุ,,2568,,2567,,2568,,2567,,,
,,,(บาท),,,,,,,,,
กำไรสำหรับปี,,,37782693,,24097143,,17524126,,6833876,,,
,,,,,,,,,,,,
กำไรขาดทุนเบ็ดเสร็จอื่น,,,,,,,,,,,,
รายการที่จะไม่ถูกจัดประเภทใหม่ไว้ใน,,,,,,,,,,,,
    กำไรหรือขาดทุนในภายหลัง,,,,,,,,,,,,
ผลขาดทุนจากการวัดมูลค่าใหม่ของ,,,,,,,,,,,,
    ผลประโยชน์พนักงานที่กำหนดไว้,13,,-831828,,0,,-730295,,0,,,
ภาษีเงินได้ของรายการที่จะไม่ถูกจัด,,,,,,,,,,,,
    ประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,18,,166365.6,,0,,146059,,0,,,
ขาดทุนเบ็ดเสร็จอื่นสำหรับปี,,,,,,,,,,,,
    - สุทธิจากภาษีเงินได้,,,-665462.4,,0,,-584236,,0,,,
กำไรขาดทุนเบ็ดเสร็จรวมสำหรับปี,,,37117230.600000001,,24097143,,16939890,,6833876,,,
,,,,,,,,,,,,
การแบ่งปันกำไรขาดทุนเบ็ดเสร็จรวม,,,,,,,,,,,,
    ส่วนที่เป็นของบริษัทใหญ่,,,36944899.600000001,,23918944,,16939890,,6833876,,,
    ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,,,172331,,178199,,0,,0,,,
กำไรขาดทุนเบ็ดเสร็จรวมสำหรับปี,,,37117230.600000001,,24097143,,16939890,,6833876,,,
,,,,,,,,,,,,
,,,,81765060,,,,,,,,
,,,,1705986,,,,,,,,
