บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,,,,,,,,,,,,,
งบการเปลี่ยนแปลงส่วนของผู้ถือหุ้น (ไม่ได้ตรวจสอบ),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,งบการเงินรวม,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ส่วนเกินทุนจากการ,,,,,,,,,,,,,,,
,,,,,ทุน,,ส่วนเกิน,,จัดโครงสร้างธุรกิจ,,ใบสำคัญ,,กำไรสะสม,,,,รวม,,,,,,,
,,,,,ที่ออกและ,,มูลค่า,,ภายใต้การควบคุม,,แสดงสิทธิ,,ทุนสำรอง,,,,ส่วนของ,,ส่วนได้เสียที่ไม่มี,,รวมส่วนของ,,,
,,,,,ชำระแล้ว,,หุ้นสามัญ,,เดียวกัน,,ที่จะซื้อหุ้น,,ตามกฎหมาย,,ยังไม่ได้จัดสรร,,บริษัทใหญ่,,อำนาจควบคุม,,ผู้ถือหุ้น,,,
,,,,,(บาท),,,,,,,,,,,,,,,,,,,
สำหรับงวดสามเดือนสิ้นสุดวันที่ 31 มีนาคม 2568,,,,,,,,,,,,,,,,,,,,,,,,
ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,,,,,300000000,,137109509,,130891299,,15346013,,7498303,,121861588,,712706712,,1972276,,714678988,,679005896,
,,,,,,,,,,,,,,,,,,,,,,,,
รายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้าส่วนของผู้ถือหุ้น,,,,,,,,,,,,,,,,,,,,,,,,
,เงินทุนที่ได้รับจากผู้ถือหุ้นและการจัดสรรส่วนทุนให้ผู้ถือหุ้น,,,,,,,,,,,,,,,,,,,,,,,
,การจ่ายโดยใช้หุ้นเป็นเกณฑ์,,,,0,,0,,0,,304436,,0,,0,,304436,,0,,304436,,,
,เงินปันผลให้ผู้ถือหุ้นของบริษัท,,,7,,,,,,,,,,,,,0,,,,0,,,
รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้าส่วนของผู้ถือหุ้น,,,,,0,,0,,0,,304436,,0,,0,,304436,,0,,304436,,,
,,,,,,,,,,,,,,,,,,,,,,,,
กำไรขาดทุนเบ็ดเสร็จสำหรับงวด,,,,,,,,,,,,,,,,,,,,,,,,
,กำไร,,,,0,,0,,0,,0,,0,,10662875,,10662875,,47414,,10710289,#REF!,,
,กำไรขาดทุนเบ็ดเสร็จอื่น,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
รวมกำไรขาดทุนเบ็ดเสร็จสำหรับงวด,,,,,0,,0,,0,,0,,0,,10662875,,10662875,,47414,,10710289,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2568,,,,,300000000,,137109509,,130891299,,15650449,,7498303,,132524463,,723674023,,2019690,,725693713,,,
,,,,,,,,,,,,,,,,,,,,,,,,
