บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,,,,,,,,,,,,
งบการเปลี่ยนแปลงส่วนของผู้ถือหุ้น (ไม่ได้ตรวจสอบ),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,งบการเงินรวม,,,,,,,,,,,,,,,,,,
,,,,,,,,,ส่วนเกินทุนจากการ,,,,,,,,,,,,,,
,,,,,ทุน,,ส่วนเกิน,,จัดโครงสร้างธุรกิจ,,ใบสำคัญ,,กำไรสะสม,,,,รวม,,,,,,
,,,,,ที่ออกและ,,มูลค่า,,ภายใต้การควบคุม,,แสดงสิทธิ,,ทุนสำรอง,,,,ส่วนของ,,ส่วนได้เสียที่ไม่มี,,รวมส่วนของ,,
,,,,หมายเหตุ,ชำระแล้ว,,หุ้นสามัญ,,เดียวกัน,,ที่จะซื้อหุ้น,,ตามกฎหมาย,,ยังไม่ได้จัดสรร,,บริษัทใหญ่,,อำนาจควบคุม,,ผู้ถือหุ้น,,
,,,,,(บาท),,,,,,,,,,,,,,,,,,
สำหรับงวดสามเดือนสิ้นสุดวันที่ 31 มีนาคม 2569,,,,,,,,,,,,,,,,,,,,,,,
ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,,,,,300000000,,137109509,,130891299,,16113897,,8378303,,141966488,,734459496,,2103880,,736563376,,679005896
,,,,,,,,,,,,,,,,,,,,,,,
รายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้าส่วนของผู้ถือหุ้น,,,,,,,,,,,,,,,,,,,,,,,
,เงินทุนที่ได้รับจากผู้ถือหุ้นและการจัดสรรส่วนทุนให้ผู้ถือหุ้น,,,,,,,,,,,,,,,,,,,,,,
,การจ่ายโดยใช้หุ้นเป็นเกณฑ์,,,5,0,,0,,0,,34520,,0,,0,,34520,,0,,34520,,
,เงินปันผลให้ผู้ถือหุ้นของบริษัท,,,7,,,,,,,,,,,,,0,,,,0,,
รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้าส่วนของผู้ถือหุ้น,,,,,0,,0,,0,,34520,,0,,0,,34520,,0,,34520,,
,,,,,,,,,,,,,,,,,,,,,,,
กำไรขาดทุนเบ็ดเสร็จสำหรับงวด,,,,,,,,,,,,,,,,,,,,,,,
,กำไร,,,,0,,0,,0,,0,,0,,10037001,,10037001,,43940,,10080941,#REF!,
,กำไรขาดทุนเบ็ดเสร็จอื่น,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
รวมกำไรขาดทุนเบ็ดเสร็จสำหรับงวด,,,,,0,,0,,0,,0,,0,,10037001,,10037001,,43940,,10080941,,
,,,,,,,,,,,,,,,,,,,,,,,
ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,,,,,300000000,,137109509,,130891299,,16148417,,8378303,,152003489,,744531017,,2147820,,746678837,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,
