บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,,,,,,,,
งบการเปลี่ยนแปลงส่วนของผู้ถือหุ้น (ไม่ได้ตรวจสอบ),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,งบการเงินเฉพาะกิจการ,,,,,,,,,,,,,
,,,,,,,,,,,,กำไรสะสม,,,,,,,
,,,,,,ทุนที่ออก,,ส่วนเกิน,,ใบสำคัญแสดง,,ทุนสำรอง,,,,รวมส่วนของ,,,
,,,,หมายเหตุ,,และชำระแล้ว,,มูลค่าหุ้นสามัญ,,สิทธิที่จะซื้อหุ้น,,ตามกฎหมาย,,ยังไม่ได้จัดสรร,,ผู้ถือหุ้น,,,
,,,,,,(บาท),,,,,,,,,,,,,
สำหรับงวดสามเดือนสิ้นสุดวันที่ 31 มีนาคม 2569,,,,,,,,,,,,,,,,,,,
ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,,,,,,300000000,,137109509,,16113897,,8378303,,165856516,,627458225,,,
,,,,,,,,,,,,,,,,,,,
รายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้าส่วนของผู้ถือหุ้น,,,,,,,,,,,,,,,,,,,
,เงินทุนที่ได้รับจากผู้ถือหุ้นและการจัดสรรส่วนทุนให้ผู้ถือหุ้น,,,,,,,,,,,,,,,,,,
,การจ่ายโดยใช้หุ้นเป็นเกณฑ์,,,5,,0,,0,,34520,,0,,0,,34520,,,
,เงินปันผลให้ผู้ถือหุ้นของบริษัท,,,7,,0,,0,,0,,0,,0,,0,,,
รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้าส่วนของผู้ถือหุ้น,,,,,,0,,0,,34520,,0,,0,,34520,,,
,,,,,,,,,,,,,,,,,,,
กำไรขาดทุนเบ็ดเสร็จสำหรับงวด,,,,,,,,,,,,,,,,,,,
,กำไร,,,,,0,,0,,0,,0,,446725,,446725,,,
,กำไรขาดทุนเบ็ดเสร็จอื่น,,,,,0,,0,,0,,0,,0,,0,,,
รวมกำไรขาดทุนเบ็ดเสร็จสำหรับงวด,,,,,,0,,0,,0,,0,,446725,,446725,,,
,,,,,,,,,,,,,,,,,,,
ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,,,,,,300000000,,137109509,,16148417,,8378303,,166303241,,627939470,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,0,,0,,0,,0,,,
