บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,,,,,,
งบการเปลี่ยนแปลงส่วนของผู้ถือหุ้น,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,งบการเงินเฉพาะกิจการ,,,,,,,,,,,
,,,,,,,,,,,,กำไรสะสม,,,,,
,,,,,,ทุนที่ออก,,ส่วนเกิน,,ใบสำคัญแสดง,,ทุนสำรอง,,,,รวมส่วนของ,
,,,,หมายเหตุ,,และชำระแล้ว,,มูลค่าหุ้นสามัญ,,สิทธิที่จะซื้อหุ้น,,ตามกฎหมาย,,ยังไม่ได้จัดสรร,,ผู้ถือหุ้น,
,,,,,,(บาท),,,,,,,,,,,
สำหรับปีสิ้นสุดวันที่ 31 ธันวาคม 2568,,,,,,,,,,,,,,,,,
ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,,,,,,300000000,,137109509,,15346012.970000001,,7498303,,165756626,,625710450.97000003,
,,,,,,,,,,,,,,,,,
รายการกับผู้ถือหุ้นที่บันทึกตรงเข้าส่วนของผู้ถือหุ้น,,,,,,,,,,,,,,,,,
,เงินทุนที่ได้รับจากผู้ถือหุ้นและการจัดสรรส่วนทุนให้ผู้ถือหุ้น,,,,,,,,,,,,,,,,
,การจ่ายโดยใช้หุ้นเป็นเกณฑ์,,,14,,0,,0,,767884,,0,,0,,767884,
,เงินปันผลให้ผู้ถือหุ้นของบริษัท,,,20,,0,,0,,0,,0,,-15960000,,-15960000,
รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้าส่วนของผู้ถือหุ้น,,,,,,0,,0,,767884,,0,,-15960000,,-15192116,
,,,,,,,,,,,,,,,,,
กำไรขาดทุนเบ็ดเสร็จสำหรับปี,,,,,,,,,,,,,,,,,
,กำไร,,,,,0,,0,,0,,0,,17524126,,17524126,
,กำไรขาดทุนเบ็ดเสร็จอื่น,,,,,0,,0,,0,,0,,-584236,,-584236,
รวมกำไรขาดทุนเบ็ดเสร็จสำหรับปี,,,,,,0,,0,,0,,0,,16939890,,16939890,
,,,,,,,,,,,,,,,,,
โอนไปทุนสำรองตามกฎหมาย,,,,15,,0,,0,,0,,880000,,-880000,,0,
,,,,,,,,,,,,,,,,,
ยอดคงเหลือ ณ วันที่ 31 ธันวาคม 2568,,,,,,300000000,,137109509,,16113896.970000001,,8378303,,165856516,,627458224.97000003,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
