งบแสดงฐานะการเงินบริษัท ฮอนด้ามะลิวัลย์ จำกัด,,,,,,,,,,
ข้อมูลปีงบการเงิน 2564 - 2568,,,,,,,,,,
หน่วย : บาท,2564,,2565,,2566,,2567,,2568,
,จำนวนเงิน,%เปลี่ยนแปลง,จำนวนเงิน,%เปลี่ยนแปลง,จำนวนเงิน,%เปลี่ยนแปลง,จำนวนเงิน,%เปลี่ยนแปลง,จำนวนเงิน,%เปลี่ยนแปลง
ลูกหนี้การค้าสุทธิ,5.3613676E7,0.92,3.7420799E7,-30.2,5.8180911E7,55.47,2.8400825E7,-51.18,3.3792896E7,18.98
สินค้าคงเหลือ,1.33504837E8,-44.39,1.09946138E8,-17.64,1.37245319E8,24.82,1.08652238E8,-20.83,5.9502885E7,-45.23
สินทรัพย์หมุนเวียน,3.27778233E8,-16.72,2.68677276E8,-18.03,3.22093068E8,19.88,2.61960327E8,-18.66,2.31467429E8,-11.64
ที่ดิน อาคารและอุปกรณ์,7.18381674E8,7.59,6.73567291E8,-6.23,6.54843659E8,-2.77,6.4579991E8,-1.38,6.23301014E8,-3.48
สินทรัพย์ไม่หมุนเวียน,8.80442795E8,3.87,9.28604729E8,5.47,9.76777445E8,5.18,9.74187278E8,-0.26,9.5419249E8,-2.05
สินทรัพย์รวม,1.208221028E9,-2.65,1.197282005E9,-0.9,1.298870513E9,8.48,1.236147605E9,-4.82,1.185659919E9,-4.08
หนี้สินหมุนเวียน,4.29156527E8,-12.07,3.92536214E8,-8.53,4.58799948E8,16.88,3.41328022E8,-25.6,2.36197586E8,-30.8
หนี้สินไม่หมุนเวียน,1.51834746E8,-9.34,1.25913656E8,-17.07,1.10012501E8,-12.62,9.8937021E7,-10.06,9.918312E7,0.24
หนี้สินรวม,5.80991273E8,-11.37,5.1844987E8,-10.76,5.68812449E8,9.71,4.40265043E8,-22.59,3.35380706E8,-23.82
ส่วนของผู้ถือหุ้น,6.27229755E8,7.1,6.78832135E8,8.22,7.30058064E8,7.54,7.95882562E8,9.01,8.50279213E8,6.83
หนี้สินรวมและส่วนของผู้ถือหุ้น,1.208221028E9,-2.65,1.197282005E9,-0.9,1.298870513E9,8.48,1.236147605E9,-4.82,1.185659919E9,-4.08
